,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42
0.5,9.15663805819997,14.2365239196835,20.370511888264165,31.166133638982437,34.917233155713205,36.01731694815374,27.665512830855707,37.175826218996065,37.46677908286486,34.163681193711355,31.973207240452155,35.22555993428396,34.817574309062564,32.31122115940772,29.539815429773135,33.2941125966175,32.150834282838595,32.61757744510754,31.789455921636705,33.72844970648866,38.1637144531619
1,15.0915477852,18.40500444285,26.4495269859053,39.59580371220012,44.6694477880325,40.97967608634997,39.13581000151997,42.205545398801014,40.90329731518282,39.182865648330505,39.96822734078926,38.65451897114784,38.05691673067523,35.871887462245475,34.91037123214776,34.33315728331428,33.5388161480291,33.94204288251669,32.96770923803834,35.092074722072496,38.1637144531619
1.5,15.83112328,20.9613166940455,28.4720097158162,48.682437080633875,49.9331481895527,42.661069369025824,42.069816997351204,46.333542429479465,43.35433874545486,42.32949788503823,40.45710804146846,40.15699675755431,40.24903147223903,38.96702647132761,36.44681749030565,35.21443004345192,35.21706906600579,35.81753547169168,35.394550890973875,36.078687860779,38.1637144531619
2,24.375729424,27.4167046811165,33.756133040034605,52.129079212508,54.4372973106366,48.70981556437553,45.443954831796276,47.8066293614985,46.36170693539808,46.00845199602141,43.13121220284362,41.42052381133337,41.53944301724227,40.41565157892069,37.42237588523303,37.88696484645365,36.27757660093044,37.1961670552782,36.056309421169146,36.5683757612037,38.1637144531619
2.5,26.0316332166,29.482620861736876,41.34351841603254,56.94312868947094,55.65639882360925,50.44019928213983,46.597756316115,48.67417947156766,47.54122966490542,47.20952451883688,45.933203597427166,43.073539572295346,42.40837171178343,42.016867137698824,39.88411200439297,40.084560640184044,37.27706868008564,37.758637921780306,37.280273393922926,37.08059207837475,39.3472954056143
5,32.7659953297,35.02576531238625,65.46867419865171,64.43892914945876,63.05910696243151,58.69743026242455,57.44991962289213,54.356070070248435,55.840067787055546,53.17706749530275,52.199603296785185,49.28483247165462,47.96783826489404,46.268701552563215,43.28019717287647,43.85135214493372,41.21322449403776,40.787727315301815,40.36758087316186,39.45082549505,39.3472954056143
10,55.2737994833,71.80943962543,79.54793805266671,77.20989681090124,75.95286004761401,73.23981199399417,70.23753862354857,62.92309749692438,63.14529653349501,60.630593891071,56.60427396734498,57.09429765830914,54.54703422272227,52.11701373781181,49.62684667200897,48.732139221692556,46.068437531322346,44.24368195980608,43.83434153765446,41.348576519264505,44.35275730395
25,147.26514933225,120.38174753289374,112.05231231132925,108.3143409189005,99.9437321351675,94.09991956349995,86.57487907929823,80.48638949025624,78.50158187589302,73.39237245578,70.98810292456932,68.2781090643302,64.2176546381981,60.80681963054285,58.43616596596415,56.765245537743,53.93901028600072,50.908014217049974,49.969179181155226,48.24444615678625,47.6851208471167
75,376.6737998042,224.41324969140624,203.5968749454835,169.38981112145626,154.2765281805275,140.189647272848,130.85643342085874,121.25855080307674,111.469587674893,104.94382678937126,99.92559338331368,93.32482790294893,88.80247409407497,83.00810450397145,78.9717690820367,72.97962423483128,69.29952399652865,65.73649983273471,60.8293531441013,56.5924900443875,50.7661094935667
90,407.4393998092,303.2441498439725,244.96359233202003,196.68567402352332,175.451417393099,163.1417491178742,150.3514866917067,137.891706147342,129.4404735844767,118.63630408301,111.90997835726681,104.8278044714211,98.74923862140807,92.00090254682107,86.87768879388835,80.72161859882654,76.20371159785645,70.77528573875946,65.8790605382571,60.50304212806,52.486675309139194
