,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22
Low,113.279621,130.34585446000003,143.11603619285756,149.7240105766669,151.76418522424214,154.8374315549452,156.938360877083,160.87896502385638,163.57202304736867,168.036848640693
High,196.991089,188.995222,185.06464660357184,181.5394084788888,178.82480401969713,177.2829376296705,175.443504865417,173.7921605111106,171.847447652632,168.036848640693
Mean,167.41664910933335,166.9469818890667,167.91772235178576,168.36741355777775,167.85362301969698,167.98352400096704,167.95805703401663,168.15074614688888,167.95152340004208,168.036848640693
