,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22
Low,238.1733,339.112053575,431.041427675,527.007873775,618.1661863749999,696.615038675,777.1693402999999,869.089263725,965.037729,1113.643038
High,390.880531,543.5368338249999,665.5348288749999,770.1425959,860.21697,933.1912442749999,1006.8873619000001,1059.280322,1099.871968,1113.643038
Mean,328.1095431,449.85448029099996,556.126666248,656.1413920219999,747.426058635,823.108892918,900.271112539,978.204678345,1047.356131239,1113.643038
