,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22
0.5,52.64387765666667,50.77594590375,50.590485364,48.99317559333337,55.95160104071424,51.323219075000004,53.725624338333354,55.0920954025,66.3665464545454
1,56.7816536666667,56.48540036,55.447371340000004,51.6230212066667,57.42628587571426,53.56111484125,54.61645623777774,58.1426702,66.3665464545454
1.5,58.824722131666704,59.86548493125,58.36216702,54.518778729999994,58.443998920714265,56.0294845575,56.276234785,58.9201602,66.3665464545454
2,59.5207022866667,61.3708571,59.958539448,57.36805597333337,59.770844877142885,56.8925789475,56.820245519999965,59.2120938,66.3665464545454
2.5,65.64489846666663,62.0423494875,61.418473475,57.602653366666665,60.456871503571385,58.263888125,57.24671764722221,60.3982412,66.3665464545454
5,71.81786475,67.7157354875,67.01399285,64.1846871916667,62.4165068,61.057422018749996,60.392111994444456,60.9834074,66.3665464545454
10,82.07545809999998,77.73668322500001,71.82560996000001,69.26999290000003,66.31212577142858,65.016052525,63.0340892222222,62.79111555,66.3665464545454
25,97.73649375,89.065975125,82.51398979999999,78.27326412500003,74.1994288571428,70.5401496875,67.72333441666663,66.2386638,66.3665464545454
75,135.568499,118.66146275,104.8791019,98.24847449999997,90.3312427142857,83.4246995,77.6714633333333,73.0382541,66.3665464545454
90,148.94341496666638,130.28875785,117.535604,105.4494062333333,97.10727732857139,88.6619105125,81.43566823333329,75.3303131,66.3665464545454
97.5,172.441608333333,142.23334305,124.1231603,115.36867788333332,102.65553131071458,93.181792625,84.8870504444444,76.6613386,66.3665464545454
98,177.750528,144.3838222,124.97953371999998,115.84797572333366,103.26899363714328,93.50887061499999,85.2182128888889,78.428709,66.3665464545454
98.5,177.750528,145.954449985,126.711951847,116.424067145,105.03932847357157,94.8732082875,85.28029833944444,78.428709,66.3665464545454
99,179.883861333333,149.73387788999997,128.948199416,118.761269825,105.42972804285758,95.25527125,86.9680958888889,78.428709,66.3665464545454
99.5,179.883861333333,154.00029625,131.765938925,119.79249031749967,106.01614356214243,95.84299062375,87.242778,78.428709,66.3665464545454
Median,116.587908666667,103.92766037499999,94.10681679999999,88.02714775,82.59622964285711,77.062089,72.746585,69.49778345,66.3665464545454
Mean,116.26190156133333,104.0358795855,94.01813209699999,87.90154352816667,82.09635271542857,76.71230711137501,72.46288772055553,69.3348022251,66.3665464545454
