,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22
Low,65.64489846666663,62.0423494875,61.418473475,57.602653366666665,60.456871503571385,58.263888125,57.24671764722221,60.3982412,66.3665464545454
High,172.441608333333,142.23334305,124.1231603,115.36867788333332,102.65553131071458,93.181792625,84.8870504444444,76.6613386,66.3665464545454
Mean,116.26190156133333,104.0358795855,94.01813209699999,87.90154352816667,82.09635271542857,76.71230711137501,72.46288772055553,69.3348022251,66.3665464545454
