,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395
Low,105.48670749,103.70844025976635,97.47525115500001,95.521786382,90.74854980166664,89.80552862287608,88.38661705187499,84.397025215,83.2121221095,82.2365047969738,79.97244261125005,80.14541936692302,78.53536490546429,77.30755635849434,75.2296178528125,75.0034523906972,74.17252644385219,72.7449496449126,70.5821323627975,70.88338902870937,70.57254305875094,69.46910551338732,68.55048667748333,67.4594390706146,66.62798844272031,66.48494608382342,65.41280075248245,65.36196168172124,64.90362554454752,64.31778905834487,63.50075839889734,63.03641730049313,62.961724916881245,62.123865879738545,61.43790759368201,60.7552379379664,60.19720409461625,60.09692405482528,59.72657293266637,59.365593060562944,59.08955833226944,58.59326546873615,58.166750347954725,58.08804747905797,57.49367094678072,57.197692152878126,56.36794637587901,56.71689697929898,55.92240675949905,55.369783773549734,55.19042346699676,55.53402963180648,55.26824394444192,54.683695804765,54.46180931324921,53.77944228915757,53.86500463373731,53.35186257376441,53.26377706405033,53.25654550215527,52.737499314912235,52.82923011113489,52.07174042857155,52.192981813285776,51.97593632269382,51.697727565126854,51.66540873037759,51.176516930694945,51.37562714577433,51.25011475019668,51.05050460204028,50.84901594747636,50.81294452695348,50.593233050292,50.4015307802228,50.47722058149292,50.429155132117934,50.536099820825356
High,253.54830053749998,208.19548556833365,190.85135086479997,174.2832352904,161.81520430515863,152.43337279230727,145.1076208585275,137.7554375365291,131.0965742673905,125.6738763068558,120.82261375880447,118.58794511264962,114.86608525590715,111.309766553947,108.15139948167374,104.28923761502443,102.43614183076667,99.2515975522842,98.0365212582475,95.6957935644559,94.72461223448727,93.06357084076656,92.07730343920753,89.4473676592902,87.31218056670917,86.56613706805554,85.15608003428899,84.9687669814724,82.04689994781079,81.52714977422583,80.07707233245453,79.5506911754591,77.97301325395841,77.63199371556082,76.59693694948389,76.14416210063447,74.98426386329588,74.27845915621018,73.68446182633494,71.95697657711429,71.874123024578,71.0879223918055,70.00817064469685,69.71480118488685,68.84474439959126,67.9503211239727,67.0798954911242,66.79381128677613,66.22297833100565,65.53477142092221,64.89055926754817,64.45176641935466,63.78854604783597,63.23356119592523,62.74205577734509,62.431412918714045,61.947982153570734,61.351512343873964,60.816896340294285,60.30659005261846,59.91530558940549,59.329972383155976,58.8922878307091,58.3900691362348,58.03687188099436,57.42757429089852,57.17120782813821,56.72061864991463,56.2542862647325,55.66166633986197,55.35392410912185,54.825531443090746,54.367211982746674,53.92969055320267,53.52170089105521,53.028296504028546,52.46676002160514,51.9349279559519
Mean,173.3066973308536,155.3267262329903,143.26988653989787,133.18631891580384,127.11983146690797,119.99886121816535,115.82305123576714,111.32453587728638,106.95979497531508,103.79024217109615,100.72394211331385,98.46490938195444,96.3378957039679,93.84487452976,91.61501098081996,89.75633377367583,87.8306771397569,86.31888170748535,84.59545627941392,83.26517372848173,82.50143565194563,81.48854657638586,79.78253853899766,78.58505761348792,77.24205468741924,76.41547076658726,75.27958094166519,74.57440906194954,73.70725437794428,72.77256325222407,71.93745711767816,71.2307454391424,70.35744187864678,69.79693904047171,68.94034706819632,68.32526369029854,67.66200627187742,67.02362113882216,66.50311223988105,65.75706123598601,65.27735769681453,64.67667211155559,64.09169401064243,63.804681882397546,63.120603431185735,62.615756653059165,61.995236426113514,61.716053393120596,61.15805690904499,60.60051225252286,60.22568112817648,59.82386834326868,59.538906584796216,59.12047781389612,58.66576918836715,58.23273105374306,57.93366704521913,57.45235736773135,57.21249571169049,56.78998781726353,56.42679538475165,56.07098218359704,55.62362762478395,55.48731475091058,55.13708416604162,54.68600539423605,54.44120550822502,54.219526835391854,53.890988469985295,53.57374554895254,53.24382258639777,52.98150129280992,52.73157716431493,52.45981490876236,52.11943007356728,51.85484110555802,51.59979116737714,51.35205658174746
