,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395
Low,956.9802519499999,1291.897416375,1612.702075425,1935.0072949467499,2208.8128167064997,2515.74668048025,2726.91322735525,3032.14016715,3252.1596367,3509.0282874467503,3780.7081349860005,3966.696465500675,4220.0243743,4455.958938914,4699.486580725,4923.12441703625,5142.333752717675,5299.845579734,5539.911323951,5709.24815770075,5935.7207738435,6118.132714723751,6386.949989887175,6548.868463201175,6757.5986923334995,6944.2132536295,7070.4948149235,7281.666757504825,7428.1526189205,7749.339778356425,7909.685197172575,8033.052539620925,8259.268437043176,8394.974028689674,8591.1166060715,8741.415291461,8902.983655654825,9097.23363265675,9205.439307171326,9445.32665886275,9603.337532018575,9753.247959682174,9938.057405719675,10102.77730447425,10236.662703317827,10423.14646346225,10587.506554353326,10705.9811855595,10932.878077629575,11063.646893862,11218.00698554375,11372.428328636573,11523.218765721002,11677.07299748475,11842.6857753395,12011.713440734002,12125.65474435325,12281.005984751999,12445.955546451925,12620.893506722325,12770.649133367,12877.65590346675,13072.795162125249,13197.761359282751,13355.80427324025,13475.208854592,13640.92841071675,13801.39631672375,13959.96464230025,14073.36767386575,14229.805269497501,14378.354273547,14570.826090058,14701.83029806625,14882.086574371999,15019.397634697001,15194.188902222,15398.277797722
High,1533.0103127460002,1989.82732845075,2404.990881725675,2784.0079873249997,3180.4531681515,3473.235684471,3772.6581310825,4086.664494879,4324.08913967825,4628.76233457725,4944.188839899825,5198.611227974499,5414.04343017075,5675.45988039575,5911.001146359,6131.8282807185005,6370.565195902325,6597.500254475175,6784.807743296575,7053.1277513845,7191.639966979001,7429.528585588675,7634.965755723824,7828.93580036125,8021.473538478075,8220.550679927674,8416.3153534375,8628.788603730576,8814.2813914865,8938.173746111326,9101.46152083975,9336.386787388748,9486.1831446915,9642.734723688576,9822.333080615499,9979.385646954075,10161.924889515425,10340.71224648075,10489.970518809676,10668.738943882425,10845.516054589923,10963.521188156175,11174.77122081875,11321.910383923325,11449.918184242426,11592.775993680074,11715.7248113695,11896.15746305525,12028.010637541825,12173.376380980751,12328.858237851,12451.80991877625,12592.552222197,12766.618944329073,12894.9164941045,13011.402569963175,13161.401153724824,13298.645393567826,13416.727805174749,13573.652879717,13723.613383473175,13832.613295206324,13971.202978411251,14081.458901774924,14211.085107114499,14330.899034616425,14453.194584105424,14555.7840502785,14678.111711771999,14804.8997540355,14901.6796006975,15032.6019972725,15122.926449338749,15235.506879697,15350.667954397,15444.479730247001,15537.423603829824,15601.714738047
Mean,1228.396398587291,1634.214584090556,1992.199814273148,2340.121129981212,2666.046396677536,2975.3661669148833,3252.720670994467,3549.581203173941,3819.134899175915,4096.263625824667,4348.983483982733,4568.006161368073,4838.168713903995,5076.424183511941,5301.685994160833,5513.947321634115,5754.002982107611,5969.660467294122,6175.419885664752,6393.407208671132,6596.48964275771,6795.402377074124,7009.652976370547,7189.10530746895,7390.965266958856,7585.110725159825,7766.300552855915,7958.522589909535,8133.460117732232,8343.485311288207,8513.211154811297,8686.82423421151,8883.041554618534,9036.433378002599,9212.943979560967,9382.408409344327,9552.322163797691,9723.467080369472,9877.360138480875,10061.106000935455,10229.324704142073,10365.91345447306,10542.252200684998,10727.306415848114,10852.910150130067,11027.374502115086,11182.53093743644,11328.32107986596,11493.566724095295,11639.4506630987,11786.512876451898,11918.800474557385,12072.68865126419,12234.122393335181,12388.604822493175,12518.310343427702,12662.20536548725,12807.514561677017,12961.462679796592,13102.134975991774,13241.605058260326,13377.94343571495,13524.292296079417,13660.843144946079,13798.544792263601,13934.118745809361,14071.806554338764,14211.888493659408,14341.406382001556,14474.660479394399,14602.11766451983,14739.909495943102,14877.132327467512,15001.989706134866,15143.635028981895,15267.823753207065,15396.842140866049,15525.361210415842
