,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24
0.5,204.808819376,252.102789886255,292.888464551995,473.25036293476,514.911902468756,664.4965411778551,720.774723085205,849.0269458347,939.9980339476449,1083.2466302482,1167.4317975682,1551.1030347682
1,208.29601568345998,255.35125648629,325.10867670375,482.34163898163996,568.9218990774,675.9888187083,742.7807451998699,866.16475695283,965.41819019329,1103.75723889151,1263.3480909484,1551.1030347682
1.5,208.298018905,261.16763221712495,361.52343501513997,493.55479711639,585.826355068255,699.447284166915,759.44196046403,881.18000183875,994.4643079208499,1127.8343708582,1272.7243353982,1551.1030347682
2,211.361998882,265.0860121229,410.00861368614,501.47318044098,596.3701020171,703.2325060379,774.00004308442,901.2165494924001,1026.7416621464001,1131.28125482042,1287.8028848482,1551.1030347682
2.5,212.071168230975,268.09082761505,433.76763581489996,512.83942543735,607.7976715782,716.991034464725,788.551990054475,916.6924738632,1035.4650748756999,1135.023676121475,1296.3239477982002,1551.1030347682
5,220.102697547,283.78189974795,461.8099664306,549.1158898422,652.4764031245,756.0496273177499,839.6433931762,966.625448268,1057.4329868526502,1165.7666226057502,1329.7220864682,1551.1030347682
10,231.356599621,358.216599671,480.4696239281,592.5316482576001,696.5250680378,802.2588441066,902.4518659488,1018.8340440700999,1119.3789008915,1245.4968834012,1345.1048863682,1551.1030347682
25,232.874799803,433.05878258120003,549.2102847077,673.6812763072,785.1769143897001,894.4619041629501,992.60886116695,1114.7475984317,1222.82032373345,1317.47237217145,1447.8033307482,1551.1030347682
75,384.0802998842,593.1447996812,739.0536682107,858.16189855295,1002.83451036995,1112.1666277592,1209.1340242007,1310.8364496167,1405.90926107345,1486.4196913412002,1530.1553517392,1551.1030347682
90,392.056599784,655.6393998068,819.7564173758001,948.3108505641,1093.5269994074001,1203.9736361358,1303.9967819012002,1397.8376971863,1468.2133416935,1510.7350060482001,1537.4788783982,1551.1030347682
97.5,407.439399682,752.3265996822,900.4423669422999,1043.9660079772998,1196.9134729166,1299.9512533246998,1405.8831672987749,1454.6760426597498,1499.4483376856751,1525.2921312682,1545.635918398225,1551.1030347682
98,407.4393996822,752.3265996912,911.48418719474,1068.16135413576,1209.41571671128,1316.96176129424,1410.95238275956,1459.7048595292,1501.12945207924,1525.49470185658,1545.81860118238,1551.1030347682
98.5,407.439399684,767.70939957626,924.1873994113799,1083.43462882411,1217.86148338135,1327.32021286192,1421.357514435425,1465.6896641287,1504.027602679,1528.3591160715998,1546.0149168982,1551.1030347682
99,407.4393996842,767.7891625842899,935.4624995717099,1111.75367792597,1232.54235933124,1332.6227415697601,1430.4734957168398,1470.26703733416,1504.2923475836599,1530.02114954921,1546.0149168992,1551.1030347682
99.5,407.439399685,776.136899570245,979.486679286675,1172.313769376705,1247.5193928635,1359.4401475637,1441.703657930205,1474.41304031992,1511.076850644375,1533.08625400819,1549.3037942682,1551.1030347682
Median,384.0802998642,496.4575998092,644.1933620482,768.7758392702001,890.9058887977001,994.9942203372,1121.0000379232001,1215.8266166447,1300.6801910642,1422.5075916932,1514.6561667682,1551.1030347682
Mean,332.55083952215836,507.04944797717116,649.4418271553135,771.8400757631773,894.2857952710912,1002.2435158330169,1107.8585506928118,1210.6467243300979,1296.465816665858,1388.881291678081,1472.0107547623747,1551.1030347681994
