,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24
0.5,2.17823900000002,39.8695539854808,48.749731157946634,119.45939129799336,131.63269533912327,150.38054216502906,171.35688599070932,188.23960481082054,210.14980886649647,214.0460731356576,229.500034235516,256.059556875383
1,9.152631615007971,41.1063311869656,61.7042811637847,125.90294791769342,158.07931878071804,169.35443818898636,177.19617570956538,196.9479713529798,215.34312620230165,217.63083618941022,233.74652003293417,256.059556875383
1.5,9.15663805819997,42.608209850239945,87.566523350539,130.79476744206335,163.27353678324974,174.79868594110994,180.69321539628683,199.17230478289582,216.72740236142204,220.39814671769008,235.002740681796,256.059556875383
2,9.15663805820003,43.836305222708596,99.949822204218,133.87007213447,166.64977709490682,180.1051986040849,184.79422023861233,204.547372262883,219.2204880374274,225.2547667195087,235.00274068225,256.059556875383
2.5,15.284598,47.942739580907954,145.320023286242,135.7745362175171,169.6374828659874,186.902286198636,188.86694209302294,209.92734966468552,221.95577284487914,226.774244842381,235.960079907345,256.059556875383
5,32.7659953291,61.97627650908749,154.09529662001802,159.86352159855315,186.75432074951024,196.20766382925902,208.80516749125772,217.52660844285523,226.17105794676425,231.603579785244,238.756952625527,256.059556875383
10,55.2737994864,121.9818266733686,168.897041949493,192.7563654721482,209.6511175194764,210.42459572957802,218.4208753519693,224.5628755519114,232.5294974889803,236.2654104751037,243.658433963091,256.059556875383
25,58.3101998362,209.0096331914295,230.49029770610025,228.19676281193676,233.47425507829925,236.48023287177426,240.1387069790385,241.578964111563,244.63979739328875,246.5763398278475,250.31915306170225,256.059556875383
75,360.72119999825,316.3340333086,297.15874653184,288.222267805042,283.1256815724313,277.0616672218237,275.9577120168035,271.4801620293965,270.81697630185647,268.28252457167974,266.183642345616,256.059556875383
90,376.67379981191,348.20909987226804,318.3611768099567,305.0853445654687,301.9785440751429,292.67476113536304,288.7140735655265,282.7079063323746,278.7259341675428,270.8425478543577,267.959060210048,256.059556875383
97.5,407.439399712,369.28494476524935,347.5963813113457,325.46309141377816,319.30989141355616,307.26044672475535,300.85013369465935,289.9613831937219,285.04313412799127,280.093254093294,268.058387534441,256.059556875383
98,407.439399714,383.92989982291,349.4382980089626,327.40720063415324,321.1797028943228,308.7284787125213,304.4807248652438,291.7708006024785,287.3204177197724,280.1241333841605,268.089508512688,256.059556875383
98.5,407.439399715018,383.929899826415,352.19186649336194,329.85985699007523,323.40270595050646,310.2548480247601,306.2117909843893,292.42425271453266,287.8346645805974,280.1664053840755,268.092789884892,256.059556875383
99,407.4393997162,389.397833119204,357.4781142388508,334.53040175054934,326.4704546027176,314.3559829617147,306.4102477278535,295.7793056271566,290.94822735136603,280.24067295992,268.092789884892,256.059556875383
99.5,407.4393997164,389.3978331228063,360.32706649564466,338.0784023434727,327.4740185431468,316.05637695582715,306.6172210563058,298.1794444769976,291.75220719052476,280.28225696480234,268.092789884892,256.059556875383
Median,360.7211999864,268.9526302687665,260.4496016211965,258.8270427946535,262.0495724627,260.3062090483535,258.5527539738245,257.352896153117,257.9590228539075,257.1484220315135,256.768535176315,256.059556875383
Mean,243.57357177374948,255.9671341044918,256.3132719761029,253.67919056312388,257.1846576290877,255.32051421244608,255.9888167811473,255.5765502502892,256.5632588951454,255.45308591943305,256.1656388001454,256.05955687538295
