,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240
Low,259.87213542499995,382.52967889999996,470.979619425,571.041548975,657.38301345,737.867441625,811.097443625,883.982422025,939.731025025,1009.3214926,1065.993161925,1132.60886105,1180.59089125,1227.95254845,1287.7870877,1338.3678243250001,1386.529376925,1421.481582625,1482.516112725,1521.96280315,1573.23338015,1601.927529475,1637.482186475,1690.9291009,1725.0355967,1777.46411545,1801.7334440500001,1839.5534749750002,1887.95329545,1924.058006725,1958.3683449500002,1997.22973695,2029.9480110499999,2063.27898165,2096.103696825,2142.1208876250003,2167.15882945,2207.7615286,2239.0730551250003,2275.7250438,2312.102344675,2346.622860875,2379.374944875,2414.0537003000004,2456.708287375,2495.065267375,2554.638728
High,473.594017125,612.5311183,727.061390475,817.037401525,912.171353725,988.9328724,1063.204700125,1131.89046765,1190.888373075,1257.3841716250001,1306.1485873249999,1362.55385665,1418.048328325,1463.423219875,1502.710069225,1551.7429281749999,1597.24582935,1638.27117065,1681.1868923000002,1720.2064240749999,1764.1963715999998,1801.69872155,1839.4176673000002,1880.090164425,1916.035482325,1951.42449195,1982.6139156250001,2026.9030426499999,2057.8500195,2085.654254425,2120.141541425,2150.560229225,2186.6829875500002,2212.16493375,2247.966428725,2280.1349731,2304.712717375,2335.718351325,2360.52875745,2392.9405555999997,2417.806948025,2446.6505768,2470.945365175,2495.5675561,2517.74747045,2540.7140784999997,2554.638728
Mean,370.959510492,495.411985259,602.66666099,699.566471339,787.628083806,867.8096952770001,940.0087829299999,1013.316521788,1079.811391409,1133.868336515,1194.8755955130002,1250.573043417,1303.087406924,1354.7681104290002,1403.4701603659998,1451.196738789,1498.9950133870002,1538.8080016929998,1586.2242141519998,1626.4995388539999,1670.751103087,1706.7344238169999,1747.0885571790002,1790.7167037789998,1826.0445267700002,1865.3784209710002,1899.321845428,1936.713443423,1974.560996241,2008.920268554,2046.549302895,2077.230244527,2109.193129158,2144.123393875,2176.9930132440004,2213.1893388670005,2243.776169141,2275.603477751,2309.153624141,2341.100240681,2370.7266141200002,2401.8922185789997,2433.1375612300003,2464.385933035,2494.8165527230003,2525.3536215009995,2554.638727999999
