,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240
Low,67.5774868538889,72.42801964238099,73.82596310250001,79.62303818833333,81.72578324264367,81.88001817336134,82.69078926939105,85.20562276838383,85.0955666540204,86.4778168598316,86.25274018443498,86.05461838995188,87.46566626561076,87.18750577801801,88.2795698196282,87.72358135473391,88.37022537089265,88.81714044987679,89.32339276479294,89.06002205727108,89.74514494509587,90.3718223160336,90.19010500681371,90.62430557361293,90.67399290519681,91.54718846673296,91.48204517455291,91.78267477573752,91.5798433461365,91.38748893496853,92.13189817935141,92.29850064164447,92.11522152679778,92.69132325555668,92.61922331046242,92.6864596365922,92.98601829184209,93.23468491020091,93.14152087444222,93.69060760398614,93.85525839409202,94.04618546364486,93.9782257547458,94.34829285049607,94.6242837662056,94.91010306120019,95.6611269054045
High,114.603101794444,110.92281237761895,109.67250037052678,108.17934416183333,106.79479268718427,106.08656686252115,105.33772637378235,104.85630014419232,104.63347404636757,103.64250977457877,104.01769440851663,103.31286688764385,103.01520335793961,102.40593482513542,102.31701118940697,101.39318924654087,101.6789987218164,101.95742953924933,101.03155554027236,100.49022656026527,100.74639259608013,100.55614108591917,100.19596884032241,99.83013230489033,99.82710740849735,99.90894120237142,99.63942251471481,99.47226904346746,99.42919543721473,99.23953782978211,99.26031308590214,99.01297985927197,98.8021825251862,98.60688505153692,98.40589466543757,98.14910687331086,98.01847875206631,97.92531765047322,97.82188536439828,97.64246784392152,97.4903474135053,97.29277685747667,97.16471783128993,96.93720344843652,96.67676011713597,96.41463074623746,95.6611269054045
Mean,96.36625935275556,94.8466814577143,95.5140330170684,95.60582254494666,95.99355686465746,95.3295130975731,95.90740758198719,95.8635204280202,95.57408492660898,95.47279321104511,95.93517969561412,95.45912474882114,95.68294822815155,95.74497838603818,95.66562383839558,95.44689591452045,95.6902757976774,95.58681648754268,95.66972397459939,95.5050495408619,95.44628630219933,95.63147990562257,95.50976942603823,95.66575339753987,95.5999488560743,95.75392314977822,95.66544106619085,95.636555411141,95.68659771152859,95.60454504959681,95.7941227455787,95.65098437793762,95.61107289682646,95.6992331457902,95.63006014257262,95.60418158252608,95.68563170973194,95.6586338908463,95.6500394216009,95.66187166297235,95.61157641479006,95.65384868278679,95.65863130699319,95.65712660067199,95.67861561327051,95.67407928097045,95.66112690540447
