,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240
Low,137.46001245,261.9379311,369.034112075,475.768801,561.8467247000001,651.2278234500001,721.6588525750001,808.82935335,876.1152968,935.54587045,995.253214525,1052.149944325,1110.652999725,1166.445953075,1210.6425525500001,1261.9262744500002,1318.591680475,1355.165192025,1403.566921425,1445.4748945249999,1496.3545576000001,1534.378346275,1574.754998325,1617.692056575,1670.467311325,1697.076791225,1740.96134905,1774.0606864000001,1811.63868475,1851.85384485,1884.3517625000002,1921.184136675,1951.18860735,1991.3334432,2025.542209175,2061.840936625,2093.156594375,2124.6166106,2164.14530475,2201.77701925,2228.0054257499996,2260.9995827000002,2302.922343575,2331.3356039,2369.65884655,2402.3097573749997,2444.9735438499997,2481.30274435
High,305.17957099999995,478.74010569999996,607.3352152749999,712.48786625,824.965953475,898.7167887999999,972.12331535,1045.37370675,1101.274939375,1168.00172075,1223.0767552,1279.1062273,1329.062856475,1377.908711275,1422.295990975,1470.413399675,1524.6318987500001,1556.8886572000001,1601.0701603500002,1643.797726475,1680.3498419,1714.6443318,1755.7262954,1790.950447425,1833.6751214,1863.58803085,1901.112703775,1942.32227365,1970.868858325,2009.49436645,2042.52732755,2066.407027625,2108.8288294249996,2138.5465188999997,2170.179601325,2198.147986475,2222.980416375,2259.875395275,2285.6196232750003,2317.0472391999997,2344.4625629,2373.7006700750003,2398.6289243,2427.019360425,2452.6342065,2475.428576825,2499.37444665,2520.2297914250003
Mean,226.026666162,370.124231279,492.39226257699994,596.3477232409999,697.339300333,779.453408959,855.9252691680001,928.679962723,996.2445686240001,1058.320944377,1114.701257748,1170.1455500170002,1227.44253599,1280.4627710710001,1327.0439842789997,1374.9161480330001,1424.220946881,1464.6568395800002,1510.1515969079999,1550.8764329530002,1594.6066595080001,1631.501156313,1671.169305505,1708.863219094,1749.863168844,1784.973712175,1824.20015034,1859.5178844870002,1896.1174881529998,1930.73479611,1964.9048189710002,1998.608483324,2033.937911257,2068.853056207,2099.958047601,2132.980499753,2163.709211909,2198.0340803920003,2230.1608957350004,2262.6322854070004,2293.1306955,2322.9434919960004,2356.2388083160004,2386.556852993,2416.785889366,2447.670572125,2477.8579224400005,2507.922777413
