,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245
0.5,233.92991808,323.67285665,444.654297535,517.86193982,600.30798747,658.511925095,752.880522085,819.331570585,876.8075474550001,916.739905895,982.3565439,1043.307480855,1081.319188805,1148.83489125,1207.143102795,1270.030400785,1297.0085333200002,1343.107023135,1393.57648515,1439.9533972600002,1467.72387086,1513.1398410000002,1568.34485898,1613.5618286850001,1656.7625435799998,1697.434833585,1729.14881135,1764.59706622,1809.53761908,1828.07745884,1878.42714996,1899.766883,1938.33588683,1990.94379491,2028.07690201,2048.29620941,2094.1203856350003,2130.21821891,2158.645593145,2201.472230125,2237.4897727700004,2273.58852377,2308.11718837,2341.521001945,2383.74335363,2422.6147845,2463.5208037899997,2499.62053546
1,242.69602973,341.8719587,452.83585388,531.10839272,610.0840032299999,682.14502217,769.30245223,825.64551602,888.2358863400001,943.20723837,1003.7517557,1068.75649493,1117.97878378,1166.64584083,1224.87274611,1276.49315756,1318.7121636,1368.15917244,1403.44345337,1454.6489833300002,1482.65778733,1531.74782389,1586.6558426,1623.1238145500001,1662.78156995,1706.8443926599998,1743.62271831,1775.08265301,1816.91351911,1848.25076911,1897.88940013,1923.56931451,1959.1035108600001,1996.88970295,2037.60851061,2072.09661624,2099.97913922,2140.7029050700003,2168.96970708,2210.82871981,2242.14655767,2285.03236281,2318.1388513499996,2357.26032875,2393.785454,2427.0638946999998,2468.69142249,2505.23186735
1.5,250.087904235,356.79484419,459.028167315,538.67876881,617.405998535,694.46167282,774.57059945,840.976769475,893.66283652,950.150755195,1015.91655431,1075.44214255,1133.689717645,1181.2099407399999,1227.1018910399998,1285.7220221300001,1335.01868287,1373.146901705,1415.222495745,1465.552437155,1502.22080917,1539.102893245,1591.824252145,1633.8248612950001,1678.1163476850002,1717.75110284,1756.20676453,1784.42366034,1826.35953381,1859.800665375,1906.13709062,1929.49938498,1969.1665629699999,2001.789618005,2043.11972807,2079.298217645,2112.71598669,2151.01267089,2177.259457665,2215.39597546,2250.62058403,2289.1811762499997,2326.4639708649997,2361.771412995,2397.11347164,2433.38374402,2472.82368713,2515.47650246
2,260.53065798,363.46952450000003,466.03616822000004,550.2701399,626.5899221000001,699.9321868400001,781.75829522,847.75577038,898.13442624,960.32300532,1019.89629528,1079.0489124,1142.61601904,1189.775983,1233.50529378,1289.57503274,1343.70154036,1378.8386362400001,1425.4494595600002,1472.36236054,1512.47255456,1547.90203206,1594.7227633399998,1642.0155629600001,1685.50488382,1723.09152132,1759.27400276,1793.1240926399998,1830.75729596,1865.87200404,1910.9550714000002,1939.80694316,1974.3794388,2005.6828500600002,2054.1321012000003,2085.91279658,2115.47296022,2156.5367006,2184.1050285,2227.00647538,2256.13530346,2295.9056299000003,2327.88481236,2365.77268696,2402.03107972,2436.75184226,2474.55670328,2517.71617852
2.5,265.081004075,370.32828332500003,468.0242529,553.20903965,635.384223525,709.463835025,785.8028413000001,852.73182175,914.6961440499999,965.213503475,1028.178976175,1083.570161,1147.963295325,1196.0366969,1236.76189185,1293.69883485,1347.347733375,1388.0520725249999,1430.8209815,1476.69949025,1519.0187205999998,1552.400016025,1598.0674680500001,1646.4259645,1691.901161425,1726.26448235,1763.88206155,1800.5750687,1836.0373597999999,1875.086610775,1913.612647925,1948.19589935,1979.82441895,2011.075486175,2056.7449825249996,2092.4001522999997,2120.001382775,2158.4926030750003,2190.809230075,2229.000536825,2259.041570925,2299.1295089,2331.450343025,2368.37592765,2405.853404,2438.43418805,2475.468282125,2518.971732125
5,278.16490235000003,383.25422045,481.32931255,573.9025236,651.89160225,730.1493793999999,802.20383155,868.24072415,935.2326328,988.008147,1047.8942923,1107.7241391,1164.59158685,1217.7099108,1257.22730395,1312.7748712,1364.4289087,1410.8745552,1447.519457,1500.2331935,1534.1992894,1575.2653122000002,1613.7961175,1661.5733334,1706.7446641,1743.10458835,1777.1610212,1814.84844325,1851.39197545,1894.35959595,1933.89430235,1961.9029888,1997.3236293,2031.21697845,2071.63324405,2104.9950779,2135.63966215,2175.0564928,2205.21532415,2245.42600775,2274.747229,2308.1656211500003,2344.54111475,2379.5318601999998,2417.4803396,2450.0092297,2482.368047,2527.4830159
10,297.1938945,400.8020605,504.3123641,594.6105011,676.2104394,752.7693513,824.7782571,893.2711811,957.5882212,1020.3537952,1072.7572556,1131.6520432999998,1187.5992432,1237.1983816,1281.2541741,1334.4608626,1387.3380258999998,1435.5363358,1468.344844,1519.3710658,1556.2896128,1599.9629189,1637.9418887,1680.0546407,1726.7093787,1759.3826385,1798.1049182000002,1838.3336632,1871.0891864,1913.6850001,1948.9913417999999,1983.5080137999998,2014.1409247,2047.2137887000001,2088.8759996,2118.9976119000003,2155.1786812,2188.7291887,2219.4641461,2257.0109270999997,2291.49051,2324.1598984,2356.3589556,2391.4679798,2428.3420380000002,2461.9577257,2495.5103493,2535.7759452
25,328.10854274999997,437.329986,542.50896275,635.1514177500001,718.311485,796.92363575,868.833105,935.0181602499999,1006.138884,1059.84344275,1119.114549,1171.94454225,1229.00211025,1278.41284675,1323.90361475,1375.7041945,1423.66673975,1470.0644805,1509.3422277500001,1553.0808550000002,1595.1613897500001,1635.4680155,1675.31540975,1714.995213,1759.12187275,1790.69838,1829.064019,1870.170061,1903.906854,1943.3430545,1975.11697775,2013.83622275,2042.9562689999998,2077.4756239999997,2115.4457995,2146.8552705,2180.54991375,2214.674759,2246.410936,2279.288769,2313.042421,2346.68983575,2376.8651179999997,2410.89948825,2443.8901735,2477.152204,2509.2941472499997,2541.9012155
75,399.73141324999995,524.829389,636.8944725,723.2987732500001,808.5145155,880.2524505,957.58303225,1025.428058,1096.7083855,1144.23190275,1203.5567967499999,1258.7294487499998,1313.16375275,1363.17014425,1409.502113,1456.66248025,1500.8213295,1547.95790475,1588.8595785,1628.0906277499998,1671.1774607500001,1708.018255,1750.0170765,1787.22530175,1824.8372035,1862.90506225,1896.3422515,1935.68161075,1971.83630825,2004.6196690000002,2038.8999775,2070.3255990000002,2105.47874925,2138.68163025,2172.88632525,2200.049013,2233.3496507500004,2264.7158394999997,2294.68934675,2325.9301585000003,2353.8407965,2385.8700125,2415.1532632500002,2443.685504,2471.15606925,2498.95411925,2525.660935,2550.613054
90,431.6636961,565.2962622,673.1820247,764.575786,846.0664105000001,926.857308,1000.4508601,1065.980215,1129.1647629,1179.7205415,1238.7249293000002,1293.9565466000001,1346.3848982,1396.4007678,1443.9796156,1488.8799341,1529.8140528000001,1580.6259370999999,1623.1471529,1662.7990961,1702.7033438,1744.3036911,1779.8566079999998,1818.3891127,1855.7070453,1895.7403661,1924.5368467,1961.9038398,1999.0942402,2030.9301069,2064.2853557,2094.0782435,2129.7221216,2161.1896191,2191.5321539,2221.8583309,2253.6417397,2281.5243588,2312.8777223,2342.109773,2371.9227192,2399.7831258,2427.5935590999998,2455.0215829000003,2480.925964,2506.2200234,2530.8716014,2553.7988697
