,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245
Low,265.081004075,370.32828332500003,468.0242529,553.20903965,635.384223525,709.463835025,785.8028413000001,852.73182175,914.6961440499999,965.213503475,1028.178976175,1083.570161,1147.963295325,1196.0366969,1236.76189185,1293.69883485,1347.347733375,1388.0520725249999,1430.8209815,1476.69949025,1519.0187205999998,1552.400016025,1598.0674680500001,1646.4259645,1691.901161425,1726.26448235,1763.88206155,1800.5750687,1836.0373597999999,1875.086610775,1913.612647925,1948.19589935,1979.82441895,2011.075486175,2056.7449825249996,2092.4001522999997,2120.001382775,2158.4926030750003,2190.809230075,2229.000536825,2259.041570925,2299.1295089,2331.450343025,2368.37592765,2405.853404,2438.43418805,2475.468282125,2518.971732125
High,462.81571687499996,602.9601222749999,715.9542377749999,806.7810773,895.165489975,969.2487223,1034.910882175,1111.3358121499998,1163.8110473999998,1225.478714125,1281.6131016499999,1334.876536275,1389.40109985,1428.45612325,1481.7025258499998,1529.2943214250001,1561.84125655,1613.1954286,1654.0311123000001,1698.234219675,1734.0609223249999,1777.18193425,1815.1726305,1850.26396385,1889.46257165,1921.172754025,1956.518088975,1993.0239956,2027.16775855,2053.749489325,2087.7830607,2121.004320275,2147.66472265,2180.506818175,2212.9557162250003,2246.35075595,2273.8858535500003,2298.099406025,2330.836663975,2358.98075675,2388.401258175,2412.701867925,2439.7650808249996,2467.2853975000003,2489.003468025,2512.207546225,2537.119913925,2556.638580425
Mean,364.647035115,481.83055094800005,589.668518378,679.23645661,763.2287674720001,838.988941273,912.275343124,980.3024707480001,1047.537525205,1100.7385116289997,1159.487976174,1214.3472454540001,1270.239037505,1318.185494618,1365.8905585969999,1415.0603761060001,1459.533800275,1507.2587314050002,1548.096286034,1590.024072655,1631.7026161170002,1671.130505414,1711.668790323,1750.589715098,1791.844687582,1827.2294609500002,1862.6365573179999,1901.694035569,1935.4186814429997,1972.63449053,2006.6443252109998,2040.253697977,2072.7032763469997,2106.300790398,2142.680965925,2172.7049139799997,2205.677838311,2237.7442784869995,2268.9970410600004,2301.6664073419997,2332.372311443,2364.4592158289997,2394.520722038,2425.5830555539997,2456.0731986580004,2486.168605199,2515.438787546,2544.833035291
