,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36
0.5,198.20962934000002,311.59183071,395.79121611,496.49955415,579.0483460549999,657.4927519,754.0514301049999,834.506545585,883.819384925,984.8769168,1071.3858259849999,1136.37000739,1204.0540523299999,1287.8558245749998,1384.783382975,1463.804265,1639.725574
1,210.63316989,318.64423774,411.23460918,510.92615084,592.2795203000001,676.1011315100001,762.41262366,836.97403619,899.65367767,998.77695984,1092.21013153,1150.60802705,1221.6153651700001,1308.46692968,1393.67707823,1486.3753199999999,1639.725574
1.5,223.791442595,325.05897956,425.88076235,517.9787342999999,600.0304442849999,690.244467075,776.0672234,846.3616136349999,918.23191722,1007.6382452299999,1097.79749982,1159.0752752600001,1224.002131025,1313.1935497050001,1402.5193701150001,1491.066344575,1639.725574
2,227.54800034000002,334.6980421,437.7938853,526.0023317399999,608.33095486,691.7413477399999,781.09786956,854.46510472,924.5426922400001,1015.59590986,1107.73093992,1164.6722773200001,1229.6996313,1319.643717,1409.03737238,1495.275975,1639.725574
2.5,229.203875,344.9256954,446.34753815,533.99433395,614.130477675,699.11467325,786.7326543,861.441631175,935.849977375,1018.138580475,1110.7076857000002,1168.005901075,1241.218251125,1325.784885525,1415.7076909749999,1496.42557,1639.725574
5,245.1081585,364.23294005,462.952302,557.2565743,640.4792964,721.3822364499999,808.22244315,885.43602305,958.54873595,1037.78635385,1124.9326898000002,1186.96875045,1264.5981599,1344.11136195,1429.87667715,1510.01578,1639.725574
10,267.67235,386.6872443,482.0365372,583.7775922,662.8897049999999,750.5653993,834.9979884,909.1619279,985.1572021000001,1060.911454,1144.2211941,1207.0979344,1282.4925554,1362.6104937,1443.3659841,1525.2435908999998,1639.725574
25,304.558201,421.46538625000005,520.2426675,620.70574875,700.44627125,792.815382,875.8746725,950.08385675,1031.92543775,1105.6530255,1181.65158625,1251.53305925,1327.28167475,1402.99056875,1477.6521309999998,1552.60643325,1639.725574
75,358.769094,489.18055849999996,598.424936,703.2202705,790.9937837499999,875.54783875,965.57893525,1046.4059750000001,1118.42040425,1194.05523125,1270.027475,1339.22638725,1407.45273475,1471.82594925,1537.513415,1594.883959,1639.725574
90,384.25158,515.896555,627.7824699,736.0611336000001,827.6995569000001,913.6403042999999,1002.3132052999999,1087.8027399,1153.7212251,1227.632206,1308.6112832000001,1377.7658842,1444.0209375,1500.4957851000001,1559.8832552,1610.599568,1639.725574
97.5,390.880531,537.666679,660.4542554,769.3801620249999,868.91460545,945.364081525,1038.4455066750002,1126.1488771000002,1190.6683227,1267.2355612,1345.8003843749998,1404.6888912499999,1472.882828725,1526.0655123499998,1575.9133814499999,1621.168491,1639.725574
98,390.880531,543.0655554,664.117203,777.271545,876.76650376,952.5558035199999,1042.2028863,1129.11464662,1196.45074192,1273.4277445999999,1350.66421672,1408.61337616,1475.3640841600002,1532.96369628,1579.9223994999998,1625.9858009,1639.725574
98.5,396.274399,545.072909,666.38016986,782.0855318050001,882.41082134,955.994330295,1050.0608438000002,1131.75895675,1199.555204815,1279.7020093550002,1354.3842837700001,1413.728393745,1478.840258905,1536.3450808149998,1582.801625,1627.5446804899998,1639.725574
99,396.274399,549.556889,668.422509,785.62160829,885.76738822,961.5496186299999,1059.94174792,1138.86568609,1206.1186600800002,1290.02818654,1360.9597079399998,1421.2231198499999,1482.9413779600002,1539.58055177,1584.5353343,1629.208115,1639.725574
99.5,396.274399,560.1728889999999,678.23107952,791.2747731,898.589576275,972.880187235,1073.94107849,1155.2933247649999,1216.9942969649999,1306.2783728200002,1382.3409845899998,1435.502920215,1489.635503825,1549.07958074,1591.120025715,1629.2106595399998,1639.725574
Median,333.975227,454.636238,561.742829,657.495615,746.399822,835.8890175,922.237352,996.3495355,1071.8338365,1153.536946,1226.463302,1295.8042555000002,1370.7450945,1440.5629924999998,1509.5139909999998,1579.036093,1639.725574
Mean,328.31471096300004,453.45279374,558.4218596420001,658.497030795,745.3118757569999,833.155524599,919.33911743,996.9119923609999,1072.029322838,1149.1120966130002,1226.55560893,1294.582420042,1366.791270074,1435.743181085,1505.682202591,1572.627177443,1639.725574
