,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50,mpd52,mpd54,mpd56,mpd58
Low,139.77869228999967,147.07492579464258,150.3011756988891,155.66008653939406,157.66986028571412,158.06431805666668,159.5770325607844,162.50727561105248,162.36154264437232,162.63916584456484,162.27548506707691,164.12118329391492,163.968499935977,164.37667084122984,165.91118033101554,166.10252754666672,166.7650348862729,166.75432288987182,166.93084400191614,167.49187655084603,167.9051449996618,168.41456939339582,168.56625126367354,168.95237712609332,169.35969602103413,169.84502800461058,170.257366959468
High,191.221888666667,186.587834571429,183.5548410588889,181.7327267121209,181.00739404835184,179.68199154708367,179.58109576470636,178.35170887578977,178.43527020173207,177.679402409783,177.20376854707646,176.84014552645465,176.40029933022944,175.98389568014122,175.6869545486627,175.51864744087263,175.4183259979373,174.65273011339696,174.38807960313594,174.27129578895367,174.13953912038667,173.87396550757958,173.4893942063674,173.1583896804674,172.8243388132773,172.51782587266257,171.84574153297
Mean,172.2420714781333,171.27316298528572,170.37463997728887,171.26320314742426,171.38134982103296,171.2556892887,171.09918308341176,171.4140724137789,171.6646203704502,171.33269573315937,171.2132161971877,171.38427391020105,171.25617952911725,171.0898816949476,171.2375471639679,171.27841289975555,171.30554469137695,171.25677871394615,171.12507156634842,171.19577494712897,171.36248485405798,171.2775518359787,171.22604636822695,171.27906189172697,171.2605248687016,171.25243625164802,171.2563052884053
