,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36
Low,229.203875,344.9256954,446.34753815,533.99433395,614.130477675,699.11467325,786.7326543,861.441631175,935.849977375,1018.138580475,1110.7076857000002,1168.005901075,1241.218251125,1325.784885525,1415.7076909749999,1496.42557,1639.725574
High,390.880531,537.666679,660.4542554,769.3801620249999,868.91460545,945.364081525,1038.4455066750002,1126.1488771000002,1190.6683227,1267.2355612,1345.8003843749998,1404.6888912499999,1472.882828725,1526.0655123499998,1575.9133814499999,1621.168491,1639.725574
Mean,328.31471096300004,453.45279374,558.4218596420001,658.497030795,745.3118757569999,833.155524599,919.33911743,996.9119923609999,1072.029322838,1149.1120966130002,1226.55560893,1294.582420042,1366.791270074,1435.743181085,1505.682202591,1572.627177443,1639.725574
