,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58
Low,358.15241667500004,450.606838075,534.053120475,624.44080745,701.475054925,785.2740254,861.9802636750001,899.5249359000001,995.029230725,1060.978972175,1138.2301456999999,1200.4527808750001,1258.4477371750002,1324.7852616,1394.6371402,1455.9018139,1515.743982225,1581.5555009250002,1641.0874379250001,1711.3092430000002,1770.6262086999998,1833.0208389000002,1897.898921575,1957.999098775,2011.7127595499999,2099.77160715,2162.214186
High,545.072909,661.3735874500001,779.3623322,880.29057805,966.458527525,1054.43538825,1136.3216397749998,1203.678675,1287.580847475,1354.8154599000002,1419.18708225,1502.6648293,1555.248966575,1621.29765825,1679.7787131,1742.772195575,1790.4208145,1851.9890174,1904.873241425,1957.158105075,2016.2738419999998,2051.7821408,2100.214228625,2136.87717925,2177.8753756499996,2210.99063995,2238.59238
Mean,456.23617643999995,562.6985284229999,662.398168083,757.208680267,840.0211853809999,922.454306406,1001.1979342499999,1072.619649902,1147.289884326,1217.0363887729998,1285.2345356,1357.1417029450001,1415.273854981,1478.2119075859998,1543.273584542,1602.7576186740002,1661.7976732119998,1723.3290334800001,1780.9727855770002,1838.938950034,1896.466392512,1948.204151171,2003.3716257459998,2055.913082143,2107.94924381,2162.753383224,2214.5581413009995
