,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240
Low,28.60094303,29.885268045,28.78033095666667,26.76353986125,24.990974261999998,23.911930564166635,22.757822531428584,22.00770113,21.03813392499999,19.492261768000002,19.184456886818182,18.3141656783333,17.770548173076946,17.251712248214286,16.887063680000033,16.366445886250002,16.010318159411728,15.568308697222255,15.469871749210537,14.9131048915,14.804121604523774,14.42978283613632,14.091168829130448,13.873860200208332,13.9276420366,13.522920152692338,13.54334188592595,13.1902232101786,13.222976202931031,13.0269809785,12.979214108548355,12.830314088749999,12.720398615757572,12.5928458933824,12.6212298408571,12.46699036833329,12.340439317702725,12.30097790631577,12.194520017948712,12.223594148875,12.177127912560962,12.131496409880931,12.083003945232557,12.087866642272745,12.088928953444412,12.078119697717353,12.090566421489369,12.1851775421875
High,119.390746025,80.820016635,66.69864876833333,56.96896365875,50.252788034,43.8316873658333,39.709853450714306,36.449854470625,33.59868061666662,31.3238152685,29.910707989090945,27.751964343750032,26.688118175384616,25.068397331071456,24.06867356533336,23.251863518125,22.2008731364706,21.211571188611124,20.699179098684247,20.146578083999998,19.516263517619034,18.90566033772729,18.316512971956527,17.967299155624968,17.634983634799998,17.152176398846123,16.799883024259305,16.4604613764286,16.14193200793099,15.781245896333333,15.598254313225796,15.31550344984375,15.08008564833335,14.82061403573527,14.605238475571413,14.411397559166634,14.26971562959456,14.072776734605258,13.886099365384595,13.690162679375,13.520894916829274,13.366873973333295,13.192211095348808,13.00813012272729,12.926306492777744,12.72443313641307,12.549600031276618,12.363419594270832
Mean,70.6877081398,55.36612538359999,47.07822899693333,41.467217306449996,37.35263311144,33.834814105433324,31.376614999114288,29.013550461675,27.028955033377777,25.431238809139998,24.25438157390909,23.106728469416666,22.146215941984615,21.269691032757144,20.472645157173332,19.7910664692375,19.10379014678823,18.513330312155553,17.9489493106,17.541106059959997,17.123618696390473,16.672614800236367,16.28826372788696,15.975228922708332,15.714010023079998,15.333940140846154,15.114299046348147,14.841343608535713,14.666516647731036,14.435720381453333,14.260425247064516,14.05931807484375,13.897816534339396,13.742870301064707,13.558350916760002,13.46762408793333,13.32206257942162,13.190930958773682,13.069706122441026,12.95082086438,12.866087146482927,12.760763086576189,12.659971790818604,12.58340308696818,12.51733304476,12.427709243778262,12.352618584548935,12.286688853941666
