,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260
0.5,24.4510342785,23.034010559666633,22.63712748375,21.209175851999998,19.29197740616667,19.5291320248571,18.51994498125,19.102757861777764,17.8425785309,16.8039692854545,16.48379319250003,16.59758861200005,16.016279246642814,15.550612236266634,15.228164659875,14.984480248941217,14.185756816444423,14.004008931526347,13.82845285065,13.528893854380954,13.165559192681865,13.065247713304355,13.083604819875001,12.811354976719999,12.767887917846199,12.468965619370326,12.317885734857157,12.270396137620734,12.004312669566666,11.838994490322593,11.94282847475,11.690528693424291,11.759531387588282,11.725779649885686,11.511261664333366,11.535838969162182,11.396274512842133,11.265125631846102,11.216557768749999,11.281458163804915,11.14997337557139,11.054395938744197,11.133268396590918,11.149292416822256,11.091077559608744,11.024373484382993,11.092832300583368,10.928664149142895,10.98823550094,11.041723350019602,11.063006674942345
1,25.597019224,25.2739062093333,23.736656131500002,22.8621018232,20.8257142813333,20.671982890285673,19.44952530075,19.370683095555563,18.463494854,17.259740203818154,17.033657540000032,16.99699115769227,16.326746455714314,15.8654490426667,15.716997009375001,15.30337691576473,14.8321114183333,14.326146521473696,14.1197178881,13.927409477904762,13.389926915454563,13.342222358521774,13.202377270166634,13.04196869504,12.9264201253846,12.648576442518493,12.547286918071443,12.333531041586197,12.111732367933365,11.984945984387137,12.04125793775,11.919103401999996,11.883953345705915,11.812896233828587,11.662981067166646,11.63457524108106,11.479619888842121,11.413930609538465,11.3418667079,11.342870091121938,11.249456266380996,11.236478617906958,11.299435658272762,11.230391105777821,11.164714026347825,11.128425129617,11.133873572083333,11.05973097244897,11.10402516996,11.088772264705872,11.121851176423046
1.5,27.022337034499998,26.27581729,24.254586324250003,23.598119646,22.4376971918333,21.126857014571442,20.179146368749997,19.792449073777735,18.6540987704,17.736392204727316,17.553239901416703,17.201321014999994,16.679632039999984,16.0446704932667,15.870503525,15.38391389694114,14.974635571222267,14.485577500157854,14.168310604850001,14.242509792095285,13.669314313954546,13.491705027782643,13.4127283478333,13.25657189404,13.036228612230769,12.779785729666667,12.60679203610713,12.448032336344868,12.3316306928333,12.165607315871009,12.13306934696875,12.041702985060645,11.935166148705912,11.879737173714327,11.7432373861389,11.672743698972997,11.546056271999959,11.485400108589754,11.412173561675,11.417491865365811,11.331868567857102,11.330306488325629,11.333379886681817,11.278490014177766,11.200955873217403,11.163364872978683,11.1666691264792,11.105095837816348,11.144021654220001,11.127639787196076,11.189573675019247
2,27.994811453999997,27.210577997333367,24.762943667000002,23.9167689128,23.201722592000003,21.406515529714245,20.4831638765,20.032736049333323,18.9866636172,18.557205924363654,17.838391151999968,17.6337386184615,17.00957660714282,16.3593097384,16.0314343115,15.59106927105883,15.132362484666656,14.65964831031579,14.3840336466,14.362053787238128,13.799960961818172,13.674356053391318,13.5468263973333,13.33247206448,13.106015621230776,12.934191134518558,12.710370603285742,12.507094042896515,12.466426967466667,12.302731926709662,12.16733858325,12.131895686787876,12.00428185741175,11.934134178400027,11.845965002999991,11.743562863135178,11.636254075578984,11.54707524656408,11.5091970635,11.489893084975638,11.377577897904729,11.350175286604687,11.367457875090926,11.302084241244435,11.228953304695615,11.181128450382992,11.200655907166635,11.13834120228571,11.17393360696,11.157257300313711,11.20013356499996
2.5,28.7265023825,27.550019581666636,25.095381702500003,24.434928285,23.653216205,21.82748472857147,20.893580464375,20.249911743333374,19.181276415499998,18.68761109454542,17.930972543750034,17.7079106742308,17.1991170571429,16.551585641666698,16.2817900790625,15.752159908823506,15.288721732222232,14.779703919473658,14.60126423225,14.41970717880951,13.890222326818147,13.793795401304353,13.6135945622917,13.3888388438,13.174517495576938,13.01267169555553,12.798651700892885,12.544751158793112,12.504391704333333,12.345885408709723,12.21817089234375,12.157656401818189,12.034280034705851,11.9748259588571,11.8742653113889,11.815483065945985,11.693462868947352,11.618612076538426,11.5270607885,11.517066407073187,11.443294541428559,11.385304924534891,11.383671469659099,11.328180554555567,11.238408259456522,11.227461313829771,11.2389134767708,11.152721366632663,11.2074094357,11.18084679245097,11.224170615000029
5,32.66877824,30.6638811533333,27.7164830575,26.4316174,24.860122133333366,23.357245274285738,22.16926052375,21.325443323333342,20.059226555,19.63972489272728,18.88411556499997,18.12731744769233,17.748332142857187,17.031119457333364,16.670268585625,16.16048827352938,15.749926013333376,15.206697229473695,14.9983868125,14.714337923333291,14.38706716454549,14.080056396521725,13.921022495833334,13.6759069996,13.40353141538458,13.25197617888888,13.034746520714284,12.926481698965535,12.751963981666634,12.616478442903185,12.4547240840625,12.35816436333333,12.215954420882314,12.18688234457139,12.067762938333365,11.978128047567564,11.820269337631604,11.805464791538464,11.68945212825,11.639651050487789,11.56312142142861,11.504760452558136,11.479211863181824,11.416457681333345,11.348506132826065,11.322031398936165,11.31287712187503,11.2761381040816,11.271554576,11.24268067313722,11.282194683846125
10,36.1216469,33.17983082000003,30.55211385,28.313160036,26.26822825333333,24.918787297142877,23.3858279225,22.287406602222237,21.158022474,20.52816088181819,19.7188321066667,18.89641142307696,18.39524034000001,17.655114352000002,17.24256189625,16.665068725882342,16.268401299999958,15.80439572842105,15.495974782000001,15.12139217619046,14.782778094545419,14.5222602,14.30084714083333,13.9993085808,13.72606330153848,13.60703055925929,13.40473873642855,13.21729054068966,13.027826144,12.88405242193551,12.6885004125,12.57980472909094,12.43135423941174,12.41359921257142,12.251884382777801,12.14528755243243,12.01109239842108,11.95836028000004,11.884885740500001,11.81391351707321,11.73504897333334,11.650761245581409,11.62273902909087,11.548551228888849,11.4968186195652,11.435378007234,11.41664136250003,11.39018394448978,11.3528976644,11.32466291254904,11.34402806000003
25,44.064783175,38.644851733333326,34.6629365875,31.84907114,29.3292738916667,27.404368585714273,25.6052601875,24.171027616666674,22.928354195,22.0817639681818,21.1142239791667,20.203498457692323,19.5306641392857,18.7742726333333,18.236588453125,17.569879300000025,17.11537985,16.658435276315824,16.2870577725,15.87974598809525,15.468649850000025,15.19724673913045,14.89739893541665,14.608293096,14.362579478846126,14.082668727777751,13.952263619642851,13.67588637413795,13.54001546,13.286139170967726,13.1182937953125,13.0188850060606,12.866231033823551,12.716451704285674,12.563675834722225,12.486820732432475,12.320757900000025,12.2526516025641,12.177533585,12.059714681707325,11.9849343202381,11.898404380232524,11.82915242386365,11.756442727777749,11.7023223956522,11.627910785106375,11.572043892708326,11.523909277551025,11.469151354000001,11.423225716666675,11.39817565192305
75,61.6446303,51.788173550000025,45.1780592375,40.58833548,36.40087521666668,33.43164005,30.9194642,28.542269772222227,26.904199204999998,25.64826829545455,24.578867525,23.36391443846155,22.327393242857127,21.41173404333335,20.5972470375,19.813289432352953,19.294203202777776,18.644615247368424,18.147687830000002,17.663729276190473,17.25237100227275,16.7068618543478,16.31410425833335,15.994198544,15.6422568173077,15.385656662963,15.1253506857143,14.851003141379325,14.564241136666675,14.281254611290324,14.072718634375,13.8903035727273,13.6875199852941,13.520048170000024,13.357609877777776,13.202742047297324,13.014582400000025,12.92469306153845,12.8007150025,12.63906973536585,12.516924670238051,12.38177185930235,12.26212067727275,12.18632827777775,12.0840534630435,11.979393552127625,11.877821116666675,11.784419195918375,11.692367209,11.590036604902,11.4799423144231
90,70.00051248,58.110255173333336,50.059832705,44.018703615999996,39.3459740466667,36.41414113999997,33.131687930000005,30.67710616000004,28.86224042,27.33247085999997,26.05853981333336,24.585266056923043,23.53300410285712,22.574640820000003,21.740515205,20.87761335764704,20.158391205555517,19.65406392421056,18.898999389,18.42725578476189,18.005855949090872,17.47769624956519,16.9873303908333,16.6646320336,16.26326688230771,15.93594242222226,15.671209705,15.326584271724121,15.0646799666667,14.69058049677423,14.472525639375,14.26673237515147,14.07274352058824,13.82525294799999,13.67586814888891,13.497332891351359,13.33848832578949,13.2034228338462,13.085779604999999,12.8930609131707,12.73774322380956,12.58172167906975,12.46962866227271,12.3617756613333,12.23704193434779,12.123179200425561,12.00699028333333,11.88860594489797,11.7818305828,11.6437729811765,11.5156669615385
