,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260
0.5,228.61723401499998,331.603512685,425.004872825,516.7033212700001,591.7604197400001,683.7728231149999,752.337534175,827.5988804250001,868.715094925,926.513537755,1024.7014690600001,1068.7401567999998,1112.4723376700001,1166.01674149,1214.2275220699998,1279.154148815,1320.7055490750001,1368.384300455,1416.8967520049998,1470.69772986,1510.31605298,1547.370359335,1584.4726466,1640.0419327650002,1666.5889189349998,1704.452388025,1749.4718748999999,1787.375516365,1836.082033795,1856.998569295,1893.5345400550002,1933.55341647,1966.6288684200001,2000.302774,2047.224345795,2070.56223237,2115.7851817349997,2146.35186333,2176.611273085,2215.37943172,2249.5829603049997,2279.204185125,2319.195192475,2353.7804226450003,2388.08246313,2417.0233754349997,2437.2519759399997,2479.8664203599997,2522.69892673,2551.02305134,2596.77662612
1,244.96435060000002,343.61431329,440.50030674,529.57417322,619.19966982,689.5784211499999,765.09203032,841.9535905,892.56731423,946.90179168,1037.7952397899999,1085.8062202400001,1128.25828081,1185.27151581,1219.53149302,1290.19350854,1333.80131325,1390.2948851600001,1427.39936976,1481.45879788,1517.7327933899999,1569.90005608,1597.76799777,1649.50772816,1679.03576383,1714.41209298,1767.68389051,1802.58229267,1843.3370854500001,1867.0506959999998,1914.19278037,1947.72011144,1981.4233505500001,2024.3816900699999,2058.0359832999998,2080.6993598,2125.6945720100002,2157.3625744200003,2186.4238643199997,2225.88267799,2256.70663495,2293.9737835,2327.7837382499997,2361.10274311,2397.44565259,2430.72825607,2455.66559546,2487.7016057700002,2528.11645322,2557.39351522,2600.4559944899997
1.5,254.862852505,351.47604068,449.73369499999995,539.2859456,626.072952945,700.1676777499999,773.1504736850001,848.58081463,902.3543906650001,962.29923493,1044.18373487,1096.27086806,1140.0585641,1197.9928940149998,1236.884269655,1297.22143661,1342.268846145,1397.4022142699998,1433.12202572,1493.2652191,1532.500211065,1575.62929696,1607.769505225,1654.4938431100002,1694.243236405,1726.194939475,1772.089462885,1808.31529105,1853.68181776,1877.9606186,1927.16298547,1955.028876985,1985.6588663500002,2029.981986215,2063.05188626,2089.1454607749997,2132.9412223249997,2165.261964715,2193.538237075,2228.989045505,2262.7027419849996,2298.900646495,2333.042807035,2365.8875101549997,2402.553451245,2432.65440166,2460.405022145,2495.91118332,2532.7068105450003,2563.49073749,2603.16925181
2,262.34190376,354.37192108,455.78293212,547.61845392,632.8100266,705.67211812,778.0426057000001,857.05674024,915.8365373,974.32459048,1051.02097632,1104.16117538,1153.75383474,1205.6105179800002,1248.66268138,1308.63352362,1349.6823669999999,1403.8198046399998,1442.75321804,1499.1727863200001,1537.8760629800001,1577.2596310400002,1619.4683929399998,1659.27547596,1701.71960712,1730.46619652,1780.6319678000002,1815.3917913799999,1857.02501982,1884.45361822,1933.78190318,1962.8575143,1993.4588387400001,2032.11932534,2068.93684868,2096.23792144,2137.57502974,2169.39606398,2196.67586948,2232.84946856,2268.02231338,2306.61825996,2334.5291773,2369.09818322,2405.5205030399998,2435.48074494,2467.93966354,2498.40266018,2535.68445282,2567.3546177,2611.02607022
2.5,267.39968095,358.53239275,461.2712964,554.5484136,648.10797335,714.0520834,789.090964775,859.332409,921.7763432749999,981.773659375,1055.04225165,1110.7910169250001,1159.366812875,1209.0540547500002,1260.487345025,1312.383078875,1354.44171265,1407.4292818000001,1449.166962625,1502.49568525,1543.1244599249999,1579.7590028500001,1622.17236865,1663.976802275,1707.0064781249998,1738.0102346750002,1788.2852397,1820.883295375,1862.027192275,1891.9894208249998,1935.036303575,1964.7286052,2000.468867175,2038.22316145,2070.4569762,2100.8363698,2141.1402963,2172.843871325,2204.6542981000002,2235.4208887500004,2270.05839005,2310.0087950499997,2336.532939575,2371.821967525,2407.8328926749996,2438.60999355,2470.2808032000003,2500.662581,2537.849077075,2567.8875674,2612.6460784
5,282.02111445,385.59033420000003,490.23089825,580.8795650000001,664.3481119,740.85151485,815.7280273,880.7508849000001,942.70576205,1008.4043949,1074.52109655,1133.3153541,1181.1175761499999,1232.2241314999999,1285.0299424,1334.03823055,1377.4062600000002,1425.44972855,1472.05073595,1523.6110635,1560.5649918499998,1600.6963402,1639.1747154999998,1687.5792601,1722.4377054,1754.49804415,1801.2788509499999,1838.7628551,1875.2475264,1910.10065235,1947.49242925,1981.78069615,2014.7112908000001,2046.9406898,2085.8920784,2120.36935715,2151.0393937999997,2184.6099529000003,2215.98674855,2251.7355841000003,2281.4494228,2319.21468655,2347.85599255,2382.4570876,2417.2128101,2449.00292475,2479.95141575,2512.42519615,2549.4671215500002,2580.3355703,2623.32475565
10,295.7793596,412.382031,512.7079104,606.7854263,694.8287828,765.7334655,842.7182044000001,909.864695,969.1723025,1036.7285712,1096.4406242999999,1158.6222444,1204.5691630000001,1260.560968,1307.6497536000002,1356.0404543,1401.4219721,1446.9627616999999,1496.7874114,1544.5162285,1583.5104871,1621.6397258,1662.1873069,1702.6694592000001,1741.4376507000002,1780.6388745,1824.0560136000001,1855.6492091,1891.1991251,1925.548246,1964.854918,1994.5974077,2031.2984924,2066.8270362000003,2102.5086004,2135.2602564,2169.5767799,2202.7681204,2232.6382526,2265.3288823000003,2295.7196633,2334.5615828,2359.0694575,2395.7201307,2429.5526588000002,2460.5778544,2492.5511218,2524.8099522,2557.8504992999997,2591.5398670000004,2629.4768883
25,332.0609235,452.54297299999996,549.94716225,647.4752485,729.5336619999999,809.90747,883.480541,952.8702499999999,1012.6316784999999,1077.5172045,1134.0399459999999,1194.0508405,1243.718034,1300.057247,1348.248364,1398.9793462500002,1438.24672675,1488.8305010000001,1530.16354075,1577.90758375,1616.7066347500001,1654.809918,1696.974529,1738.50260325,1776.2676305,1811.0157565,1853.58159725,1886.0897527500001,1922.0565677499999,1957.76881925,1991.9119382499998,2022.48764925,2060.6681845000003,2095.597245,2129.0936425,2161.33538125,2195.40024275,2227.5530235,2257.202483,2287.52559225,2321.49705775,2356.102154,2383.36755875,2417.20244575,2448.3450045,2477.5073580000003,2510.2356445,2541.11682275,2573.3579575000003,2603.59012875,2634.8815675
75,406.3532815,532.95659675,635.1012087500001,735.55006275,819.38339125,898.0312367500001,971.1845969999999,1038.55556075,1104.5009209999998,1167.326559,1221.6155385000002,1281.682435,1327.7019915,1379.4081139999998,1425.38305275,1478.1653885,1519.73095575,1564.8865255,1605.6787635,1649.22514525,1690.381976,1730.4714884999999,1765.8102555,1807.25922,1844.86054575,1882.6583217500001,1916.4411515000002,1950.249333,1988.05739925,2023.002766,2049.74220825,2084.886593,2120.39296625,2151.8534925000004,2185.0509435,2215.0891295,2248.17544675,2275.639624,2308.7663905,2337.85830225,2366.9053544999997,2396.83534775,2428.03874825,2458.0523402500003,2485.508511,2510.9271965000003,2539.65811325,2567.91383925,2594.1347530000003,2619.43189275,2643.926262
90,437.5720157,565.1461531,672.5649707,775.1764491,858.8987463,931.8394513,1008.6223564,1077.9491385,1139.639682,1204.2016817,1255.5412879,1316.4269139,1361.3025848,1411.7101332,1454.704199,1508.9524818,1551.7847241,1597.924326,1639.4614857000001,1683.0105822,1717.9420905,1766.6101323999999,1797.0744012,1832.0120601,1870.7886739,1912.158932,1940.5071581000002,1976.1570964999999,2015.0107658,2049.4083648,2076.2565145000003,2110.6561701,2147.3672764000003,2175.3649575,2206.3811078999997,2235.8145805000004,2268.4712034,2296.913907,2327.2684489,2356.8129286,2384.8158119,2414.7003818000003,2442.1527682,2473.0194261,2499.1173522,2523.8626252999998,2549.7737165000003,2577.2592817,2601.8798472000003,2624.8786184,2646.739427
