,pd5,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250
Low,142.800104075,265.587590375,367.86238895,466.682770025,561.864159375,633.988528825,716.621482525,787.06609375,856.696966575,923.09000665,982.0523425,1036.8805337499998,1095.33401195,1155.712506575,1205.652919875,1262.50717235,1308.308110775,1350.651654675,1395.516269475,1437.9911595,1488.68905725,1538.3647637499998,1578.6609690999999,1624.5584222250002,1664.40655475,1694.85604065,1732.434634125,1776.5421044,1816.8747993749998,1850.3300359,1897.44491425,1927.70105755,1971.9668415,2003.020788325,2040.013611025,2066.5164741500002,2104.0816064,2139.543957975,2163.838518125,2204.491785175,2238.14527445,2279.8383913,2310.0581135499997,2341.6024902000004,2374.862072125,2406.855918625,2442.5052083,2475.943312875,2513.4770876000002,2556.9772366
High,302.48242005,470.343013575,600.185871175,706.719600875,804.5959268749998,892.4616408750001,967.6303879999999,1038.63435805,1112.5401941999999,1176.0668415999999,1232.386993425,1283.5119594750001,1343.6705442,1399.932726925,1445.2805001000002,1486.7846608,1538.69496105,1580.663751425,1635.340469425,1669.2337107,1705.759233825,1746.902583475,1788.3960651,1820.473355025,1860.705682625,1894.171019925,1935.87221,1965.4052662499998,1997.003203725,2038.7555283000002,2068.7343208,2100.1603362,2135.8379489,2166.197091475,2197.4963911500004,2223.584527675,2256.0272070749998,2289.870260325,2313.3383818,2341.3157254000002,2371.2361744,2400.312875375,2425.4485174,2450.468921125,2477.443013875,2499.5017118250003,2528.9482662,2551.977093025,2574.1188195,2595.821359825
Mean,222.34036028399998,365.395371654,486.257699871,591.146695546,683.904416836,767.658610839,848.899790883,917.69143859,990.2203577109999,1051.811426402,1114.918406354,1170.338496818,1225.6964294420002,1280.438179137,1329.241600842,1381.5038451050002,1429.691973648,1474.698913828,1519.923858762,1559.3555742540002,1605.666704012,1648.7294082619999,1688.1419711170001,1726.370629367,1766.441430659,1804.6713474129997,1843.4969024860002,1876.4658428520002,1915.2128767039999,1950.191239556,1985.0815867229999,2020.279034083,2053.986088465,2086.290321887,2121.104894247,2154.8803816170002,2185.4098705320002,2218.6131286960003,2247.072175163,2280.2886732879997,2310.723047788,2341.742520351,2375.504778765,2402.80671961,2434.1133108430004,2462.580038102,2494.674554327,2522.8793779499997,2552.154169935,2582.0504398450003
