,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22
Low,24.375729424,66.4010053947641,146.62921198143033,159.1554082573415,184.70760159587974,198.78193381475307,212.4397918628965,224.38355236959308,238.8399715288858,246.789951685268,266.767902433273
High,407.4393997122,368.5470998788025,352.1918664983128,333.9597100445825,321.7089262061229,311.5455160002142,304.9808141871682,297.46754384636745,291.5209826962155,279.6619964150505,266.767902433273
Mean,263.72087717221456,270.8876890397263,266.693341945753,264.4530359723836,267.13686568234175,265.54477750455504,265.96475170600183,266.46082833680975,267.22300409869104,266.72440693878826,266.7679024332729
