,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22
0.5,14.602945769,35.60579190764289,56.22408766806583,132.39967043417667,158.43905187623295,182.7337235408207,188.99422131979293,214.69769570788677,228.530637988463,241.2713220451203,266.767902433273
1,15.284598,41.34035707215213,79.63652283022337,145.27306762052746,173.0752649601435,192.8830682379555,197.05675162702772,219.3571359389744,231.897182088747,241.279464576637,266.767902433273
1.5,16.7029366972,44.411564138906996,88.5597425825691,148.17269810181608,181.3990129303827,195.9514219543029,205.64907353157454,219.85079557307867,234.01416858285467,246.14591158151094,266.767902433273
2,16.7029366982,53.040698969814606,145.8492243009242,155.82954395862404,182.99611318751747,198.15180933919171,209.54529814176914,221.73301300426817,237.1166868613499,246.173168744674,266.767902433273
2.5,24.375729424,66.4010053947641,146.62921198143033,159.1554082573415,184.70760159587974,198.78193381475307,212.4397918628965,224.38355236959308,238.8399715288858,246.789951685268,266.767902433273
5,26.0316332166,121.19312327406972,159.974216732487,188.49687824551282,206.66865388143844,211.9692279877995,220.57579287387418,231.75416182201474,243.81753934788816,249.249728734674,266.767902433273
10,39.671756899100025,200.31130616565,181.78311152487,202.3850743416871,219.71924184066762,228.1552323958919,235.85700092345292,243.568856998861,248.5997683251193,252.493822462905,266.767902433273
25,87.2756000604,222.88976581515,239.38210805171173,241.51812193539925,245.378865678063,246.596947989173,251.733370930593,253.8811863236225,257.6710507860237,259.051405293087,266.767902433273
75,360.7212000024,323.1232332527955,308.147815658058,294.9601472188078,293.4383050063402,287.75066489086925,283.33628383581623,280.53512515026546,277.19599146561825,273.855832195697,266.767902433273
90,376.6737998164,339.931999918533,328.0964537489064,316.8055680417065,308.46768462235303,300.3407439333002,294.20251681927533,289.26844992865205,284.04218023720733,279.188645081811,266.767902433273
97.5,407.4393997122,368.5470998788025,352.1918664983128,333.9597100445825,321.7089262061229,311.5455160002142,304.9808141871682,297.46754384636745,291.5209826962155,279.6619964150505,266.767902433273
98,407.43939971223597,368.909433092633,355.07700218844536,336.85641782772035,322.9994267723119,313.7381970506723,305.0879668503433,297.7264652852592,291.84517223161083,279.661996415148,266.767902433273
98.5,407.4393997142,383.929899825436,358.6357699354635,340.9236712812086,325.9699061042279,314.8131403514427,305.7316260473986,298.6023116932582,292.10915494214544,279.698791890982,266.767902433273
99,407.439399715,389.24893709704304,360.3463767601616,343.79504837663944,328.3957389931097,316.8691033063762,305.9607156951876,298.81974858423746,292.26283326471884,279.709844474795,266.767902433273
99.5,407.4393997164,389.397833124702,367.65929466976644,346.69427349915674,329.9326061903018,317.5267055502748,307.76474181685137,299.4057371576787,292.490425028311,279.709844474895,266.767902433273
Median,360.7211999891,284.48086931306705,271.9137573994135,268.838050260989,271.2428887769925,269.1428350951215,268.85196344953454,267.812929230892,268.7477193545065,268.56621470284,266.767902433273
Mean,263.72087717221456,270.8876890397263,266.693341945753,264.4530359723836,267.13686568234175,265.54477750455504,265.96475170600183,266.46082833680975,267.22300409869104,266.72440693878826,266.7679024332729
