,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22
0.5,211.021172766,252.3122605465,298.23746065288503,521.369861043675,583.33980696183,706.06019437363,815.56688748645,878.914496267095,1042.68058704765,1154.1622876966,1537.7913873966
1,211.358590621236,256.54849709485,352.13299505725,546.7500367863399,602.6118412421899,719.392824238,828.9468672138399,915.36440370989,1074.6968843342502,1169.5450875966,1537.7913873966
1.5,212.07116823,261.445662177385,403.704189540575,558.4399841649799,629.174244791755,736.5517483851751,840.7609406466,928.214682089625,1089.15897722944,1259.2842400198501,1537.7913873966
2,215.9075645924,267.800662248948,444.0871481101,563.5061990146601,655.49556699172,745.9061517471999,845.4047152394199,945.54222795884,1107.8144832782,1266.2322874766,1537.7913873966
2.5,215.9075645924,275.8476423365,447.52145602222504,572.5336341625,665.242925840225,756.5850281512751,877.11812575405,969.45527687385,1118.2759031369749,1266.2322874766,1537.7913873966
5,220.1026975434,292.895597499,468.28182171711,601.23989208175,700.9583820443,802.4297138795499,913.4775694177,1027.95542167955,1136.66411403455,1313.9941835966,1537.7913873966
10,223.7972038842,411.70738881508004,514.3000061849,641.3270123554,753.5756445086,848.8527897475,973.98936051594,1071.4088217975002,1219.2499618476002,1325.7202192476,1537.7913873966
25,278.3786994422,440.8722995391,580.9333331535,710.61420383935,835.58069201885,944.2474996576,1055.0723554318502,1177.42503262685,1288.99666753785,1350.2396884966,1537.7913873966
75,384.0802998842,604.18299734885,766.9626385105,896.5512105133,1033.30364224735,1144.9195646448002,1249.59263177935,1366.06005605285,1457.9071636741,1512.6894873166,1537.7913873966
90,392.05659978402,680.47027594064,850.6728458236,988.82379293604,1114.2848175162999,1228.5905788626,1345.7156502996002,1424.2076587627,1488.0475821571001,1520.2990329976,1537.7913873966
97.5,407.439399684,752.32659968445,954.4441996106,1067.1881541087,1217.1844331949148,1311.1427221463,1410.133493861375,1464.632228151175,1500.608047982625,1525.5707693676,1537.7913873966
98,407.4393996842,767.7093995722,961.3054785165199,1082.512662327872,1224.773378232828,1318.2098302565798,1417.91123893646,1466.9215226506,1500.80969540262,1525.5707693676,1537.7913873966
98.5,407.4393996842,767.709399582624,969.8660339885449,1086.0788283896638,1238.3469115948399,1326.298621285376,1423.535172668795,1469.7918041677501,1501.5930043436351,1525.9115954826,1537.7913873966
99,407.4393996842,776.136899548756,979.45796210222,1111.7536779172,1245.86368585958,1334.833302391206,1427.70868411574,1471.9425417737339,1505.25449768589,1525.9115954826,1537.7913873966
99.5,407.4393996942,776.13689957221,999.8820215120918,1147.8810693824698,1283.249869356505,1347.3728881858071,1437.006426743625,1476.3811697650551,1506.0814317696,1525.9115954836,1537.7913873966
Median,384.0802998666,519.3586974592,677.5594321747,793.1030130209,927.5272954031,1050.9071639550998,1166.9844702961,1261.2826371831002,1373.0406331716,1486.8521144816,1537.7913873966
Mean,336.52868513423425,528.0728349152049,677.5549860270927,803.6467315030694,929.6930061573565,1043.4681532351965,1154.8597784317046,1252.9461614047332,1357.5793801169436,1445.4545736227064,1537.7913873965995
