,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22
Low,215.9075645924,275.8476423365,447.52145602222504,572.5336341625,665.242925840225,756.5850281512751,877.11812575405,969.45527687385,1118.2759031369749,1266.2322874766,1537.7913873966
High,407.439399684,752.32659968445,954.4441996106,1067.1881541087,1217.1844331949148,1311.1427221463,1410.133493861375,1464.632228151175,1500.608047982625,1525.5707693676,1537.7913873966
Mean,336.52868513423425,528.0728349152049,677.5549860270927,803.6467315030694,929.6930061573565,1043.4681532351965,1154.8597784317046,1252.9461614047332,1357.5793801169436,1445.4545736227064,1537.7913873965995
