,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22
0.5,9.15663805820003,26.012302524251,24.040194501126866,47.35768030425144,41.6290232501589,44.156487496896986,48.06136883655507,51.01235031493991,53.372832360926836,58.448840668765,88.77681876725
1,15.284598,30.361417052425,36.150968996982,49.36586737824625,50.161495154194,46.36278925350179,54.738520294015316,54.24230211035837,54.99606678089425,59.291590666975,88.77681876725
1.5,16.702936698185,34.02819725547275,38.23497979168575,53.03912542258344,52.16408716253029,49.25065022902763,57.86356149579892,56.24705587247767,57.64111737254195,68.96031065728,88.77681876725
2,16.7029366982,35.024388272375,43.20657593323537,55.454379360657754,57.7562214213982,54.27483702328614,62.069130852389286,59.67622285231925,59.63746319851088,69.816630702325,88.77681876725
2.5,24.375729424,35.784865399980625,50.013492353231285,57.31544529949969,59.422610107987246,55.899284463830035,65.31547079897943,60.98180902551542,62.654383458058064,70.48154165353112,88.77681876725
5,26.0316332166,51.88994350217251,65.77987170832503,66.21286743928626,67.64860726406951,64.68325762071629,70.38243050696998,66.72128252452693,66.5500551013722,75.8750246615765,88.77681876725
10,35.322497,97.44147921695,79.63428528028167,77.4725906799725,76.308548092264,76.41737352402251,78.9338735627178,75.28984583050438,75.88564124638219,78.195662911935,88.77681876725
25,149.317999133,117.0145664798625,104.13524498591275,101.62593491638125,95.049005807635,93.65358944922704,92.77182056869643,90.11780441716247,87.8417575920889,84.680569840275,88.77681876725
75,360.72120000045004,223.5471999541375,175.0130997437665,154.86933560259376,142.1295193252,133.270545828617,124.75022668953025,116.8536703410485,109.661856108139,100.963003158585,88.77681876725
90,407.4393997042,299.03039986373,212.7924996431,179.48007102415582,159.595667887191,149.5620416918683,137.1201385268138,127.25988793403161,118.035857702788,104.903392092435,88.77681876725
97.5,407.439399714,371.9495498470756,261.54713164302666,202.6376856379867,180.78623654927574,165.9800837557231,151.612655076171,134.92268568112914,123.0346193055791,109.462190091125,88.77681876725
98,407.439399715,371.94954984986595,265.43059987027164,205.48379939988752,185.9700247238934,169.1763329030978,152.81159716278427,136.26883430877749,123.33393658961121,109.462190091375,88.77681876725
98.5,407.4393997162,376.38889987001124,268.725228850595,210.7386524321797,190.43101565904158,171.4980780755161,154.92049898388936,136.82839195312317,124.37971116789849,109.462190091375,88.77681876725
99,407.4393997164,376.3888998723505,272.32470895187845,222.20825080849085,193.9576885025816,172.64838269762106,157.38652394485536,137.9295974462492,125.12353049684411,111.388299020525,88.77681876725
99.5,407.4393997164,376.38889987500175,280.22870930526886,227.84681857923604,196.52819972815553,174.54934304130356,158.73228819288133,140.33688776823263,127.207558269239,111.388299020775,88.77681876725
Median,360.7211999891,160.946499925725,142.7381422231835,127.5943160240625,117.45562644572999,114.23654449302501,109.148983067432,104.1452151542375,99.16889305948055,95.19203982833,88.77681876725
Mean,269.8800829091447,176.91581282892514,142.81924435425057,128.624466256535,117.93944795352168,113.02580936406282,108.8212638544601,102.70644433079866,97.57437612038537,92.6562842276302,88.77681876725
