,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50
Low,343.31304524999996,453.555512025,541.104008925,624.86648975,719.776319875,781.6278223,868.0344886500001,939.723814225,1024.5554074000001,1083.0116106,1158.435404225,1212.28193975,1295.980063875,1364.3511723,1435.736754725,1504.787433425,1570.351886225,1628.5478009,1711.605556425,1774.3480525,1849.39351865,1917.547671125,2036.261835
High,543.024589,672.956893,787.387015725,877.3970235749999,987.25872925,1059.838607125,1143.419648,1217.4769717,1291.5874911,1378.1719838249999,1440.4799782,1513.16733325,1571.2525042,1633.518361475,1686.577854575,1744.13230435,1796.297838675,1848.3209554750001,1904.67001445,1947.259039,1990.689919,2022.311951,2036.261835
Mean,458.09769291000003,571.693779936,669.2111975720001,762.15634258,855.937268475,935.620373301,1016.925727761,1089.689455806,1167.421419077,1242.220707045,1309.268486749,1375.041520457,1440.115234616,1507.96088362,1569.869967902,1630.967795496,1691.710498482,1749.953711309,1811.3513113,1867.9257785080001,1925.8472222459998,1980.12501166,2036.2618350000005
