,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48,mpd50
0.5,122.29551348000034,139.98455032035687,140.64756835333355,147.59085535166633,149.03132836428543,152.54985682541633,153.23107346790889,156.01700397768423,158.01000746952383,159.6385937448553,157.54515574412298,159.31972382148192,161.49491538317284,162.5642216139113,163.23719687206733,163.6191192630163,164.42336933169236,165.3033646897182,165.78811005897822,166.7113744207713,167.46254248835788,168.669495125887,170.504525717551
1,131.47150759199968,141.97589094214285,143.58133308844398,151.08992438454578,150.33697333384592,153.65919838116668,156.42311324575138,157.72453561694743,158.92050081783583,160.3009280213771,159.79809343076894,162.08473232846566,162.50379667701145,163.0216168597176,163.65756182235265,164.43635955822182,165.30034740221873,165.75996155230783,166.47580013124244,166.98919077177564,167.75575310152632,168.711126260638,170.504525717551
1.5,135.84190795333302,143.20791832535716,146.53561511733332,152.07754663727292,151.02620615879152,154.749735040833,157.65842628418278,158.41905367547355,159.8205592529866,160.6476742777178,160.91286638144646,162.53159098031705,163.01711405404637,163.5371641275206,164.2529150400179,164.63289746850776,165.4640205216641,165.95514885071813,166.69338006168428,167.0986352191648,168.0682873206568,168.716135491135,170.504525717551
2,137.561051533333,144.428481214286,148.65466751466687,153.35812805333293,151.96811926769251,155.765158561667,158.1033621607847,158.84942284863175,160.6644154858878,161.27496507855074,161.572928345108,162.97484248751357,163.40534226639113,163.81466409153205,164.74639496356465,165.0565794824761,165.74174693450914,166.16694098317993,166.93758060715442,167.29650111759017,168.18588614083134,168.782598943262,170.504525717551
2.5,137.8572737333333,145.06281051250016,150.18076563222192,154.2562294053027,153.16381482252734,156.31139184916668,158.68544715915044,159.6798509697368,160.87485573614708,162.29329361105087,161.9416686349233,163.12815335171953,163.958350677241,164.13431214122974,165.03879719278038,165.3035224819843,165.89249283044052,166.40823055365408,167.0705211961088,167.45433507156432,168.28681927347824,168.80392827305,170.504525717551
5,143.003231013333,151.80385468214314,154.5796440888891,157.5450207772725,157.8794745373628,159.69545787333365,160.39888489084976,161.71570092789455,162.6419182935067,163.5783401612319,163.7259819347688,164.4361808150796,164.88778084574665,165.08931108608866,165.680393841889,166.48545346126954,166.74702551109544,166.8863355576927,167.52171763519146,167.99807322399622,168.6439701154593,169.301928001773,170.504525717551
10,151.8319679333336,156.776690685714,158.89418293333338,161.3049023424239,161.1289477912089,162.5382395316667,163.3275444535944,163.49367363578972,164.8573231151519,165.06402900942,165.2655594067694,166.14513528888932,166.2564152689654,166.7691412290321,166.82967218146172,167.2621325546036,167.6348292563297,167.8041913515387,168.3515022980257,168.61775561437602,169.0569715841547,169.493883948582,170.504525717551
25,163.291464533333,164.21674807142875,165.6144931777775,166.90237749242425,166.35239757142875,166.6193593291665,167.46917969607824,167.41290828684174,168.07175629220777,168.14325072644925,168.0689526384615,168.32211133201073,168.4290628402295,168.63058913911325,168.7586057308375,168.771263631746,169.00679151066876,169.202063164103,169.4271164744485,169.62136710993627,169.79426971401,170.045055583333,170.504525717551
75,180.15371570000025,177.60638437499975,176.76176751111075,176.08618670454575,175.61800180219774,174.44413329583324,174.5065179836605,173.7896945289475,173.94386514502176,173.43914009601474,173.235713064615,173.25718720634924,172.75169871609177,172.6535977137095,172.16189040552626,172.08575647698402,171.93210133854876,171.80408409807674,171.76649232868724,171.472964337738,171.26243563236676,171.166444028369,170.504525717551
90,185.2993451333333,182.2494698928571,180.382581524444,179.6313668030302,178.9701162703295,177.3317375049997,176.78022097254862,176.20163844842088,176.0293316606059,175.1092087826087,174.9259728836922,174.68516869735478,174.2412417563218,174.0590419459677,173.56602293547212,173.4003057714282,173.1856202546233,172.7986119582055,172.5759105563301,172.1363473272728,171.8884568828984,171.597166296099,170.504525717551
97.5,191.393868133333,186.40701951250028,183.58687312888932,182.47195575909137,181.2562500373628,180.11939212250002,178.98755404673216,178.45345452736802,177.90597888008654,177.03750337717386,176.82149300738453,176.1445871619044,175.84998512643728,175.5675542109877,174.76885557103427,174.6571082188099,174.19995602709835,173.7467879224357,173.4937756693376,172.89259658736813,172.4498757654585,171.70327306879435,170.504525717551
98,191.666977466667,186.74525231142815,183.85571033688876,183.02080517696942,181.66222861098942,180.373880475,179.4559987176468,178.8364121025259,178.13336342562766,177.359057001739,177.0642988140309,176.45388358878319,176.06559459678184,175.62799908241982,174.99373653483087,174.85110779504728,174.33787689120905,173.78477261641004,173.60713056106837,172.93525687526406,172.5311070515946,171.718038634752,170.504525717551
98.5,191.9160396,187.092995743929,184.38913532777798,183.16010338287907,181.91565767307736,180.66816054150001,179.75715076222195,179.41413910042107,178.55970053367994,177.65849863728218,177.30832110206185,176.6537064687567,176.28475333048232,175.92840235110887,175.04291701525852,175.0903075665399,174.44197077955909,173.99485626378222,173.75784668389102,173.067417943182,172.68166370731444,171.78593910019484,170.504525717551
99,191.9160396,188.26023252285685,185.0292513564449,183.7131501609086,182.14330915142867,181.2588063525,180.28845747882352,179.58196703463148,179.16645177558487,178.0622542039131,177.6731197740306,177.21972675465642,176.48799450726463,176.1832962061289,175.16891878163992,175.37738340130193,174.57990867206237,174.26953345682045,173.84724065851316,173.1708959054119,172.79804548910133,171.83174619147113,170.504525717551
99.5,192.342706266667,189.4379105407147,186.07495232800022,183.8989533719695,182.6365224205499,182.21877003016633,181.23732714653568,180.03153700847395,179.8927675241556,178.50726675630386,177.81515574498422,177.7008489844713,176.7867864896551,176.389286247258,175.46509234604244,175.660972091698,174.74934598184927,174.5510680235767,173.9679944442621,173.42645976851966,172.82874976499545,171.844049923759,170.504525717551
Median,171.8400402,171.3416415714285,172.2732696,171.9864766363635,171.232048142857,170.806740825,171.209436509804,171.1119382789475,171.25398830735952,170.8496115289855,170.987074049231,170.9269208280425,170.622979204598,170.839430951613,170.653794087344,170.474349511111,170.59599324324302,170.549480748718,170.6170171324045,170.5687416067655,170.541584783575,170.600579565603,170.504525717551
Mean,170.20519996813331,170.29672152364287,170.59320200217778,171.04048379051517,170.49513308663737,170.2684359066,170.60078026307187,170.39674137848422,170.7698489938528,170.49680301382608,170.43226234525534,170.5864713337566,170.45061493672645,170.54771046906046,170.36651057963994,170.39685420159046,170.42860789083636,170.419059550441,170.5241611692799,170.4855663699873,170.4894258401391,170.56071763451592,170.50452571755102
