,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50
0.5,296.059432775,415.822037565,508.503130395,571.162003225,665.343065485,739.390598785,813.1004102850001,897.6313754199999,963.3141941599999,1042.8033768550001,1119.84399521,1175.388833105,1238.92004533,1313.6829207199999,1383.8372175050001,1476.849995645,1530.99052766,1599.20317578,1681.89378035,1749.52704225,1804.22373006,1901.1614695,2036.261835
1,326.30051544,427.68984126,516.3934484600001,592.45728293,691.64704069,753.1746313,845.27545431,916.4130779,990.9740412900001,1063.62968539,1144.0370080999999,1188.82314876,1260.15510602,1339.08952838,1418.01384575,1481.69711059,1544.14166113,1618.32936372,1687.36039275,1758.98053434,1825.66245029,1905.402446,2036.261835
1.5,333.81425296,440.301782255,532.60079967,605.6288821249999,701.758674645,762.951529755,849.352666215,926.2413149399999,1008.313774475,1073.951612925,1151.2737001849998,1195.67184858,1278.649854955,1347.032549455,1426.59188958,1491.1730091000002,1555.702391555,1622.8511756799999,1695.23752221,1764.34218715,1840.3283277350001,1906.55045202,2036.261835
2,340.23458768,449.94280216000004,537.80316252,616.3374026600001,713.3345935,772.97370194,862.4598965600001,930.4117038,1015.5064585199999,1079.06164434,1153.579259,1203.42838334,1293.50121594,1356.90818392,1431.3210281400002,1497.4076631599999,1563.1101896399998,1626.63112372,1705.2801187,1768.8247465999998,1845.20407984,1911.741719,2036.261835
2.5,343.31304524999996,453.555512025,541.104008925,624.86648975,719.776319875,781.6278223,868.0344886500001,939.723814225,1024.5554074000001,1083.0116106,1158.435404225,1212.28193975,1295.980063875,1364.3511723,1435.736754725,1504.787433425,1570.351886225,1628.5478009,1711.605556425,1774.3480525,1849.39351865,1917.547671125,2036.261835
5,368.19065285,469.7997031,565.00198665,646.66909265,746.0176281500001,805.4680495,897.94779685,971.88363615,1049.5589971000002,1108.44042075,1189.4147452,1250.5585604,1314.56762345,1393.9174965500001,1458.8476686,1523.8957721499999,1593.715796,1651.80320425,1726.1304864,1787.23984455,1860.13704895,1926.778409,2036.261835
10,392.0380236,492.3824734,584.6137395,675.1439227,769.5546022999999,844.8548695,924.0906342,998.3815526000001,1073.8991923,1145.9001348,1214.1864192,1280.6329324,1352.2538589,1419.0704302000001,1483.2009537000001,1553.7090719,1613.8335358000002,1673.7586057,1749.7546477,1804.9342279,1875.4465641,1942.388367,2036.261835
25,427.718651,532.94740975,626.08711125,720.1088955,811.067815,893.4665580000001,969.2741315,1044.09945075,1121.31827675,1195.95490375,1262.1241955,1330.1150725,1394.5449485,1464.882291,1526.75892225,1590.48670575,1653.5646055,1715.2308357499999,1778.281692,1836.99931825,1901.6906932499999,1961.39096675,2036.261835
75,494.796556,614.27179125,713.7178739999999,811.40299925,902.71156725,986.164078,1068.438583,1141.4641004999999,1217.824844,1293.2024935,1358.6002155,1423.70535075,1489.77007,1554.45933575,1615.71588725,1673.1267625,1733.34341575,1786.63359075,1846.54386625,1899.740701,1951.24214425,2002.8691695,2036.261835
90,519.9047808,644.5361077,747.9360131999999,847.0150321,939.0490813,1021.8576773,1107.8456286,1174.7542008,1255.1541782000002,1328.316148,1398.4533857000001,1464.3394028,1521.8857498,1594.9163799,1650.9403,1708.6661502000002,1767.8534344,1820.5400113,1874.3301041000002,1926.6604123,1972.4577555,2012.951151,2036.261835
