,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28
Low,124.42890975,231.23271195,319.9558516,420.622106,513.728936375,612.5692541,693.718554025,771.2080994,858.973042975,931.14704655,998.84222905,1087.0841515749999,1184.324288,1321.345984
High,202.810614,390.880531,537.601179,656.7095157,761.730583825,859.7329943999999,942.37954895,1011.955566,1082.237377925,1153.9992551,1214.904551325,1276.371484375,1316.041997,1321.345984
Mean,184.018862146,322.692064872,444.349643248,551.997546585,646.4551869320001,736.665528171,821.459071829,898.9300866760001,976.1459908469999,1047.464187538,1119.894436766,1189.652332332,1254.9919673289999,1321.3459839999998
