,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50
0.5,48.26568379,58.92355783,58.308690059,56.3109572516667,54.12630577428571,54.60370589375,53.93829322888887,52.5884559195,51.20860442181816,50.74771750375003,52.304578015000004,51.316834117857134,49.30463765733333,49.66579031625,49.79188739352936,49.873829804722206,50.92182316684213,49.806953038,50.4421651002381,50.29950028590912,51.26895159673916,51.71974441770836,55.32500328
1,59.55981411666667,62.368672425,60.489834626,58.34641289333334,56.46155724857143,56.417134958750005,56.714845078888914,54.078089797000004,53.63687227636362,51.67116659500004,53.53568556384613,52.576971143571456,52.3375229266667,51.668215236875,51.06710768117647,51.042231010555575,51.5429986952632,50.602779337,51.346005800476235,51.779401839090866,51.67952349782609,52.3311204166667,55.32500328
1.5,67.411778215,64.5299937875,63.295392943,59.5657674691667,57.77645120928569,58.7687108725,57.5362183605556,56.336688132999996,55.6562837509091,54.1038007941667,55.216972977307684,53.12273105071424,53.416896634,52.3414837146875,51.3306329179412,51.51637028555553,51.99273435236843,51.149492731500004,51.7550784097619,51.932582034772764,51.90569325934781,52.68423951125,55.32500328
2,68.96529127333334,66.20651823499999,63.962214896000006,63.228382683333336,59.468303828571436,59.2481868475,58.98668078444444,56.930336132,56.565942725454526,54.91892085666663,55.81224689999998,53.58859010714283,54.127925612,52.94336779625,52.43040436588231,51.91099067444448,52.557607654736834,51.630219118999996,52.07481975428571,52.06211904909092,52.142780959999975,52.818014278333365,55.32500328
2.5,72.23963919166667,67.36559179375,65.220593285,63.793089220833366,61.66491649285714,60.066767371875,60.28808671666667,57.4970122775,57.03652254772728,55.51383872500001,56.681494871153845,54.893949644642845,54.50037373333333,53.49483567812501,53.14422532647059,52.35320899861111,52.824483153947384,51.82571625125,52.26057023809523,52.4633698602273,52.42541087608692,52.86613188229163,55.32500328
5,78.14072941666664,72.48670155,71.86636331,68.8626159833333,66.06320117857146,63.547283425,63.744870016666695,61.03702833,60.3344595,57.9554380666667,58.4650137769231,56.36054850357147,55.94411058666664,55.752739162500006,54.63942984705887,53.550463658333314,53.90716392105262,53.263025917499995,53.25830718095239,53.27163500227273,53.01023851521736,53.53034671250003,55.32500328
10,88.40620619999997,80.763937775,77.52929726,73.98533513333336,70.64606768571426,68.197699775,67.41862528888886,64.14296807000001,62.71641744545458,60.936069374999974,60.207112192307676,58.6950184642857,57.512771779999966,57.521296237499996,56.00367274117648,55.31115521111107,55.15116443157899,54.675114965,54.27777447619048,54.203927836363675,53.7430769608696,54.12656452916667,55.32500328
25,104.207240916667,94.4122738125,88.003827,82.70340762499998,78.49914107142855,75.2965304375,73.63105819444448,69.92756395,68.0999653181818,65.91641885416665,64.47498230769227,62.97545710714285,61.1384935166667,60.473144734375,59.29365277941172,57.89955736111113,57.791809539473704,56.986970125,56.353962892857126,55.7909190681818,55.19767673913044,55.076885375,55.32500328
75,140.960832666667,122.86343875,111.4988819,102.1897087083335,95.6212704642857,90.78248618750001,86.55463974999998,82.81193645,78.67649761363634,76.8310709375,73.90545865384615,71.09123975,69.0656990333333,67.45126978125,65.90299422058823,64.50061199999998,63.0017780263158,61.6384729,60.63959877380955,59.37062324999997,58.18501904347825,56.9907792083333,55.32500328
90,154.2625994999997,136.07265147500001,121.70300026000001,109.5596191999997,102.9827683428569,96.9192246875,92.2212030111111,87.81613921,83.80051049090906,80.73539575000001,77.88129073846153,74.72275006428575,72.70447521999998,70.33951300625,69.01952545294115,66.79069231666664,65.56061425789468,63.71928546,62.55582804761901,61.04721765909092,59.60236608695651,57.9227636666667,55.32500328
97.5,165.954597666667,148.42601565625,130.285925035,116.65430029583364,109.57138309285715,103.466888740625,98.16028766944444,93.7759660375,88.94641105454548,85.45750013749998,82.18985354038466,78.9093097017857,77.39034131166663,73.65558639687501,72.10869493382357,69.87018569999996,67.49153947368416,65.71112887875,64.25101187976188,62.8570684693182,60.88339864456523,58.9285624583333,55.32500328
98,168.885905333333,149.38931076499998,131.34678279599999,118.53750330666666,110.923872991429,104.5220314625,99.14866324444439,94.241926374,89.45929523454541,85.74158211666669,82.49930202615383,79.34071154428574,77.6875830093333,74.52756348874999,72.43334731411768,70.14493149111112,67.73350516526318,66.078175267,64.63912107714286,63.04623605818184,61.131369829565244,58.940595003333364,55.32500328
98.5,171.817194666667,150.6894631775,134.52115406299998,120.464325385,112.39429246071398,105.35462479124999,99.6393767816667,95.2574249975,89.75195630318177,86.866502945,84.13294503846156,79.60226017178572,78.568303706,75.0086711228125,72.70628662941179,70.3767658305556,67.92179102184215,66.47237922225,64.88551724952377,63.17647575954541,61.333304003043466,59.165753576875,55.32500328
99,177.750528,152.17919119,137.207123356,122.19847808166666,114.35171531999998,107.06944224749999,100.17581269888878,96.793494569,90.4325331172727,88.2928558316667,85.40814690153843,80.4646873107143,79.15045242933336,75.18557316937499,73.09919316117649,70.9475618822222,68.86665858157893,67.030322433,65.33437113000004,63.41994821545453,61.56526410913038,59.36105697250004,55.32500328
99.5,179.883861333333,154.3630258375,138.55246621199998,124.72924884083334,118.97303688500014,108.78483089374998,104.41926170611121,98.563032737,91.64197337181812,89.78107366208336,86.11428153346148,81.35503623607146,79.91768418833333,76.40412827875001,74.2785993814706,72.15829868777782,69.87535308710525,67.63899699825001,66.00249856261905,64.10702326954545,61.811055382391274,59.8469290416667,55.32500328
Median,122.9070873333335,109.28153212500001,100.15499009999999,92.69837225,87.0451714285714,82.5886769375,79.90509088888885,76.5025918,73.59454631818184,71.29657708333335,69.01490084615385,66.83367064285716,65.3041587666667,63.96259753125,62.93056138235295,61.3219007777778,60.43372542105265,59.41442235,58.4843945,57.4900238181818,56.769305217391306,56.04987481249999,55.32500328
Mean,121.93032655166665,108.59977522725,99.6359150822,92.19154267083333,86.83733533085714,82.61588065962499,79.87719708422222,76.2682614689,73.29815238727272,71.09948838275,69.19713580876923,66.85493550842858,65.20928517546666,63.94394578674999,62.652184819941176,61.201150758,60.355235541421045,59.29796725805001,58.45554262247619,57.571596924,56.70347644339131,55.996865197791664,55.325003280000004
