,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80
Low,411.993112522425,563.3078651698625,688.017873282995,788.602767059895,902.6939320664926,982.371350386995,1095.8506610616125,1172.7546891416926,1271.4512906994075,1354.843732483885,1439.644397305125,1513.3918407116375,1591.023765119825,1678.3732124644,1762.5608274187
High,629.0626788590175,804.126097687215,951.1544258630701,1078.2961692114375,1186.6302055666,1278.2408076786726,1370.6434742331523,1460.0389874522825,1520.89945147491,1598.4381673875976,1660.321586237985,1719.5618344319025,1768.355817765725,1816.9156324273276,1857.78544805715
Mean,525.457778139017,681.7050152867803,818.098515381935,935.6309382049884,1045.6509958347838,1143.0103008337635,1237.3089840176892,1321.9451876385242,1400.0822073583874,1482.2302703171345,1557.671014168527,1628.0586430481294,1695.888074918237,1760.9340634343127,1825.5567034336912
