,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80
0.5,371.0205990451115,525.3203981214215,648.8363784776085,751.8315692832975,858.832933803322,929.899821693126,1062.49129841072,1126.0072962397135,1227.2124451358025,1318.672481600263,1401.6603639647021,1464.481247592905,1566.291138450025,1647.505675424735,1731.4195992076
1,383.643944852613,536.931902047172,666.60139885098,761.581536486109,874.19781954533,953.154713252821,1070.211626131479,1142.478273454633,1235.634994477902,1340.150981032396,1418.245052137859,1493.756043133011,1572.44258637048,1660.389758199671,1753.53150360381
1.5,391.9961180591005,543.373547672134,677.3580260865899,768.832571282972,882.064343736047,972.692318184632,1084.308752227203,1148.028023492701,1252.3795455205284,1344.827391935984,1424.8395467259945,1504.5583810285384,1575.061442975125,1668.525706476805,1755.9389175079361
2,402.081584857658,553.170177969158,682.69531581994,774.445245214606,890.070329040242,977.7676231737059,1091.510145210188,1157.670405910322,1259.1704660584721,1351.7417005426219,1432.766043516768,1508.77864777718,1580.561951060668,1670.172577630598,1759.5216996384202
2.5,411.993112522425,563.3078651698625,688.017873282995,788.602767059895,902.6939320664926,982.371350386995,1095.8506610616125,1172.7546891416926,1271.4512906994075,1354.843732483885,1439.644397305125,1513.3918407116375,1591.023765119825,1678.3732124644,1762.5608274187
5,428.36571053188004,583.2353364821499,706.5835598800101,815.147449404495,926.43099858516,1014.485162565655,1118.4752734292,1200.554856057295,1295.1542530924648,1376.3928897281498,1454.277707155645,1536.433622404445,1609.58412804175,1689.60018133205,1772.6301533468002
10,450.51721378726,602.20356532962,732.7179017680701,841.38651919096,956.24111120878,1051.3190448776002,1144.6494766908802,1230.33582881394,1313.90662001439,1398.4678925334001,1475.10766116945,1557.32259729044,1629.8204276745998,1706.49380909146,1786.0089619133
25,488.73514131275,640.1438429369,772.0981917429,885.803175742475,998.0483148415,1094.935848517525,1191.70350338545,1275.4360601747499,1351.09780603865,1440.7871831665,1518.6522945726251,1592.4946705827251,1664.08186659785,1735.3739587918499,1813.32654893285
75,563.2883214917999,722.1041564221,861.92474733125,982.302847625975,1093.2636928449251,1192.225332581625,1285.491869431025,1371.130663378425,1446.0390318807251,1527.2893594045001,1599.552385486725,1666.9466437982749,1733.6899923976,1790.9543951102,1844.0247147432
90,597.9880948838199,762.0749367766699,906.71486111219,1031.27651489409,1140.11018457208,1236.4564368312801,1327.33815307644,1415.99736135512,1486.2928513905501,1562.1269012107,1633.72147699092,1693.66601347055,1753.07505349081,1805.5778293180401,1851.43046685731
97.5,629.0626788590175,804.126097687215,951.1544258630701,1078.2961692114375,1186.6302055666,1278.2408076786726,1370.6434742331523,1460.0389874522825,1520.89945147491,1598.4381673875976,1660.321586237985,1719.5618344319025,1768.355817765725,1816.9156324273276,1857.78544805715
98,633.477072525136,806.369612458578,958.43399504996,1082.0005137253959,1191.103244977652,1280.270756585604,1382.751533949124,1463.22404963902,1525.9960754512101,1601.4004634255139,1661.89626270964,1721.268414258422,1770.2611368173682,1818.923636979674,1858.39601954098
98.5,639.7172792103815,817.924941096208,964.8229312112915,1093.095057237417,1199.182157237356,1290.996475941728,1388.54174484805,1467.79840278699,1526.862978509431,1608.198646603984,1668.3995216011851,1726.4251210599662,1772.1772379957658,1821.1636626979055,1859.2925165470665
99,649.791325310355,824.57493483032,973.0289551568949,1097.2702034951121,1208.265365107306,1296.1609922135258,1401.1935791065869,1477.760347981106,1547.601420590587,1611.4677279333548,1672.981395606294,1731.2914564137288,1773.712115827652,1822.7420995402658,1861.278735080719
99.5,667.4025634617985,837.065708831391,987.457972645822,1110.3142518385705,1223.591969257742,1309.7564673905174,1404.6179015464138,1486.886646787885,1550.6243037414151,1625.7094997441427,1677.1003008152716,1737.8750995603966,1777.890070718923,1828.6522953119,1861.9663878037768
Median,528.303854991,681.6807762084,815.770836318,935.12666382775,1044.175749429,1146.09943184945,1236.9641098256,1322.32275705875,1403.8106224211,1485.4652332769,1560.7604005451499,1633.73967639035,1701.3294072996,1767.7565580905002,1833.7084884766
Mean,525.457778139017,681.7050152867803,818.098515381935,935.6309382049884,1045.6509958347838,1143.0103008337635,1237.3089840176892,1321.9451876385242,1400.0822073583874,1482.2302703171345,1557.671014168527,1628.0586430481294,1695.888074918237,1760.9340634343127,1825.5567034336912
