,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80
Low,124.36641410813318,131.44579821078412,132.26765576354745,135.0302910028586,135.82405957185804,136.61532959501653,137.1957217408406,137.8232951319208,138.16086135801177,138.610287410448,138.9194243763185,139.28439811606884,139.58989171071715,139.89155041177764,140.3282374608179
High,151.69958958260298,148.58202726960292,147.030289669337,146.30236993121932,145.27498690104738,144.98660530655692,144.24701125849867,143.93408034003843,143.5853638498589,143.2669055409577,142.98156386802722,142.77737676257917,142.39162344378045,142.09821917869982,141.70513496878613
Mean,141.07575277510136,141.27588346269576,140.97808885738604,141.28706834117952,141.18048888189787,141.25463714971278,141.19574394402625,141.18006964400755,141.15023329547327,141.15796046369985,141.16948874732742,141.1692202467589,141.14891004053388,141.13802625595162,141.13849849273456
