"","x"
"1","Xerospermophilus tereticaudus"
"2","Urocyon cinereoargenteus"
"3","Mustela frenata"
"4","Ursus arctos"
"5","Taxidea taxus"
"6","Lasionycteris noctivagans"
"7","Sorex tenellus"
"8","Chaetodipus spinatus"
"9","Myotis lucifugus"
"10","Neotamias minimus"
"11","Myotis californicus"
"12","Sylvilagus nuttallii"
"13","Peromyscus eremicus"
"14","Macrotus californicus"
"15","Lemmiscus curtatus"
"16","Ursus americanus"
"17","Nyctinomops femorosaccus"
"18","Myotis melanorhinus"
"19","Neotoma cinerea"
"20","Eumops perotis"
"21","Ammospermophilus leucurus"
"22","Reithrodontomys megalotis"
"23","Neotoma macrotis"
"24","Chaetodipus penicillatus"
"25","Neotamias panamintinus"
"26","Lepus californicus"
"27","Dipodomys microps"
"28","Ovis canadensis"
"29","Sorex monticola"
"30","Peromyscus maniculatus"
"31","Neotamias obscurus"
"32","Corynorhinus townsendii"
"33","Chaetodipus formosus"
"34","Peromyscus californicus"
"35","Antrozous pallidus"
"36","Dipodomys simulans"
"37","Neotamias merriami"
"38","Neotoma bryanti"
"39","Otospermophilus beecheyi"
"40","Marmota flaviventris"
"41","Sciurus griseus"
"42","Dipodomys panamintinus"
"43","Sigmodon arizonae"
"44","Perognathus longimembris"
"45","Nyctinomops macrotis"
"46","Cervus canadensis"
"47","Neotamias speciosus"
"48","Dipodomys agilis"
"49","Dipodomys merriami"
"50","Vulpes macrotis"
"51","Microtus longicaudus"
"52","Onychomys torridus"
"53","Myotis evotis"
"54","Dipodomys deserti"
"55","Xerospermophilus mohavensis"
"56","Myotis occultus"
"57","Eptesicus fuscus"
"58","Otospermophilus variegatus"
"59","Microtus californicus"
"60","Microtus montanus"
"61","Lasiurus blossevillii"
"62","Lasiurus xanthinus"
"63","Perognathus alticola"
"64","Lasiurus cinereus"
"65","Sylvilagus audubonii"
"66","Peromyscus crinitus"
"67","Odocoileus hemionus"
"68","Procyon lotor"
"69","Scapanus latimanus"
"70","Chaetodipus californicus"
"71","Lynx rufus"
"72","Euderma maculatum"
"73","Neotoma lepida"
"74","Callospermophilus lateralis"
"75","Neotoma albigula"
"76","Myotis thysanodes"
"77","Neotamias umbrinus"
"78","Tadarida brasiliensis"
"79","Canis latrans"
"80","Thomomys bottae"
"81","Parastrellus hesperus"
"82","Glaucomys sabrinus"
"83","Bassariscus astutus"
"84","Mephitis mephitis"
"85","Peromyscus boylii"
"86","Peromyscus truei"
"87","Sorex ornatus"
"88","Mus musculus"
"89","Spilogale gracilis"
"90","Notiosorex crawfordi"
"91","Myotis volans"
"92","Myotis yumanensis"
"93","Erethizon dorsatum"
"94","Puma concolor"
"95","Perognathus parvus"
