,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80
Low,42.8821408412656,36.507041601461964,33.16991507160532,29.869668754942168,29.721786014654935,28.07234925495818,27.10878871224712,27.02840894640825,25.50033547086231,24.39194240512152,24.256543641445553,23.4487379141734,23.171534842057717,22.769833189139938,22.961141138640652
High,104.97005283644499,79.6574105302049,68.07819734890899,58.83217017816884,52.77219620833351,48.61893357256772,44.99366058097125,42.26847658194948,38.78972821562801,36.87696144499108,34.527418735780394,32.68838853102634,30.510068095630636,28.71867578370466,26.655852439411603
Mean,72.41570882398649,57.8611115613832,50.31736523222895,44.63346939983117,41.30588295801316,38.549484860476966,36.23195946751998,34.367293032572356,32.039515716098514,30.67930358078909,29.382607571147723,28.214790287577124,26.872538922703303,25.796537373558305,24.969003929789825
