,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415
0.5,184.79970424266656,204.05545093209497,207.79081454947416,212.00139357086633,213.86785674275768,220.63115045174757,222.85619211506136,223.86988981950125,224.87856533584454,225.20153709028517,227.82661209188095,229.30306227692475,230.74791684515785,231.58597862306533,231.80117228779594,230.35631739351658,230.4510204727441,231.314192856688,232.394002994695,230.93335482800123,232.9273871555979,233.9099505915126,233.40478113852467,234.2582713184036,235.40169504264176,236.93466484852078,235.72923307431554,235.31462057600282,236.19778321632597,237.3063464772509,236.70579794900814,237.3626473754699,237.45361748852977,238.35092440804655,238.6942105822564,237.10068662733448,240.17009610511582,238.8704820093413,239.59269844758862,239.51664335388037,240.71468571753522,241.30399638122697,240.05071449374378,242.06924861035137,241.12657398243854,239.15270375342453,242.32725041068676,240.92822031041086,242.70789129553003,242.67794773131152,243.15346616461616,243.52088640049598,243.87132864382755,243.4249944811698,243.0530402460645,243.48669712529326,242.97570163248648,243.86264709463248,245.40602852155044,245.26131902811602,245.4308986439922,246.17480330552726,245.17235984161005,246.10218236967617,246.90925815716813,246.72432204003536,246.22524443856133,247.4362357656909,246.98849584729683,247.90815473275796,248.41048998831295,248.54154924088303,248.2597386370649,249.72907020221712,249.18471492147685,249.69387481458128,249.72646907777875,249.95809520696582,251.07153280746633,251.38623852759144,251.35514413696725,254.983439638687
1,195.41456980688878,212.20092213773307,212.3031282451052,217.8893432004633,216.39101528977045,223.6714274219174,226.50134950348996,225.52712410722512,227.93485162593046,229.2297064545546,230.18949685655394,230.9474805848894,231.431006208998,232.56840331058592,232.337706200506,230.96442118793686,231.44357130670113,233.44577503371292,232.68262538363007,232.26952999880328,234.45745929797638,234.86785672359912,234.74000962614775,236.04496231673627,236.65153900769926,237.81476384821767,237.38295061690076,237.0902911199088,237.4779568269598,238.291848825371,238.8045335308203,238.75482647004296,238.49248201439138,239.09511500430585,240.0472072063378,239.9100165967725,241.025482674598,240.44782836863493,240.50566161733445,240.53204254856257,241.6978676009587,242.31303847009616,241.90721953503402,242.97106946285416,242.55496851521275,240.23659271427556,243.04918856823681,242.50555634908721,243.78655236432087,243.6144470520295,244.8903346118236,243.96139601463855,245.01149126114566,244.24436808023808,243.70950594885807,245.22344612643812,244.6732664389212,244.9294169693772,246.40232087382444,246.18124764634524,246.29393928590142,246.9555000071826,246.5044850079686,246.6758400857732,247.43937384961376,247.18774299887266,247.7980789771801,248.0071541050192,247.80006073692883,248.73250675426348,248.7196348882512,249.35699832014726,249.57520180406246,250.32825474295876,249.74681342917884,249.91728319662283,250.03719773205364,250.8882219754249,251.29985511949408,251.58021910409914,252.92642850720748,254.983439638687
1.5,202.84945624877798,213.452316462727,214.39552818787817,220.639571628881,220.28488538282807,225.2222206340958,226.97869597438705,226.60823085308698,228.31246369762508,230.7432658800024,231.21206793455414,231.50956720927542,231.7314094146743,232.8966679757259,232.81329284512782,232.23979267841102,231.75417649349856,234.4032072209989,234.21131372997044,233.57800075354484,235.83328376277473,236.2685453553209,236.30573144930295,237.56975716498542,237.72479515099332,238.4921692369077,237.98074893058256,237.7995693055114,238.31811494551908,239.35424552013035,239.44635868248426,239.7121723679726,239.1411142207851,239.82321882046406,240.56203079200066,240.48518057847568,242.0761143145921,240.859051398958,241.0942752578699,241.87399738562516,242.30402901808546,242.86184447757773,242.55810083424512,243.62714415641332,243.36248394597408,241.5000770907033,243.76017001643737,243.2128654401016,244.33151388824848,244.61987227644053,245.5670721068419,244.7819698443391,245.73067055554677,244.9480635003777,244.28813907483428,246.09361762830275,245.27442065110688,246.31659145178844,247.0813327455273,246.92680652755507,246.51144654542554,247.34809603537536,247.04984503646432,247.1288635322033,248.33152229645995,247.74339213120643,248.29899854714213,248.3208025730157,248.386651090745,249.21888251154277,249.3637144486218,249.7604560760969,249.9263333985639,250.45821066137444,250.3246984225705,250.14530011857659,251.12707980246432,251.35065581063478,251.6038221492242,251.7442865027206,253.00631024226533,254.983439638687
2,206.1630104640307,214.83877336342871,217.63014031400047,221.36110669685547,221.64105686629904,227.10923525183156,228.16642885157964,227.33479013492996,229.2873986024669,231.3073560047899,231.67730006260763,232.01674414822207,232.1337712920337,233.82937730320853,233.42826730316972,233.26665293588906,233.32811368615273,234.51061235285684,235.05548461001416,234.46629307407713,236.6794117207706,236.73371171090838,237.06533541691212,238.30775691116938,238.17539444933166,239.49761320895828,238.35761461914768,238.7834308524632,239.7372728151132,240.09607844423525,240.3249295716408,240.98617904715275,239.5590437576917,241.06649504185665,240.85046319636038,241.90283873180013,242.61794605998418,241.62241705254138,241.56453378079513,242.53145788760574,243.00393556505554,243.8942773981483,243.02204870287477,244.10716374882963,243.95951271404692,242.59020766886218,244.1632108019569,244.11377659755556,244.7819320108717,245.09257989200455,246.14076137027286,245.3872598543988,246.17992179963346,245.64726739425956,245.47711024586212,246.75077473705187,245.80253457995823,246.73861401678866,247.32882070323063,247.25830763158848,247.0101204658316,247.91629290164101,247.60774090781004,247.51522609759985,248.52030282954752,248.53234667844822,248.49230705982566,248.49886946962422,248.85075667696555,249.45441991121848,249.8068902863186,250.21541349529784,250.1511406328114,250.56260625575254,250.67568942336987,250.58295696707873,251.44519816636702,251.4617516883552,251.71479820464876,251.8701603402134,253.02598175078194,254.983439638687
2.5,208.379111094444,216.12130408571474,218.62744003314978,222.67029896254635,223.0004564599214,227.90471783867034,228.72120577512777,228.31326753343475,230.0507605577148,231.82135178400432,231.94548582933098,232.56072855129838,233.05298426309488,234.38315563920142,233.64485939401732,233.719376613364,234.4412611172156,234.81472051721985,235.4534945575607,235.09515647592306,237.18802582345904,237.17438367274667,237.889520113634,238.90817577321215,238.75107045319908,239.68687678327555,238.8223926328798,239.64407325829922,240.4103400663929,240.62759009388364,241.02187563257434,241.5746344282611,240.3146901489097,241.3909218841166,241.23441837054838,242.3987396833069,242.88265858259095,241.99575737897334,242.43208215766535,243.20454287355972,243.49034012912915,244.2353750236912,243.39281777697357,244.5395184850204,244.8434352438336,243.0561714384465,244.5373083461142,244.86611599661506,245.19208907961234,245.71241131428732,246.4565553501221,246.4924245856834,246.32032766606537,246.03185064400205,246.041065061451,247.29446766566187,246.42254148568432,247.181414268745,247.44434655060059,247.54244731417663,247.60778878145334,248.17308382464162,247.96594635785834,247.88683248605278,248.75527991594123,249.04404464933666,248.92456079824922,248.6969373745189,249.17631140480643,249.9359728444428,250.09048957503452,250.4247251322134,250.40243636925717,250.72710583036124,250.93508922544189,251.40388328336778,251.5314444114759,251.5553059486107,251.9001599176463,252.9400768291875,253.0830447853781,254.983439638687
5,214.0225406911112,222.51680223428585,224.10445000578727,226.19610985937837,227.86061575964976,231.4681697197951,230.851442614459,231.05592823623866,232.0885042299224,233.4697382692747,233.979062958648,235.1229420369512,235.2136180618175,236.03021128480646,236.03202506332704,236.63988496691596,236.74190527828975,236.9221937300096,237.0359031749425,237.70113618813375,239.14191740323955,239.73010037727892,240.18740500267128,240.993932284505,241.35685476441768,241.43325684650256,241.76488916117404,241.9731663149171,242.644166675316,243.3352416421391,243.20163846583569,243.41115602074746,243.51027527922645,243.0145543562177,243.30630776312574,244.33249440059635,244.24071660132915,243.3931760458348,244.47877459265948,245.06865576667514,245.12173407651662,245.5721924997033,244.84036938343252,246.0553422255834,246.1851926243348,245.32751602710596,246.44341580980193,246.7962632749441,247.14200150571696,247.2704916024105,247.35945847763108,247.6291001798118,247.9466278644716,247.06228289270712,247.5072572782287,248.6399248719882,247.58990451321588,248.74568605986204,248.60891850193684,248.6671682032567,249.00116726322875,249.61179333253244,248.98160264778207,249.2156537484994,249.6045327117277,250.2555601766532,249.9064102876657,250.0640738745783,250.28596090359625,250.770801020784,250.88212204498143,251.1377555810836,251.1621929987069,251.64598088986983,251.75187596517034,251.9480224033195,251.97343550437125,252.0933399662212,253.2055124767819,253.19593660353914,253.2596569504789,254.983439638687
10,222.88540531555532,227.1183439624758,229.1484371623849,230.3306420780003,232.2130950158161,234.79226459846402,233.5020560841466,234.5350636838384,235.51868818408178,236.4708601896389,237.1642836557952,237.5098620163264,238.558605486991,238.8776751795833,238.8908491186401,240.090180016689,239.90582483621262,240.24582891135162,239.9500753716729,241.3154806739321,242.31612429813188,242.5100986193295,242.9933160124248,243.7126813667812,243.752939381196,243.8774395963955,244.70153757799318,244.2867702167851,244.8445697912325,245.2833606895846,245.9997086606913,245.7089173574432,245.9235169190821,245.8933349105815,245.5757410385007,246.6900200945481,246.6011113464915,245.6961085174951,247.0731879148285,246.7838255935646,247.2375525621025,247.33137232765608,246.9604008674874,248.0883100358915,248.09786009262302,247.3826942155023,248.5466027573855,248.8725545653473,249.0621313617038,248.88979568733208,249.0850994239915,249.2580362727252,249.430884653143,248.90763647902833,249.5053468767036,250.19656555821769,249.6230089242315,250.39477334141802,250.0591175491025,250.31114117234998,250.5266480411525,250.8096104152768,250.3677802617983,250.7624174057057,251.21461859884428,251.4209914000436,251.10823596032662,251.2233044821948,251.33650703726238,251.7584699672018,251.8199508941101,252.21983116458938,252.1247463219042,252.32191874700803,252.2549321568021,252.4677888254121,252.7854852587226,253.3361434334401,253.4637445401052,253.4065640600402,254.7283060458882,254.983439638687
25,234.66619918888875,235.69070838904798,236.907192069737,237.17859958434025,238.55377350590226,239.60541019186377,240.0465419915705,240.136327558176,241.33969426632626,242.51243742166676,244.49992682105324,245.62050443273426,246.0300231504535,246.33171439171127,245.39568686528875,246.78532415794376,247.036839614355,246.3688843265035,246.7714182438175,247.144650801519,247.8385517618565,248.00927780209676,248.28061487007074,248.777301708647,248.92006981629575,249.03865242695275,249.1919286557405,249.33263120631648,249.444378491247,249.3596017310835,250.24964718581074,249.72565088322,250.28820341445277,250.390995924366,250.4209750327085,250.5180523198895,250.613085694736,250.452676597835,250.69532893506076,250.6694132482505,251.48055335612,251.1233313986125,251.095076425694,251.7597020521465,251.461913757691,251.32019243066824,251.9001869783665,251.97360497772226,251.90644006853523,251.84800222445375,251.944166920725,252.24252457308575,252.202500120205,251.93505497127927,252.31929987687926,252.56716336031724,252.15582700968474,252.78153453991501,252.5438135401215,252.84385426174424,252.772460796841,252.97335698502175,252.67867372012,252.95254424509602,253.06311956215552,253.06738412526175,253.177071581848,253.2121485412785,253.24611713010648,253.29978464281476,253.263984467131,253.616666718423,253.63210330904226,254.00356014952274,253.93581934116776,254.09896181949324,254.0059052067045,254.0190820204405,254.1701832249325,254.95785960031148,255.00973724416974,254.983439638687
75,254.29302258175275,284.1432150294545,278.204360236397,270.67954961708,268.5828148285458,266.00148875240376,263.702639398942,264.21095091144673,266.2326907258895,265.46946836044526,264.73393725010453,264.82172174965075,263.5752116366145,263.2240960943708,261.43945243004674,262.68787651641975,262.0709288815608,261.8459159033462,261.90336775957724,261.78324331005376,261.644237311268,261.3229878521915,261.36666787273555,261.5332510907717,260.7299536970755,261.524100056573,261.4493248479522,260.81089593790097,260.42700649957,260.4083225530825,260.272915046133,259.73964252209424,260.2985036653777,259.81434691992075,259.9830158666665,259.92668388720875,259.053379922712,258.9906487042145,259.18522915617154,259.333474127138,259.2983602480963,258.995524957175,258.46531263751854,259.124110843142,258.85754953324823,258.74032738401274,258.4300945346508,258.70617368985273,258.018226076647,258.20265998258503,258.19843826769,258.15193508893424,257.773377415049,258.03754510149923,257.99598255872803,257.62067819582774,257.65364755033727,257.679341261917,257.7967634526225,257.65993063189177,257.6133194722165,257.70170851850224,257.20344960549625,257.418761717841,257.01588165246255,257.08681467250176,257.0803984108268,256.6451530750115,256.67170598667775,256.86451438614023,256.84184766762775,256.9103771627415,256.75915725458003,256.54035095957175,256.51579827130826,256.340332500956,256.18247058643897,255.9859905968765,255.76772871990977,255.55591535022026,255.30646319818626,254.983439638687
90,323.3585279644667,299.48662012761946,286.5790980524999,281.9568157040536,287.0154422068876,283.5520866017564,280.12469480879093,277.29708777944984,276.0981390280412,274.4159303483689,273.5022060413541,274.30378288956916,273.3420152401543,272.60584161755094,269.8431003688966,270.3377675306736,269.4066966049675,268.51033157826583,268.3459137173999,267.9340450633827,267.7053614085822,268.069859115278,267.0048899333936,267.5428015242904,267.06126136765664,267.41709625565665,266.2680579264604,265.7561028423537,265.19258986517974,265.305734216649,264.7768676428427,264.9289459365974,264.267387664118,263.8412356722895,263.3771310466135,263.9660890861752,262.8318636551645,262.80037603702567,263.0552927770835,262.8088585719226,262.7563366337312,262.7131972247675,261.7356142940996,261.8496289672168,261.882668001311,261.2248483490917,261.3146909724817,261.6822907424515,260.9684256404904,260.84745632796887,260.53708927305706,260.8535269402214,260.3747262126931,260.3108768955953,260.1943888245702,260.0036670434295,259.7960104106266,259.81794380748073,259.7051600812823,259.55047087332366,259.463406109285,259.1950026014103,258.7945974028172,259.1234456571197,258.60163563022815,258.68424954189413,258.6023338607463,258.2875567443067,258.07340103711573,257.9933786391562,257.7708700269405,257.7938600358296,257.48973509713056,257.1629459353884,256.9745175567628,256.71239525525124,256.50153569482194,256.3175833616565,256.0008540816842,255.7494728564247,255.45091248277998,254.983439638687
