,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510
Low,200.30278288111143,214.2136675271093,215.54531000249986,220.4136067315,222.02609616977114,224.88087073927932,225.69860263824884,226.45124305037402,225.61440861801978,228.38411618940518,229.9833322113693,229.99527363829716,230.38100961238493,232.0049135097361,232.09371600500444,232.0665812393479,232.65412367713634,232.5674173388282,232.9813459994829,233.44765809316223,234.61336917731168,234.92556857236394,234.616624578557,235.28206073505126,235.42814959429816,235.71818467144251,236.09737347876214,236.6113704165646,236.53695087298723,237.99234196594884,237.38584858676137,237.6225924561743,238.69487810860636,238.27918951590556,238.21761745843088,238.83056775621716,238.8585541387865,240.28394829391036,239.25699075929074,239.46922803766094,240.5202987768645,240.04458091386508,240.47041468513615,240.79173944067233,240.0538596247981,240.96201166205168,241.7527462883779,240.91482836840117,241.17851960604372,242.144490929535,241.46593837500086,242.726362775557,241.5325371514147,242.30995275567264,242.0051531226712,242.06418470436188,242.36357729960727,243.31193024347033,242.7282129616689,242.9222366544711,243.3061698453979,243.64774544450353,243.50695719753955,243.63763728040965,243.12683591485154,244.1018304927846,244.11408542083697,244.18304736821673,245.10640874618184,244.85890736491976,244.82513520331878,244.80921091311438,244.70464090657865,245.25508250627962,245.47254239289683,245.5973002719933,245.51404871326005,245.75587879811576,245.8247570546997,245.6126337243974,245.784689108153,246.5134975575454,246.6968967573458,246.40355192541517,246.62059292839902,246.7937120450874,247.19103230819434,247.38837292614133,247.60475869756124,247.5349603530876,247.64808278145992,247.62514511317073,248.25000861683583,248.35309402788235,248.34742708662074,248.57179766369742,248.71028818830814,248.79370099808506,249.61265467819993,249.75455571876304,251.252264595229
High,334.3490758393003,306.6625878852043,316.3581326694739,304.92831815304635,296.29714444289,290.78514490733556,287.3821907796966,290.07989521706736,287.39099235694994,283.53868097577,279.56490085650387,280.6664222974854,277.7655052737434,274.6152064530811,277.0392161448169,275.477246155336,272.69704803624654,272.66909441901095,273.53772067234894,271.5095151513731,271.8468776670326,271.5256976589534,269.9496985429134,270.18605013517293,268.88160065999915,268.7448793786894,266.72004150083774,267.3130414977382,266.9111072371904,266.4024964729637,265.7981812066614,266.8760457249693,264.4632588894994,265.18715189840566,265.30718223427453,264.27913682480516,264.9887632398085,262.7053687954266,262.75368722437463,264.23117829905044,263.87011911310634,263.26319393702113,262.51918985694317,262.1754401064061,263.1936499895548,261.7058372270417,262.0747536900045,261.3437257674478,261.0091577567606,260.9414117804808,260.7911630875968,260.61405027440316,260.3941156380129,260.4610650799018,259.62780694907326,259.9747141223275,259.64339865076363,259.91394751555066,259.26370077968943,259.56484513140697,258.6675631266978,258.3825015231629,258.3243433151108,258.46416346081236,258.0142071827554,257.80969116472625,257.9656316590957,257.8181469490864,257.4632395525611,257.25307750135505,257.2626902467224,257.2145739662345,256.93584566495946,256.89058700989887,256.81229857594974,256.29929078046615,256.2036141633019,255.9920584100429,256.0502302392268,255.82261719879992,255.90675938253398,255.29990472866515,255.32584776797538,255.13271159767612,254.94318658812253,254.7164395915998,254.63347821262028,254.28542057205263,254.13368478912255,253.9975803255312,253.83461488091737,253.69955826331568,253.534949471828,253.264323969418,253.03409444445703,252.7634102310674,252.67376406079737,252.401185151837,252.18417473462569,251.93664810078428,251.5178615309461
Mean,253.0419107952043,250.49929013720197,251.26455191524855,251.00154286319267,249.82674924944038,251.38125524084282,251.60605805154216,251.44694608043304,250.50224879694343,251.35115995711115,251.81623829175547,251.41207695858444,251.09990905527994,251.57465426536731,251.07205099689773,250.78246248838917,251.0347369035348,250.64780941076395,251.36467057768022,250.9831956551788,250.86834122613482,251.60059624781886,251.38853025931695,251.5620854334202,251.1046678028522,251.29105435575718,251.21393950681625,251.56268191921185,251.5465120808921,251.581863389542,251.14250879111495,251.55694294909821,251.2124520898331,251.5504185442819,251.5849523119274,251.41755853252556,251.53089949377735,250.99855474945372,251.09530566330173,251.39506363827246,251.59265220072476,251.65023567730742,251.33227114097343,251.39692062603615,251.60143356406826,251.48099713226014,251.4155448440087,251.19942602855892,251.33154041228698,251.5888257153658,251.4107156633641,251.3172232139868,251.17812392018138,251.37832239200222,251.14638769535478,251.38752852316867,251.24983375605905,251.46975923207813,251.40586722880636,251.43645368308853,251.23339437430698,251.33522999049254,251.2349362206078,251.25934040771443,251.54660466607027,251.21089824626586,251.380516670561,251.3672385368901,251.3380441867063,251.1697120874398,251.36913914415922,251.4009880818875,251.47562768569378,251.41802339455617,251.3744423389528,251.21115700326203,251.30898608347513,251.31611994217263,251.38245298745835,251.38592070549586,251.41087049356796,251.3640538701414,251.42873844050632,251.34221866891463,251.40175885438788,251.35053176466008,251.50439640857223,251.2960954587308,251.32564985666156,251.3816772954001,251.4119358359104,251.3698745347765,251.35704808920275,251.38879774926772,251.3526278677517,251.32496094777412,251.447097099433,251.36916269114764,251.34217163318945,251.33765828689639,251.3534449475307
