"","x"
"1","Ambystoma californiense"
"2","Aneides vagrans"
"3","Lithobates pipiens"
"4","Aquarana catesbeianus"
"5","Batrachoseps diabolicus"
"6","Spea hammondii"
"7","Ensatina eschscholtzii"
"8","Taricha torosa"
"9","Batrachoseps simatus"
"10","Batrachoseps gavilanensis"
"11","Batrachoseps relictus"
"12","Pseudacris regilla"
"13","Batrachoseps incognitus"
"14","Taricha sierrae"
"15","Ascaphus truei"
"16","Batrachoseps robustus"
"17","Dicamptodon ensatus"
"18","Batrachoseps luciae"
"19","Batrachoseps altasierrae"
"20","Rhyacotriton variegatus"
"21","Ambystoma macrodactylum"
"22","Taricha granulosa"
"23","Hydromantes platycephalus"
"24","Rana cascadae"
