,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545
Low,962.401443564,1313.9406802242502,1659.95651555,1972.6545739432502,2247.34355771025,2567.807385664,2886.36345175135,3121.10873385,3349.1524320000003,3672.19496975875,3859.03647616015,4142.5448676019,4414.45586077535,4641.7172771206,4839.85357527925,5089.7012902766,5292.221021265251,5567.9856861225,5779.38537152625,5977.5526616596,6211.537368601,6388.773780094751,6645.69939224675,6844.79406716925,7039.5799723881,7228.239265541751,7396.87805552475,7588.6176746414,7831.2951834569,7945.75903479775,8165.65650948475,8380.25997244325,8567.884529493,8725.158297125501,8878.18511401525,9083.07419157235,9240.22375297625,9498.79917259425,9642.363758115649,9778.667921212,9914.02430690175,10102.023177138,10302.927002242,10472.2503578236,10637.634898141001,10711.910581622,10969.99096970785,11148.619097969251,11278.6340198764,11461.08402375775,11631.34862552075,11808.12327138225,11925.35386857525,12123.3525408966,12240.5897613804,12471.162037560649,12603.37425301925,12766.85709877985,12867.669894808649,13074.2481379625,13244.976834951502,13430.17885397475,13553.496855857149,13625.64721061885,13783.435870276751,14035.937826436,14117.316847473501,14287.7054164574,14458.398903358,14600.6740005384,14736.1987884181,14860.202010340001,15040.19845706015,15132.122735252999,15331.2428441525,15507.46115862075,15602.851461211,15737.94436844265,15889.22571780175,16098.6622730059,16205.732625025601,16393.13131464675,16521.834549215102,16641.600829686,16849.002746312,16948.344649466853,17117.19525999125,17252.827175394,17408.52399037475,17567.9836389595,17654.28702833175,17820.29677073125,17955.7340397955,18113.6618037945,18285.82760803175,18400.8324487895,18580.1216263175,18702.134269241,18842.28422770425,19025.18246137675,19146.898577315,19316.9770298935,19473.537332600252,19609.43130435875,19738.99278474425,19931.360349613,20090.633909761,20303.4405911835
High,1551.7847455547499,2025.78355295,2469.99086853275,2833.90500651825,3192.777331424,3546.3229234904998,3857.26870908875,4187.710084136,4490.88733007275,4775.3683184129995,5075.962711982749,5304.9595348432495,5633.80104656175,5851.8190891504,6058.391967294499,6343.9383378186,6582.750698766749,6758.4843463487505,7018.0533028921,7284.43107172125,7525.5834298484,7723.777199385499,7893.62231651115,8212.5853538236,8390.438850437351,8556.09763668425,8715.9481155381,8889.54257873525,9176.461317194,9322.847625505401,9542.96849470925,9700.8279349845,9940.65264527,10112.439681739399,10246.1367163241,10499.170527490349,10640.6338359355,10806.603054024501,11008.25217499265,11152.8883913421,11328.7693244915,11507.673230706001,11653.2191556371,11825.97268990275,12020.55649519185,12199.610505166,12346.06964940485,12491.475714692,12649.074592085099,12799.68368457915,13019.71924338785,13163.4208805689,13309.0896474916,13497.383257725,13604.437320619,13782.1725082536,13994.50954549375,14074.033972346351,14240.1465075194,14345.385152892,14560.951496307402,14734.2900637116,14797.87616359375,14973.99423863225,15155.74053760465,15252.02009925565,15420.84112015785,15579.921961268099,15720.516613871001,15827.178089341649,15964.917023464499,16116.3606743566,16247.95730825375,16418.041008296,16522.7187035509,16618.1021994921,16815.26001950375,16953.646447963652,17077.9914649085,17214.44247805715,17319.15970569785,17479.995899789003,17571.34264136375,17703.4774072466,17880.06484389285,17995.6347158179,18110.8944504575,18255.29181519365,18377.513205602998,18516.686699286653,18634.1713966774,18723.51554986575,18864.479574470002,18983.52405430365,19095.344486757498,19216.585445561,19326.6311318305,19420.209195311,19556.040118798,19667.495352213253,19770.120002301748,19897.61723918925,19991.424921748498,20099.26247936875,20183.54757408175,20292.879600035998,20374.779137962752,20441.519551860998
Mean,1238.93046077963,1664.2348713023582,2053.295755217004,2408.876080599282,2730.52776114697,3071.1543516102183,3381.591899919278,3673.8778336194578,3961.780579532896,4231.822464821466,4497.58069613729,4756.2284625748935,5024.724824052972,5258.088525440123,5485.565747839106,5743.017501531722,5966.095993887208,6186.408505962588,6397.590643358353,6629.488872477792,6862.780970332339,7058.743159909896,7279.008807233978,7509.065468076136,7689.552785861201,7877.93482550777,8081.631404576689,8263.923974164598,8469.034474135633,8664.402887895692,8856.838275542164,9037.50136241435,9231.277854276279,9407.633392060508,9568.992781369076,9775.784942689692,9933.377954208443,10128.179024124645,10326.263907863822,10482.935450082505,10654.249461290212,10825.792721007992,10984.046655383538,11156.770465370615,11330.049076834977,11492.88337821998,11684.965331257914,11831.10553802931,11971.700180440896,12141.251935492126,12317.663352210604,12482.53191364852,12633.492257724252,12798.584640736743,12955.014271105118,13125.988745168119,13279.943803401067,13438.154925430732,13582.81613932864,13724.854956304622,13903.348695377708,14046.139721582278,14192.194458294329,14329.583615075575,14480.592175097372,14635.132780588983,14779.398960441416,14958.988523358486,15099.6340394908,15230.231548546146,15392.344565658364,15508.709646707195,15668.243918138909,15799.551063475836,15957.642897464886,16087.871200575632,16235.283309420678,16370.093952706527,16511.950165602084,16671.534732358483,16785.305383670784,16952.374302004548,17084.601776537373,17208.980539567507,17370.741554746597,17495.230023253214,17643.836986310438,17765.285670586818,17897.824961197563,18053.892756122248,18178.633200253404,18304.166045520888,18438.337477339417,18580.806377955043,18707.63982111224,18841.004615063594,18970.368592442177,19099.95379999398,19233.40363836468,19362.317346941763,19494.37289955836,19626.350055510597,19756.97440203041,19883.43097296213,20006.559796790527,20144.99670564812,20267.791183893074,20398.71195100122
