,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545
0.5,863.4918544985501,1215.1407413439501,1568.3267104935,1786.72361665215,2102.290208555,2429.58691554075,2686.863782905,2973.29468245572,3221.3003391207003,3477.90888061748,3688.6172656624,3948.278368335,4187.32011711917,4499.99593270693,4617.396246219,4949.055669066201,5069.3962893791,5368.00104592428,5671.46894472505,5788.72232730985,6067.400708148731,6228.47207877427,6415.260623164049,6672.7800426740005,6812.1378709463,7004.3738382688,7175.898187367519,7361.58719740537,7583.11490222885,7766.03659178762,7937.437884297,8158.174132555931,8370.94379986953,8654.07524262128,8700.474119172599,8877.98689918355,9143.79691908383,9239.10154523847,9509.0860931602,9542.57290715015,9695.645957810499,9923.74704476443,10116.9219367325,10245.912141211069,10493.89594453407,10529.135509438649,10766.340920491799,10963.120891347071,11039.87698860662,11309.95655817955,11445.71875947895,11670.546924745531,11713.3587513732,11832.10389312223,12104.79604886695,12334.71199173865,12409.47982794425,12512.25442060807,12683.55568330888,12874.82915634902,13106.095582024851,13164.90864710735,13318.584441200801,13489.828212931101,13462.9796373139,13858.709017728801,13874.93028240285,14172.73337297165,14298.3404801074,14412.8787924969,14511.956265423629,14663.98427486718,14858.29739072865,15008.36631129515,15189.88493224342,15351.37724486003,15386.1763072421,15496.3941240132,15725.66537700445,15962.5272453506,15975.03298287375,16182.99371098838,16339.154046614829,16487.4215605927,16679.9187297497,16772.341871748922,16977.80899700345,17030.41288766113,17261.6914537666,17409.8184667759,17493.84087476465,17682.6843805939,17832.762980149648,17958.26625499333,18114.459833000998,18198.59753744602,18467.1549071658,18575.20313383315,18729.169761532783,18925.542893042668,18962.76319184227,19196.316524477097,19366.138567632748,19557.703006236,19610.0811681315,19800.729591135998,20013.279086536,20253.277994016
1,906.95347969,1251.6800221549,1603.64231515954,1862.86924952784,2156.0546833829003,2488.2467693859,2750.3419689169,3039.8145341206,3273.2043600765,3547.11861659,3746.30464997846,4058.5788766797,4334.01356774554,4544.924534226,4701.5172024966,4982.3642253636,5149.34263137306,5406.51790306774,5714.870199787901,5840.3147146016,6134.1118152013405,6270.117833772199,6466.4266557845,6723.3100381347995,6931.2720520117,7083.5847318618,7292.72316873,7470.60190656366,7666.43295909506,7854.9534441416,8043.7752887923,8266.704851666,8432.3143305444,8669.10220054146,8751.02045428254,8972.2559879107,9171.3205647097,9319.2012835803,9550.1955779,9615.10344932636,9794.6670276968,9954.8468527653,10207.75592345314,10318.319595317242,10527.675528622442,10621.685298590899,10822.412459146599,11030.006038003241,11174.72415957016,11373.3398102983,11542.771580536839,11736.8832479798,11789.33192111614,12010.85156772056,12150.16104950346,12391.80652368484,12484.25200638264,12636.546460850639,12763.5656976179,12977.4249350142,13145.69555934076,13271.18029336924,13421.5112567617,13535.0586199921,13639.14930950604,13969.3309980494,14000.95003117766,14189.314032472601,14361.7685798693,14487.0679015319,14615.3192124702,14793.170930607299,14912.91996906546,15057.87024267144,15228.9674801476,15396.7249475519,15461.36112684294,15592.02989249866,15791.332690837,15992.1447293514,16083.976215784,16249.06342305,16415.22230746594,16535.43672035116,16745.2184483321,16817.1611357317,17030.36255302696,17131.33499036814,17311.2177143978,17442.203773169,17567.54479796744,17723.3845354986,17882.6263532597,17997.285196253062,18188.3932331932,18315.5883957869,18498.7498065006,18620.947279456097,18791.087639588302,18949.890996702,19046.648556323,19242.9600060308,19417.0001782795,19564.974187736,19671.770258237,19831.745039706,20033.366736516,20276.301036075
1.5,926.578592415,1276.573309285,1629.766691195,1908.6507341573001,2204.5242942799996,2509.79556947289,2835.5240042293103,3081.559082496,3294.61130370805,3602.51627106685,3781.62906838694,4078.2072187867,4376.1194568163,4569.56241057685,4731.78868090434,5016.9036997989,5187.0381434261,5460.35520556645,5737.13772987485,5922.06457757905,6169.2509437609,6330.50475414606,6551.83878465601,6767.1285484971,6962.98451736346,7154.86688079586,7339.5297580321,7518.1859686486005,7718.03123709245,7871.03942952241,8079.6105692328,8308.689875921951,8487.784122567891,8691.06267056945,8800.08272547565,9015.5521046478,9213.70470597879,9384.31212943434,9581.08887541201,9679.8896230375,9823.29934585464,9999.28285994366,10259.8170505402,10384.6919835399,10560.87376599109,10640.456242139291,10919.511867185949,11089.548509268001,11225.24934895606,11413.504180652,11581.945890393361,11760.375967527749,11857.09218858819,12067.5172404526,12170.51436471731,12426.34218479956,12542.11648197049,12685.61210107234,12812.58116639154,13024.35656709735,13162.50320360299,13352.151610410841,13471.39191537001,13570.737443514461,13694.4900626214,13999.649429895291,14047.88123959379,14233.44452173915,14388.302123393401,14540.0473797381,14685.82998670975,14827.98933803175,14984.49302037365,15073.11371266785,15279.9853241936,15452.6523565459,15532.98356582945,15665.02804712479,15821.48864682165,16051.316627872351,16140.67188988725,16321.29779763754,16451.718834375548,16558.852504807663,16793.903801984998,16874.2491808995,17061.618907208198,17185.4222562845,17356.15988040855,17477.3791330793,17617.489153697603,17753.25161586405,17910.48218632175,18023.0794655841,18244.64134442254,18332.7879635088,18533.98306383045,18667.4641317894,18816.8391910439,18961.618784286547,19092.458030465452,19270.940646061797,19445.211391360997,19578.633865986,19690.54600770045,19874.692692549997,20050.376289401,20284.498981211
2,937.11685138,1292.41289738,1637.194116218,1953.1853514200002,2234.7051625352,2540.6387149512,2859.2773888416,3098.2308497566,3301.7501749526,3645.8387703776,3836.3184621932,4111.4924629332,4403.1752836004,4588.89174120608,4762.986493852,5069.7046144148,5241.63007440848,5530.219046189801,5759.0193858776,5965.8355103327995,6178.0631268168,6362.695290938001,6609.1857268206,6810.0467353963195,6988.310565993001,7177.0562292338,7367.71375761792,7570.61608596908,7791.2005196862,7907.5572760942005,8122.6918458654,8343.9276789602,8521.250275173601,8705.156894650001,8822.86409007068,9030.3486219896,9224.3891734514,9447.498641124801,9615.5192884032,9733.462780042719,9878.85434106112,10049.28779696132,10288.202665271881,10420.739624632519,10603.379257077999,10699.3546456292,10941.252779544,11133.7858897538,11257.0254786692,11428.5923753266,11607.02173849692,11766.15662279832,11889.08499399868,12105.267830167,12223.8728706246,12446.8170248976,12575.42598658028,12729.01330766532,12825.84464426548,13047.87646982692,13214.79976470592,13391.61730729988,13501.0879179826,13598.7641936948,13751.238906539002,14013.916677438081,14106.87453895272,14260.8546282862,14427.920254838,14580.092986405081,14718.824373154199,14848.4773977018,15017.0601012042,15114.106357253399,15307.5671292602,15473.4111643064,15560.66856463112,15702.8899530258,15867.6019442786,16085.115714124,16181.4191998534,16359.854535640121,16466.1426571216,16616.8879814982,16836.7325141654,16929.7946731118,17091.164950097398,17214.9931253406,17385.101289350718,17510.08114547688,17632.261998726797,17766.41384303948,17931.603271308122,18076.031326063403,18269.2294528974,18366.197889760002,18559.2708656202,18691.6763094778,18829.244058356,18989.042163062,19120.0498621486,19295.2212227464,19462.286267834,19599.58927150192,19723.8966188042,19917.467040208197,20083.870149538,20296.581025196003
2.5,962.401443564,1313.9406802242502,1659.95651555,1972.6545739432502,2247.34355771025,2567.807385664,2886.36345175135,3121.10873385,3349.1524320000003,3672.19496975875,3859.03647616015,4142.5448676019,4414.45586077535,4641.7172771206,4839.85357527925,5089.7012902766,5292.221021265251,5567.9856861225,5779.38537152625,5977.5526616596,6211.537368601,6388.773780094751,6645.69939224675,6844.79406716925,7039.5799723881,7228.239265541751,7396.87805552475,7588.6176746414,7831.2951834569,7945.75903479775,8165.65650948475,8380.25997244325,8567.884529493,8725.158297125501,8878.18511401525,9083.07419157235,9240.22375297625,9498.79917259425,9642.363758115649,9778.667921212,9914.02430690175,10102.023177138,10302.927002242,10472.2503578236,10637.634898141001,10711.910581622,10969.99096970785,11148.619097969251,11278.6340198764,11461.08402375775,11631.34862552075,11808.12327138225,11925.35386857525,12123.3525408966,12240.5897613804,12471.162037560649,12603.37425301925,12766.85709877985,12867.669894808649,13074.2481379625,13244.976834951502,13430.17885397475,13553.496855857149,13625.64721061885,13783.435870276751,14035.937826436,14117.316847473501,14287.7054164574,14458.398903358,14600.6740005384,14736.1987884181,14860.202010340001,15040.19845706015,15132.122735252999,15331.2428441525,15507.46115862075,15602.851461211,15737.94436844265,15889.22571780175,16098.6622730059,16205.732625025601,16393.13131464675,16521.834549215102,16641.600829686,16849.002746312,16948.344649466853,17117.19525999125,17252.827175394,17408.52399037475,17567.9836389595,17654.28702833175,17820.29677073125,17955.7340397955,18113.6618037945,18285.82760803175,18400.8324487895,18580.1216263175,18702.134269241,18842.28422770425,19025.18246137675,19146.898577315,19316.9770298935,19473.537332600252,19609.43130435875,19738.99278474425,19931.360349613,20090.633909761,20303.4405911835
5,990.2294004,1356.620083432,1729.3762282,2032.136234918,2337.1157698,2641.1462300265,2946.6241772930002,3240.1418914605,3457.2487769065,3742.7397886475,3977.029727773,4256.171592923,4537.253722344,4749.825505346001,4956.0178360255,5245.1492100588,5414.6235234317,5652.6749376504995,5867.5448735,6075.3816984755,6298.9979411207005,6483.863640613,6725.5611071445,6974.8946710655,7129.49307798,7331.5930751283,7513.2305094977,7709.986405125,7930.8766819835,8055.783987987,8274.559384715,8488.499489535201,8657.5159712123,8831.380448886699,8997.180148606001,9198.7949138525,9364.503332419,9556.8387346525,9765.4239298848,9897.093569393,10049.4394120085,10244.1480755323,10410.6234975788,10580.546150015001,10730.9550712798,10876.5653073553,11093.5625702992,11241.033668965,11387.7943421355,11540.3162769602,11710.2712594662,11897.726441275,12048.492075106,12240.4133588335,12370.614822233,12551.961971731,12722.40605665,12846.1120617428,12993.190741829001,13156.663365913999,13345.1267003312,13541.4419207003,13657.9384130025,13755.288219247699,13927.294318635299,14096.058563822999,14222.7239135597,14412.5208271645,14585.2809092855,14715.8794435078,14858.4656578172,14956.974855045999,15168.574809750002,15219.4889347815,15431.817702772301,15613.0142162457,15720.8695189345,15845.3958033875,16005.9214359125,16206.3099114602,16286.1572208948,16489.323203054,16613.5325187707,16759.0294841765,16903.109699559,17031.5065188157,17209.0200258735,17328.0227170085,17472.614527427002,17637.164131605998,17753.8839593472,17894.215728032,18046.210477654502,18199.0306031575,18343.220985464,18486.7040198505,18642.4722705565,18739.51822846,18905.6130658065,19070.921679090497,19211.568222695998,19365.610987598502,19516.903460386002,19656.0791286425,19806.728751135997,19983.295621786,20139.644392596,20331.622726436
10,1047.125021456,1427.189151,1801.07245239,2099.173392307,2406.0459644000002,2744.8347976289997,3037.8721960000003,3317.6715676410004,3574.9674189074,3857.988805257,4093.2662412774002,4362.39446966,4633.350192877,4861.79022616,5074.9125636280005,5348.697263071999,5562.290002197,5791.273171033,5975.491603349,6200.895183378399,6446.127767256,6607.0330256424,6848.042953765001,7076.7718008856,7250.7003139894005,7446.9863555166,7654.4712507264,7824.8094582564,8047.8216817386,8207.736426847,8400.757060029999,8606.8695687904,8805.147771020002,8945.153117293,9124.439612189999,9317.983777143401,9471.957101582,9683.865697743999,9893.576735006,10016.3617916254,10196.097964382001,10386.106467943,10571.9908497756,10699.7796667596,10867.953066808,11028.617864545,11241.585060793,11402.232569914,11531.24516801,11697.854337803,11854.639076143001,12048.2616399466,12163.952439143,12370.4996698074,12511.1994228754,12695.542697361,12833.3716012926,12963.313829270399,13131.370514993,13294.960815072,13492.6358899546,13629.461919568601,13770.1834924254,13854.000181714,14045.0446493276,14215.4533597776,14353.703667222,14527.46944236,14700.013858646002,14815.437669208999,14971.2755320944,15067.163701009,15282.645226663599,15373.080508045,15557.490255668,15708.313182931,15866.888696752,15971.410382003001,16118.5017436676,16302.993754377,16396.171856289002,16595.155470543003,16725.418055276,16861.383540306,17006.077770671003,17147.521549628,17307.150752973,17432.366210857,17563.691279473,17746.121143151002,17875.4749351594,17996.960465966,18146.6473619906,18300.3549363646,18426.134061804,18566.622570936,18713.759572671,18831.880190806,18979.09498039,19144.4555054786,19275.701732755,19433.239162936,19566.267744466,19716.664810336,19871.447192035997,20029.216363736003,20178.364323249,20349.679292435998
25,1136.1338231589998,1542.764913575,1915.67284073,2245.9278570525003,2566.411223,2904.88058225,3201.410627075,3480.5116877150003,3782.086523725,4051.45432685,4304.605999859999,4557.97328089,4817.5464965325,5056.8685619425,5279.1609381475,5539.07660702,5755.91244619,5976.8872069545,6176.240060454999,6399.3077381865,6634.380007975,6825.0561785325,7060.732210769,7272.01462414,7459.48402633,7641.7600694665,7843.694577182499,8046.598032161501,8214.549573535,8439.264107224499,8626.7122657515,8805.574595565,8998.039757866001,9170.4361429525,9352.296830785,9521.2819972465,9686.779051709,9883.559782209999,10086.5972474175,10239.426072033999,10426.6637171175,10601.9058592,10756.5308810845,10905.5828796215,11102.748788803501,11266.8870813565,11448.3891320625,11625.005478525,11719.964076391501,11897.0499877485,12069.1552201385,12245.6612949935,12395.557856331001,12557.199789403501,12710.037092865,12899.164463333502,13048.505238815,13206.0657419425,13346.204253751,13504.011653951,13671.3498371945,13814.785202074,13966.9989636785,14102.432486363501,14263.446032501,14405.2595903865,14540.286812633502,14730.8124411775,14891.4554000245,15021.7312427985,15180.037043881,15291.489634156,15471.2375153185,15597.943373324,15767.6709486295,15889.7478502665,16036.474237236001,16184.3907967845,16310.7243788595,16472.710061374,16603.077600128498,16762.941585157,16901.614303031,17039.688322881,17192.343229251,17322.862769204,17465.048494211,17602.580044676,17716.232583307,17901.595552052,18024.630002056,18158.5862792735,18297.5573558535,18445.651973239,18571.256607137497,18713.653632011,18840.070978253498,18980.460545166,19116.754688396002,19252.6220234895,19396.712166710997,19532.463042551,19662.437705286,19806.096509441,19939.958829286,20093.359524036,20228.443418786002,20382.093370286
75,1327.547645,1784.40957789,2188.1709834069998,2567.4330906375,2902.1327962799996,3250.0900173970003,3572.7103018825,3872.849231465,4153.5080436495,4431.0062109025,4706.0278048,4966.901719445001,5232.7322605174995,5465.96088574,5702.709301635,5945.89886184,6184.3828584445,6404.8158853975,6617.442902062,6849.9465801215,7068.5143010575,7286.5951008525,7507.2041729150005,7738.5515046274995,7914.205169425,8110.3722828049995,8321.333512482499,8503.5522754025,8700.727287484999,8916.398575143501,9091.20456609,9265.4236654625,9472.150747297499,9637.593125377,9793.596957964,10022.988658515,10176.046058127,10364.1364867685,10548.7359520245,10719.929445482,10905.101066646499,11062.026477821499,11201.3860213985,11392.7652539965,11562.60213206,11741.232915515,11925.67329077,12050.431527175,12215.603483675999,12385.833850026,12562.131624810001,12724.575978627,12885.2726819485,13019.337978189,13213.122126593498,13354.7090754195,13512.8731473645,13679.743175467,13832.1822873815,13952.9049000175,14131.419128441,14262.771652649,14422.12871321,14554.1809895365,14701.142520595,14864.5202202525,15012.418468294,15182.295632692501,15319.41859215,15460.6728277175,15603.263619054,15725.8645276195,15876.7274077385,16022.935831187,16154.053779788499,16290.8872127995,16444.954880566,16577.9830084335,16713.710505197,16870.676588781,16979.689068137,17146.9634670135,17283.3900780535,17387.8627265995,17552.921777036,17680.433139371,17832.394598374,17942.454478501,18075.4910546645,18206.7827845315,18340.0174736035,18464.1401711395,18593.881810831503,18731.7436303785,18858.416727021002,18991.680536535998,19114.458471446,19239.3325470085,19370.705225360998,19472.6602121835,19608.4190423315,19725.311192261,19861.419362866,19972.132416286,20084.391232317,20211.739346145998,20320.245991786003,20425.576156036
90,1444.2539818,1909.2061867,2313.6538526086,2693.701392234,3041.2087675646003,3386.44260123,3724.9831907310004,4017.118147554,4316.3765130604,4582.720681297001,4883.078791473,5114.3464761014,5412.774123374,5641.356895815,5868.516270577999,6145.5443541674,6331.1957117986,6599.327243514001,6810.5858166434,7061.975844775,7293.1993457866,7506.342191163,7699.814303171,7950.365090716001,8131.2173607864,8315.935890993,8519.648756628001,8672.652669968,8939.809386237,9121.998873523,9291.295587541,9480.866387151,9668.3965250284,9844.126334004,10017.553554981,10264.724706605999,10393.123809219,10580.4481972624,10766.180362735,10908.9412217964,11084.120590431401,11284.435853187,11418.139471043401,11606.388858675999,11776.501773681399,11944.007552306,12138.225864796601,12250.454422956,12433.139896328,12598.566169415,12764.0451829924,12932.4259623,13087.8966936566,13226.73302597,13390.4464862186,13574.723266354,13724.8436416944,13909.115997258601,14041.229905566,14149.180971857,14317.302686039,14484.973688898,14619.2438170596,14767.756930032401,14898.151657623,15062.588083502,15210.787673007,15372.705950299,15503.807086944,15636.6146778114,15796.5561881476,15933.6021351486,16059.267625782,16203.86168528,16341.037959185,16459.9595323144,16615.695499325,16764.5822655276,16883.6388245766,17031.483998359,17157.633365408,17310.449527578,17426.704101852,17549.2836947684,17710.438233889,17839.7840061506,17975.582285696,18090.857869170402,18235.5308916886,18349.629554940002,18482.578626061,18595.471358053,18718.3513605626,18845.0853781716,18960.7982971594,19091.187261515,19208.441395242,19339.283923597,19465.275546453,19564.136419436,19692.136839436,19804.636228436,19926.816917536,20043.476044468,20143.394979236,20251.703833836,20349.974732136,20435.143988436
