,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26
Low,116.921334633333,130.98598592000033,140.67959983749984,145.2102317166671,152.05935483863615,154.52964722857152,156.461737570833,158.48934878594747,160.3015845905266,162.44424634935115,164.543086884058,168.533952861538
High,196.991089,188.670947866667,184.916973571429,182.8841026633332,180.3278365416664,178.64367199890106,177.628046066667,176.09243353529408,175.28478267447372,173.79678289025964,172.212326528985,168.533952861538
Mean,169.23500368900002,167.5866685592,168.45758800007144,168.61095355777778,168.44677455733333,168.44863037050547,168.51979567911667,168.3994543293856,168.6690506186316,168.58709762129868,168.56025339973183,168.53395286153798
