,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46,mpd48
Low,140.21338506333333,149.6731876535717,151.75982370888877,158.06461428409114,159.12389744560457,160.41863677666666,162.43274495457513,162.1592125755268,163.54095054134203,164.38338109166682,164.79345856538433,166.49518411534353,166.76556646183923,167.0063611051415,167.5527096238856,167.97233535238104,168.4717089854195,168.96460036487207,169.5468930605105,169.9871125051793,170.632682347826,172.233331611702
High,191.22618815333365,186.5727961249997,184.81161629555513,182.79976184393897,182.02082812417538,181.12870018791702,180.02794011111092,178.96919088789514,178.77275318051917,178.04124766992757,177.7471163747697,177.2083575661378,176.83329799873547,176.44030527268106,175.826100969519,175.5183303042062,175.13811194594555,174.79089648660292,174.42319629825812,173.9758380399053,173.26845592391325,172.233331611702
Mean,171.9715889868,171.83545697378574,172.11356588106668,172.32290549418178,172.35924193643953,172.38473394275,172.37118919151632,171.93094015022106,172.11813639137662,172.27273003023188,172.1172932259569,172.29025205724867,172.09464533095633,172.2199059189395,172.20611797354724,172.2634591324635,172.2072929752347,172.2161317352333,172.29232017494078,172.1871145051776,172.21547305358843,172.233331611702
