,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48
Low,364.6350705,455.43908185000004,558.45121705,649.86504365,729.9875533750001,801.669594625,896.675136575,968.16791785,1043.268662525,1108.9857816249998,1182.43287865,1256.8127029,1335.936247725,1415.304257825,1481.1662772,1546.0773251,1613.380596625,1687.456292275,1757.62333395,1830.4176132500002,1908.19844115,2024.481229
High,545.072909,673.47697435,784.3343740749999,882.581324075,978.731502075,1075.238581925,1156.9460683749999,1236.561658325,1305.486039775,1389.6290292,1459.452759025,1529.5973562,1588.71549005,1653.3752373999998,1712.9570866249999,1767.94781645,1823.2536946,1882.109735675,1926.885975125,1968.7787038000001,2005.138325,2024.481229
Mean,463.051603915,574.665960496,676.325702209,775.642854033,865.099854746,951.019113154,1035.69051007,1115.2927131410001,1187.8646527780002,1261.669825433,1332.084544936,1400.9577253310001,1469.31506925,1536.0159304530002,1599.092149762,1662.8184032089998,1724.317710184,1786.771031434,1846.057693286,1907.541031542,1966.5381665759999,2024.4812290000004
