,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26
0.5,77.99507249499999,111.914782062,126.23509561035758,138.3243527513329,143.95148502121208,148.99603005263762,152.34913294391635,155.4321200438564,158.39221042378912,160.59037751623399,164.113248021739,168.533952861538
1,108.928507666667,117.863266772,134.42536961785714,141.47469712088844,147.33416103787857,151.1608238806597,154.331291658167,156.58244789359458,159.09878813821007,161.762828535931,164.149271478261,168.533952861538
1.5,113.271073885,126.497650756667,136.05757304714243,142.81558154488866,148.7107767248482,152.79016117296734,155.175297705083,157.2441561460129,159.46406385452585,161.911307766234,164.212039594203,168.533952861538
2,114.322375666667,128.3871808,139.166046242857,143.85980166044442,149.54362163090937,154.01484552571404,155.907675524333,157.77482980705912,159.8847476465263,162.34889188363658,164.226765942029,168.533952861538
2.5,116.921334633333,130.98598592000033,140.67959983749984,145.2102317166671,152.05935483863615,154.52964722857152,156.461737570833,158.48934878594747,160.3015845905266,162.44424634935115,164.543086884058,168.533952861538
5,127.151121333333,139.391347026667,145.8874401857143,149.94230985111082,154.8849137106057,156.07202853846135,158.79411076416636,159.48393713986886,161.59973960052656,163.417257878788,165.494040405797,168.533952861538
10,138.74173359999972,147.417718,154.0703275642855,155.9521215200003,158.0842103242428,159.008169221978,161.504569661667,161.82429860130762,163.52519185789458,164.7003609549782,165.871715594203,168.533952861538
25,159.79128449999976,159.77413076666676,162.49954782142902,163.73061782222226,164.2142484166665,164.38931301098876,165.35963012083323,165.52010220261423,166.30926727105276,166.58224791341974,167.115007521739,168.533952861538
75,183.109088333333,178.745338666667,176.63420001785698,175.43779471111074,174.21045331818175,173.44949017582425,172.20664525,171.8196307450985,171.30258910263126,170.75025488961052,170.061256304348,168.533952861538
90,191.665829,184.303003333333,180.2529055214287,179.3627643511108,177.3347412393943,176.5681730461538,174.8971852016664,174.35926020915,173.4149332410531,172.2412356259742,171.556007275362,168.533952861538
97.5,196.991089,188.670947866667,184.916973571429,182.8841026633332,180.3278365416664,178.64367199890106,177.628046066667,176.09243353529408,175.28478267447372,173.79678289025964,172.212326528985,168.533952861538
98,196.991089,189.02890716266666,185.112882571429,183.40472415111122,180.9493681975754,179.36551208879072,177.73613521266634,176.19950868392144,175.4144135477896,173.94770014753212,172.258493195652,168.533952861538
98.5,198.789045,191.67071339866698,185.95121309607157,183.942297216667,181.23249723530319,179.54267926791175,178.02317312825002,176.43018685183037,175.58343778857895,174.112734,172.258493195652,168.533952861538
99,198.789045,192.342706266667,186.27970817500028,184.20637582666654,181.54194978363628,179.8303714518678,178.23675003866666,176.93143945817027,175.72846409663185,174.33782747844148,172.315802057971,168.533952861538
99.5,198.789045,192.4959856,186.98300635535688,184.43599578911156,182.08472526363647,180.4662362394502,178.77686020641633,177.5208168545094,176.35064741021014,174.52789755675335,172.315802057971,168.533952861538
Median,173.109088666667,169.484169733333,170.274030857143,169.99586762222248,169.4126988787875,169.3515013076925,169.0519736333335,168.851649418301,169.0483250526315,168.727829030303,168.668201949275,168.533952861538
Mean,169.23500368900002,167.5866685592,168.45758800007144,168.61095355777778,168.44677455733333,168.44863037050547,168.51979567911667,168.3994543293856,168.6690506186316,168.58709762129868,168.56025339973183,168.53395286153798
