,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26
Low,237.63974875,338.152962,429.126658225,530.7430801749999,626.1191318750001,709.491509,801.001555675,887.8669015,976.36340165,1062.91641115,1150.394974,1292.225156
High,390.880531,543.024589,663.146269125,774.0815305,862.7216191749999,953.7791152,1030.739552475,1109.562052325,1175.26175505,1232.24943545,1276.913735,1292.225156
Mean,327.790695004,450.654712357,559.278474346,657.451841623,750.7807470809998,838.9579278690001,924.1415337469999,1003.749411826,1079.80621697,1155.6292275990002,1223.145581793,1292.2251560000002
