,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48
0.5,327.580661955,414.663136445,519.08731693,599.84863252,687.480410465,770.1574329700001,852.0275202849999,936.328225395,1016.579531265,1064.232806355,1153.633044235,1215.619875375,1305.012552015,1378.31119473,1442.21255345,1512.314709445,1575.649658295,1646.56644669,1723.083426525,1804.72844921,1893.62131034,2024.481229
1,338.32950291000003,428.46652027000005,534.1460484700001,619.3816508,699.46188638,780.01835706,865.17683004,944.81367861,1021.6029516,1086.09683116,1162.21919191,1233.1020621399998,1318.26114007,1398.12669653,1458.6949756899999,1524.20391674,1594.2539798799999,1662.1100645200002,1738.7457313,1813.06261077,1896.4329378099999,2024.481229
1.5,347.48035473,440.52659117,543.205263545,638.400847825,710.73459973,788.55914762,875.31706451,955.548765905,1029.27291298,1090.565490425,1168.911162575,1249.13093101,1325.4538273150001,1402.029689185,1465.476341865,1537.961937825,1600.07686669,1674.355354125,1744.6917325,1819.9926360900001,1901.110708,2024.481229
2,357.50326210000003,450.34581074,551.9249566000001,642.44829024,726.7262078,798.1834760200001,886.55502834,964.6072191,1034.3806106,1100.65761558,1175.07071848,1254.45548534,1332.13611278,1411.1804108,1471.6539228200002,1541.1414507,1610.58845232,1684.36962848,1749.19918362,1823.64610912,1903.20861572,2024.481229
2.5,364.6350705,455.43908185000004,558.45121705,649.86504365,729.9875533750001,801.669594625,896.675136575,968.16791785,1043.268662525,1108.9857816249998,1182.43287865,1256.8127029,1335.936247725,1415.304257825,1481.1662772,1546.0773251,1613.380596625,1687.456292275,1757.62333395,1830.4176132500002,1908.19844115,2024.481229
5,377.44912245,475.89653575,575.11825885,665.6330953,757.5271013,827.6142632499999,921.59705305,990.1343178000001,1069.2927611,1138.86202715,1207.2470174,1285.9236964,1358.1200632999999,1432.2752432500001,1497.5893033,1565.3019240499998,1627.3845609000002,1701.9805403500002,1770.7402120000002,1841.1807783000002,1917.982434,2024.481229
10,400.3328151,496.909457,596.9113204,692.9938478,783.699287,857.988754,945.5529616,1020.5365751,1097.2784336,1171.9415431,1234.2141631,1312.7141376,1384.0356682000001,1453.6348783,1522.9200931,1586.6783453,1649.349195,1723.0270907000001,1791.1099276,1857.1351133,1931.2990619,2024.481229
25,431.55484,537.21667725,636.0481482499999,732.08940825,823.523367,904.2318740000001,992.4580705,1069.4180592500002,1143.65361175,1216.16754975,1286.05488075,1358.41254725,1429.79449075,1492.81440825,1556.1682085,1624.8944875,1687.353047,1755.6207024999999,1816.5164735,1881.750959,1950.6958382500002,2024.481229
75,497.051584,617.709843,718.5516005,821.23656125,911.54991875,1001.53517725,1085.2051195,1165.75861025,1236.3843204999998,1311.809653,1382.45289675,1446.397474,1511.845714,1580.28619925,1641.32838275,1702.1980735,1763.68068975,1820.02843075,1877.51896625,1936.09791225,1987.696498,2024.481229
90,522.6612491,647.5098546,749.7447114,853.8106807,944.0607628,1037.9913797,1117.1611963,1202.0345908000002,1274.510555,1346.6493017999999,1420.7261396000001,1483.0252475,1546.2897527999999,1615.1905923,1674.9711669,1737.1921597,1793.9586622000002,1848.4008206,1902.3738208,1952.3192603,1997.9433986000001,2024.481229
97.5,545.072909,673.47697435,784.3343740749999,882.581324075,978.731502075,1075.238581925,1156.9460683749999,1236.561658325,1305.486039775,1389.6290292,1459.452759025,1529.5973562,1588.71549005,1653.3752373999998,1712.9570866249999,1767.94781645,1823.2536946,1882.109735675,1926.885975125,1968.7787038000001,2005.138325,2024.481229
98,549.556889,677.76880164,788.306494,893.06970732,981.7885814399999,1078.5170471200001,1161.11441592,1242.26609572,1310.50456006,1397.83436482,1462.58457794,1534.1509061,1593.9777075,1655.1930059400001,1717.04074886,1774.00819516,1827.94622192,1885.62248928,1930.54316458,1971.292231,2005.233385,2024.481229
98.5,551.256889,683.4737304549999,791.030930745,900.885286235,989.6253438450001,1082.8297204799999,1165.6437471699999,1246.35077738,1318.8542799000002,1398.8564815099999,1470.0382740100001,1542.19271689,1600.55464299,1659.72259344,1725.3750268,1779.433502105,1832.322484075,1889.87683984,1933.30906477,1972.667155245,2006.53142538,2024.481229
99,560.156889,685.187913,796.2974136400001,907.68039199,997.42969377,1095.01031443,1180.98751612,1250.56905765,1324.45470207,1414.27341838,1477.88906929,1552.3139950900002,1609.52948188,1666.90883614,1729.51165862,1784.7808992,1840.05031089,1892.7036030000002,1934.68503802,1975.29425983,2006.71540407,2024.481229
99.5,563.356889,689.8668613699999,803.117900705,914.51766416,1021.34026975,1117.2662994,1191.801664855,1265.2764091699999,1333.479581005,1437.56226698,1492.90924155,1564.3977459550001,1623.7736241050002,1673.2340162849998,1738.7979648350001,1802.4286590049999,1854.49573205,1894.409194505,1939.0095388949999,1979.001939045,2010.76062,2024.481229
Median,467.220009,578.2850920000001,680.697384,779.005692,866.5233860000001,955.11409,1036.5533205000002,1120.832661,1192.7375275,1265.2115175,1336.3552955,1404.5617145,1472.4736050000001,1536.271281,1601.207068,1663.28942,1726.55897,1788.950147,1847.634113,1910.8436299999998,1968.800023,2024.481229
Mean,463.051603915,574.665960496,676.325702209,775.642854033,865.099854746,951.019113154,1035.69051007,1115.2927131410001,1187.8646527780002,1261.669825433,1332.084544936,1400.9577253310001,1469.31506925,1536.0159304530002,1599.092149762,1662.8184032089998,1724.317710184,1786.771031434,1846.057693286,1907.541031542,1966.5381665759999,2024.4812290000004
