,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46
Low,26.0316332166,36.83414231271125,59.680333454675385,50.87098312698031,51.112695680706004,55.42811671395771,54.2350576295664,55.06695923205281,53.844810024583694,53.16409518178412,52.76118942992768,49.86566973003469,48.2827078331355,47.83299962796483,46.97644778307172,45.48340587739938,44.269685856308975,44.313508804847125,41.949433476094306,40.20516183600644,39.5155412578662,38.384909024917604,38.35375392774487
High,426.38419982,388.8164998924525,295.00637495164784,242.96088122657562,210.81544197026273,186.21921554896343,172.47836874079294,152.7743545582263,147.62899640773387,137.082506750868,130.6425727386626,117.97561082425055,113.96996723996212,107.77424029350732,103.4871586818575,95.82325323917904,93.28910681942097,85.54298529720903,81.80601087939354,78.69832215738174,75.71789579312937,72.66955157539563,69.47580528475292
Mean,286.2140620190111,203.22068669363804,164.13635261824078,144.7970115840555,127.56080563595873,119.07539518224905,112.60883468950736,105.98372446011987,99.16117564074716,93.98440860030009,89.48230155931223,84.83328130371153,80.67425668474807,77.84503025690195,74.69509220587939,70.64930756494323,68.7628286102949,65.18444708571226,63.489367435527555,59.91727046765665,58.28789410678604,56.32898191482885,54.01822375810759
