,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46
0.5,216.912839662,271.741874342814,399.371866935239,555.19341479334,599.239560163841,666.9393161777645,788.433365467462,876.510089093409,965.201014388954,1042.52386075183,1109.372292037427,1260.8685096479128,1269.358540011935,1413.455874340371,1520.098054635285,1567.339185869623,1566.549070290788,1690.259252753075,1797.761417624003,1871.580456403319,1915.42430647245,2017.287494658115,2072.105846003385
1,220.830990647753,286.454579558497,455.024962437759,575.345458009776,662.0785641617999,743.224154104778,818.855878116306,909.861958932066,1003.083293944478,1118.058935403728,1150.9223739363179,1303.857319819052,1328.4368260863441,1475.41706284688,1563.5277084319262,1598.016496151012,1654.189485503816,1743.2748517763498,1826.98717586931,1919.57206091574,1960.56055476897,2047.930603351238,2125.2156603389103
1.5,220.891850425385,295.86256329967796,463.57909521678,580.8927232553369,668.612556885986,754.3567217500265,853.465210490809,940.002250158818,1015.915227413082,1132.992109453455,1196.120709186272,1341.95861492764,1385.00052868514,1486.21971930561,1579.077309124385,1623.84383721931,1711.7436725725502,1782.0218796771198,1853.2825666052,1954.3293783551642,1974.28852508056,2061.4083450665553,2163.56083420327
2,221.54356825818,317.84614941049,473.69888596392605,589.456912597052,693.2797270092041,777.51567020044,865.232983225476,958.360091754564,1033.843640649432,1160.663786075156,1236.6664559921219,1351.511029185432,1409.10325745316,1501.771250222752,1596.84777936688,1647.339703389848,1733.25955157564,1794.6472130956722,1876.422550114308,1976.123009507168,1999.60195300924,2084.56028074262,2189.91546914232
2.5,225.3733431457575,351.533366602225,484.35627599168504,598.05489678627,701.1127660113275,791.3540724978325,881.0609277172249,970.84905256336,1053.13246350225,1168.498213881325,1261.23604382091,1367.93263015398,1428.19111404307,1537.2211443160052,1604.263349972315,1652.64671167889,1751.0158721535201,1812.635754813095,1881.612480296235,1979.424716273895,2022.6822100398,2093.536807086625,2195.752331812375
5,229.57509756989,425.64089376012,513.35193625896,632.32128715768,745.7625654047099,840.79869499021,948.02342062664,1043.79873133353,1129.43870575672,1239.75332550388,1322.17366771037,1427.95690068967,1500.84605940248,1599.8851347700902,1663.96912843571,1734.99934990837,1800.7376290496,1885.2460907061,1933.91233788672,2029.50439167283,2101.5162150144,2166.6043290194,2236.98923461185
10,242.3471998299,444.11329036434,556.9862877637701,693.79111351458,806.16938785172,910.23119558964,1017.38728190786,1126.36067900438,1205.0591125913,1308.2772969438001,1405.32872722152,1496.35639542288,1573.39612791416,1680.77507884672,1726.3143135349799,1811.8052996986,1891.38329759256,1965.7025852089,2013.3176102087,2095.6907571238003,2165.3343252765003,2217.7994023372,2302.56473917948
25,297.61776251995,497.65889958705003,660.9419834251751,783.81101154,911.2778494857,1023.3599549438,1140.8451636893,1258.0871584747,1333.2721000571,1436.5032372386,1529.61636220845,1618.87226099085,1688.9970628149,1792.56259652465,1855.301079914,1940.0322753237501,2009.2692882423,2078.9258584708,2142.2872203962997,2218.98074298405,2278.0113532905502,2332.4075625954,2395.0066820708
75,416.911799727,668.34009969895,844.0439948417,1013.1503802927,1159.864000716475,1285.5437302189,1402.987450935125,1521.9344120527248,1615.210171762575,1711.3215208146498,1793.3421417852999,1888.98267498075,1969.73659260215,2044.65872028055,2114.60286464415,2184.3580066615496,2254.16559037175,2305.2199914860503,2367.8748489427,2430.51286955755,2488.0650270178003,2541.73792035755,2578.2099800213
90,426.384199747,761.7989997195799,936.3303830160199,1105.0859749021101,1268.4081658826701,1403.41558459417,1515.8040576421,1638.4678534587001,1726.86521675638,1809.6927889873202,1914.544471163,2003.51899702694,2076.76238173852,2158.09594859282,2212.24265580768,2298.44626764634,2357.49480675626,2410.12005009894,2459.35353465946,2511.0343941769997,2565.923491038,2626.4988216698403,2651.5336587968
97.5,426.384199820025,810.4644996382425,1028.9226707432774,1211.3685897381752,1382.8055406201,1535.8896751547175,1634.9853856906425,1743.98869252365,1865.891651704865,1928.078958932165,2034.2217728041649,2116.61659093749,2195.0040890770547,2250.68047064606,2341.44444162089,2383.169232970055,2447.95139285206,2495.212084426265,2535.3904598239897,2616.888168684125,2640.98023158972,2688.83376916335,2716.0712757760753
98,426.384199823,810.46449971941,1034.134281740088,1225.651804952858,1388.351674739352,1547.859890604878,1651.649560035416,1762.088983103484,1878.130116286524,1947.056400821218,2048.49833999766,2127.783579930956,2216.220991426624,2257.269408282796,2360.573065102396,2399.148184845364,2457.72915863424,2504.502461657932,2547.24277900546,2624.3522119991203,2649.141283403088,2698.639268565936,2725.330681047992
98.5,426.38419982344203,810.464499727675,1073.614151500722,1234.5978532765835,1413.977517413252,1564.9882050585713,1662.6135169553609,1781.5678051988764,1893.887409742804,1958.9941706860927,2059.659646443568,2136.497110480214,2234.962251420917,2266.7542508297106,2376.1713883650423,2412.816635500915,2469.972272593633,2513.830117277282,2560.940698122343,2635.6750905358044,2655.933202225715,2703.3027450453437,2735.65032872306
99,426.3841998312,810.464499758354,1083.5487756252337,1243.363493193963,1442.0417554247388,1605.683425432245,1688.880033214572,1801.334529199412,1902.061054558008,2001.272549827939,2073.088129057966,2146.278687166654,2250.836922087236,2290.7807809081596,2397.751483209596,2443.69523866265,2493.3018606629557,2531.6533303251117,2581.900565775773,2641.356536075788,2677.524060193332,2717.457083196156,2745.25175994721
