,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46
0.5,11.553150703850001,24.0736502889525,36.71731715645787,38.451023707580184,33.08468641916145,42.71976805909005,43.378415365866715,37.280509237686196,45.13722669830924,39.41579093940798,41.03964584806402,36.600022708217736,39.91500864370004,39.97367257969199,39.42039453250178,39.75438213589368,35.15124012342655,39.99391524259157,36.66094698574075,35.248057309262265,36.188612335219005,32.08711801407584,34.70854217431007
1,15.382934530205999,28.5600027000585,43.64607614477146,41.38624401489363,35.6518046889467,45.754589892287505,49.788566376475515,40.838072160115125,47.5618868894724,44.5723101133832,46.679365806636085,44.5583575569685,43.77472029154445,43.045601336813526,41.102497978250234,41.018719478984494,39.25240845844022,40.85579387239592,39.37606292920314,37.011288339456,37.296976121387516,33.300657436716676,36.13122497629983
1.5,18.396080494000003,33.01296756227275,50.71725066828,45.263828935250565,40.62444632116375,51.5226173996979,51.791319588675286,46.12598331526072,48.6414228378267,45.57993164253445,48.83058826665596,46.353071987188386,44.71735429353954,44.67245587730531,43.88329506062185,42.71464874976714,40.66680548774962,42.476383237750575,40.14957674463778,38.38770025596357,38.022977168839006,35.821466492318656,36.92978260409803
2,24.684005417604002,34.675635336548,55.97710503956,47.01186067384775,46.953059274184604,52.6068688961347,52.70119854123331,50.63748714975062,50.44463409131828,49.804282952628,52.05557608486238,49.555600712147665,46.98147081667374,46.471883330948515,45.398193581633464,44.39515567354406,43.04966308962153,43.23066015641081,41.3000651262778,38.9756613784821,38.7502210686784,37.42895255140296,37.712776701371624
2.5,26.0316332166,36.83414231271125,59.680333454675385,50.87098312698031,51.112695680706004,55.42811671395771,54.2350576295664,55.06695923205281,53.844810024583694,53.16409518178412,52.76118942992768,49.86566973003469,48.2827078331355,47.83299962796483,46.97644778307172,45.48340587739938,44.269685856308975,44.313508804847125,41.949433476094306,40.20516183600644,39.5155412578662,38.384909024917604,38.35375392774487
5,32.76599532909,67.53488620248001,75.04662501633086,67.994854667715,64.000374475258,66.64484937959753,62.649766672649626,63.16988637773188,59.91966254737391,58.626311079503004,56.82836854547455,54.95149429814602,53.01146345143675,52.14986797182427,50.75655096829047,48.934303549531045,48.104204590783226,47.14868402610081,45.56691615654339,42.8585324727315,42.98872841172333,41.64440935306881,40.776813908330595
10,55.273799488,110.61513341229751,87.62607062534664,85.101752285895,77.017206616167,77.05368089919664,73.07582676296428,72.42396763578996,67.87026544567168,66.5812167621735,64.04363844475048,60.86823355110497,58.34948191983117,58.24200639920785,56.37194237880603,54.24388965158248,52.082495015889975,51.26963616511444,49.494317254451616,46.953718336872505,46.60895543268141,44.9691114093443,44.12603421784023
25,168.851325212,133.85401439801248,116.02832780549976,111.51095567576874,100.090941857065,94.51765785419167,91.39070799325357,88.21760419843125,82.10160347353333,79.54058707303125,75.49139478685565,70.99593967661565,69.09251256799618,67.57672477528928,64.32953525431503,61.6684233806383,60.57987393852205,57.706333520913226,56.713134918715795,52.98940871371125,52.37271586673035,50.51029340459035,48.63850605246412
75,376.67379981325,245.8185364941125,209.53322282252498,176.9533228177375,155.51123166548248,142.5155816612565,133.15328249518774,125.141044024777,116.1904017232,108.15500094861875,102.3358558047945,98.61036687298335,92.27973720314422,88.45933969012052,84.5046764804317,80.0180099409797,77.42972016730437,72.49747137403888,71.33958047280393,66.8143275791025,64.13684190576848,62.52370650544432,59.59339900456905
90,426.384199747,318.95279986979,246.278863206187,208.42311056719,178.912892127216,161.22044377389642,151.97441246801333,139.15109087767541,130.5520490931597,121.940281082049,115.0605505410043,108.2602546736322,103.11960258242169,97.9198541174575,93.13455126457897,87.19764029570659,84.88016706813652,79.60646170035031,76.65844129516687,72.7456416235385,69.67758925765978,67.73827057622476,64.38126895435113
