,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580
0.5,201.14135431700043,218.39421192533388,224.92805974371046,229.25914268186702,244.41031037034443,242.4266073668067,244.78980783920503,258.336110290162,260.78400427478743,255.67109248647776,258.3237099452686,265.2061726046633,268.3901642954677,269.82333060852943,270.11320719260584,266.8716113967764,271.07394096242245,272.112656373973,273.0381857253035,272.8422108733283,278.21706204000367,278.13330123583944,279.94192079279674,286.8252577138875,278.8377508748288,277.92799996321617,283.7809319255893,286.3338069744165,286.77451600464246,278.26086972575496,285.478507149529,286.94743143558003,287.0351540186281,290.0566595955412,289.2356221099325,290.89472319931167,289.71967895438667,290.4062608941287,290.4414250544578,292.20250150373045,292.4649094075224,294.2009668609176,296.80361065988086,294.97075904988253,293.56871683725177,296.7698109931959,297.47231234798744,296.95034588124065,297.7882840169439,299.1579799937067,296.5237776330442,299.08110922497065,298.77432671044966,297.21862062176046,300.6703165977344,299.37477076754163,301.95892922666013,301.1760242724737,300.7346405770398,302.87324466450127,302.31109040898065,302.6051743904846,302.9421595924215,305.3738062356173,304.83009800505386,305.7556582643962,304.10409136469303,305.7533771849887,305.36097304238865,304.74864590244295,306.052460528259,305.3975407421543,306.30974843904113,304.36887663847637,307.212908434574,307.6337580959912,309.2868103082632,309.4936030161821,305.04209167717545,305.9462560033033,308.20789718650485,312.1164074012275,310.0466202083158,307.7624230891826,309.5135356059799,310.15290218639234,311.7948605714287,311.37999226445055,311.5083769989751,310.6917122582361,312.3461301226016,312.40940967844375,312.30233434957506,312.6406615913114,312.36591989395663,312.8524440262706,314.09965740480317,314.2900385009536,315.7728427002128,315.6536044322208,315.7318847132482,315.7267202933593,315.68694195187567,316.1723311149774,317.74773198349067,317.44076748015465,317.37729104526085,318.03052225792146,318.4275637242012,319.18080672262994,320.11089500526424,320.1561591276252,320.88128940965606,322.40028625875533,325.412510450593
1,216.54348272688867,224.1449544264763,229.547141475316,234.488703092267,248.88995195004594,248.33332890981484,251.0711893229227,259.81582110777777,264.7602962809305,259.4371312799866,262.79439125326553,266.3592246289234,273.6361454440001,270.9039472895424,273.7876937500314,275.7464000304598,274.12325858037434,276.8302748509698,277.3655711027701,277.5616119992706,281.11509105307584,283.4748848510238,283.2549524505127,288.8509048469234,281.20764736889066,280.02362811775146,288.18961147886824,289.72682917552305,289.622549793574,287.60482392592866,289.19628962571363,291.1710346899346,291.63214912308143,294.78916655550637,292.33663375469496,293.7603916152954,294.71856954072274,292.5582104830992,293.6036314215303,295.36627941048937,295.3876340829993,297.68946393160076,298.4550623049567,297.86889705408333,298.3427888653182,299.6688690602078,299.4078103909493,299.3913659983547,300.9665844289295,300.79446184096093,300.06634941937887,301.33505482536697,301.0658591792591,300.10315507772805,302.6938143559876,302.0601509957317,303.7469773770766,302.84586510137905,303.3157566311626,305.0797759570735,304.57870709149006,304.08780146825455,305.26164327100486,306.6139523137622,306.0667564823971,306.86644950302104,306.2820679147516,306.90722359222406,307.8700299562925,306.558236897847,306.6713283393281,308.3890096926502,308.0794533535887,306.5542340579581,307.94314506106247,309.28928904277893,309.9642643725465,310.7448407787375,308.3724385990617,307.7642342886813,309.0926238202823,312.89434239912464,311.25619841327466,310.48456881611116,310.6869048091393,311.61272868368576,312.3886025449613,312.5171319640345,313.4922793321732,311.8184897882289,313.4366531972842,313.63089237162734,313.5384686133364,313.95431253536043,313.8785233616252,314.96447359108925,315.2793872271638,315.03433271696133,316.8341141138386,316.0457999076412,316.6766720649043,316.5338176450814,316.957482168243,316.99729144460025,318.0431342653414,318.231314158997,318.1164631766887,319.0949795268882,319.41438661373246,319.5593565135144,320.61791052077945,320.5631916214584,321.5025132520712,322.7294065031159,325.412510450593
1.5,218.87030950655566,226.69216400628542,233.09970528505252,239.455289456867,251.8594179262756,251.15124187907568,257.482004175468,262.0791813573236,267.61122206835887,265.78960422104416,268.66094679658215,269.95701892278373,276.24453480895403,276.01340569741956,275.99486088620444,279.4086169768407,278.93034782342244,279.58470415948455,281.8127553763228,280.40112530048515,283.1249091867122,285.9005207206929,285.33033900706187,290.2156668927275,284.9251699070393,282.1064151678829,290.81323203927934,291.82536250875245,292.44085742154056,289.89195035773724,292.1641459845876,294.35187410182795,294.3363536560144,296.7684837037377,295.71475210484937,295.0085244081103,296.9759973952136,294.8866082552766,296.35428162788054,296.03534107822856,297.91353903405076,298.30699031718245,299.56899226092355,298.93409350509904,300.0913940025897,300.94014463740365,300.5608839457791,301.0642641418673,302.3121267143289,302.2224831425418,300.377816727018,303.02303710355955,303.86241304903035,301.72356071869643,304.1990167099882,303.1484653414257,305.503551253891,303.93401816953366,305.1884696319747,306.7109337607263,305.99831327862324,305.25433122160103,306.5462576623952,307.58516883199036,307.12293958699826,308.0307624208643,307.50831376546824,307.2947048350906,308.87635554878636,308.128155713064,308.45224109313534,309.22658188771123,308.713109266214,307.0490508454389,309.006541310278,309.5602781811342,310.4447445781293,311.63614400100863,309.54087902857657,310.5898428394944,309.8871304805618,313.9766547711797,312.0062653873786,311.23661802981127,311.95404289509275,312.32580050457267,312.8075322189479,313.35579429437286,314.11875856710446,313.9007303336619,314.759500374262,314.3825614889905,314.12927131838,314.5824879896676,314.7764793400868,315.75105516396764,315.8302049543159,315.90287783939743,317.6210981622083,316.55309600387767,317.2843654328401,317.092758158468,317.7941540491944,317.46503926396133,318.68013477465536,318.79011915161664,318.3744614671717,319.56116059237723,319.7034224756388,320.0866452808737,321.1116821744833,320.9442700124897,321.90852433269697,322.902639570324,325.412510450593
2,221.29996074177788,228.05017105561913,235.53042581705287,246.23214586453335,255.0298231284138,254.04524517942838,259.86468744979487,265.94003579337357,269.7778419133057,269.15463723625635,271.8179060357403,272.35832051640426,277.19542626371,277.30409355835724,278.36087330908873,281.27246914191585,281.5981771426765,281.7149455396189,284.7227386617338,285.21904691366314,286.02742430893744,287.03010214514734,286.89505596614583,291.78047639095735,287.59950047740966,287.0661788895568,292.48009406583805,292.9306394020195,293.40100703841443,290.9352965728463,294.74897015644837,296.68500182773374,295.1921185310147,297.8034787730104,296.6820033868354,296.6614690273369,298.1175255413509,295.77666459973824,299.424070968143,297.5591248726197,299.37137429355676,300.46398003290636,301.6501678015659,300.4993796837481,301.7541615634711,302.10791719055067,303.05803969684536,302.92760522718936,303.6234912484351,303.02110083282423,302.1955051649092,303.83013494421886,305.75602636600945,302.75088282310935,304.60722311356847,304.40944173615816,306.30058446017307,305.1138241957871,306.23093192528796,307.743001172531,307.485310872222,306.037299636841,306.81172487379894,308.010486358304,307.88776042324895,309.2218872908826,308.07426536195294,308.10073656961663,309.5779447061912,310.05513062771195,310.298722810798,309.5940712245254,309.88813528669885,307.7370558951636,309.8958884795104,310.076544731625,310.7460886044335,312.31005094858665,310.1892054610019,311.6211376430151,310.65202729095057,314.22752434027586,312.7617430337012,312.8273909762019,312.3993516389132,312.75307059164237,313.9128216426096,314.38028114361566,314.6508408374683,314.5903112187213,315.00284292100247,314.9658522744428,314.7357551009615,315.28320301509706,315.31201555941476,316.1792178609359,316.3942169585023,316.54734722507317,317.88179308598427,317.05818835360225,317.56559752125474,317.4361464646415,318.277255601673,317.9719875601126,319.0218537493546,318.9172784769213,318.5913924688361,320.04348477042697,320.2153349887464,320.58159769705054,321.41475106270866,321.0940815086744,322.16537589027735,323.1339217649112,325.412510450593
2.5,222.49058874833293,229.60413546380968,237.78050641131537,248.40411727049968,257.1908931239085,255.9099213552946,261.7326093914424,268.74025922777764,270.75232706610257,270.8994521416161,273.9197269139404,274.23296723266805,278.8358347049379,278.8774533391892,280.8100645814798,282.87046889103675,282.76394370810834,283.0521299448603,286.154774765505,288.14358834957903,287.41929293937835,287.91519186551466,289.385212769555,293.5963430119999,289.42327748494887,289.09749976522994,294.0913828257789,294.6214029121554,294.6777817543537,293.8224044018221,295.9406199706268,297.48445070323396,296.31409260626145,299.09457029702793,297.73963510587413,297.8153260047004,299.0036439111959,297.1119072668594,300.89991869217204,299.0577011097703,300.2948786113149,301.3488252618455,302.78330811910797,302.12921317081555,303.01353445074636,303.18951172732676,303.25984546474393,303.46592157964847,304.59747490798367,303.78015360884496,303.3850539620161,305.1547608411392,306.1642853448429,303.4221766708296,305.7559654762709,304.97467508283785,307.03035550771364,306.4109220530232,306.5735393460439,308.2090938729461,307.93405590468245,307.0849542373869,307.26283074841416,309.06214902309966,308.55636897544423,309.7200415407646,308.99630799405656,308.86484319083814,310.1548090235957,311.0457463826791,310.76938714011317,310.9500251209454,310.5957860923503,308.8755385627782,310.3101995126762,311.29040400826074,311.23872574233536,313.1748366299434,311.5578922624315,312.5421902748427,311.99657852676023,314.6998038267615,313.2401118427067,313.6831969970096,312.92562836352704,313.82672064565446,314.3311729320265,314.9362244107392,314.8519775604369,315.0358009769892,315.24427116055347,315.3321840344987,315.4852525913101,315.7355924048018,315.9525758055095,316.6508764405759,316.6712320262432,316.67504204251554,318.03920210881813,317.3554475694091,317.8695742499117,317.9337349633179,318.74055617669785,318.6494928626081,319.6142030858236,318.99604703615483,318.9970164849516,320.2083504646714,320.64916917241123,320.7375743551293,321.5537579768329,321.21352195814615,322.4170985581495,323.3115365478107,325.412510450593
5,228.7568254666671,234.4992288695241,254.6885237857896,256.70467834166703,265.25163465977,265.7481209257147,271.90957680987174,277.2615148715156,276.76316665726574,277.93684880107776,279.37077765830514,280.6493274761059,284.196299901594,285.13369207754914,288.1920335910123,289.0386090130252,288.60388883082356,288.60889395361676,291.1864888817271,292.45980309981707,293.66961131190135,292.51491615736046,294.73401994077693,298.19189981560027,297.02974146723307,294.16373912208957,298.0395661366752,299.689805394502,299.16148553421885,298.3167761211061,301.0967046984907,301.3548101256689,300.42122165440287,302.6776127260821,301.50036060472365,301.93183512313175,302.8351320741906,304.05980428819447,303.8868467941461,302.9189660990436,305.388746933557,304.33873247692685,305.9564094124389,306.15325909414315,306.58489734882096,306.21646520406216,307.3760860534154,307.1088031284676,308.7076311249577,307.91805978961287,308.3376132444986,308.5647392636162,308.3201580826831,308.5231384297385,310.13569521030496,307.8851487675806,309.7870561084144,309.7314344324759,309.8864055453527,310.82523044401245,310.13752149439784,310.0089468585276,311.0948278052727,311.0444434529364,311.7818867998343,312.7775409455879,311.24386783043764,311.83703832183886,312.31304424851265,312.48512055725456,312.3611291611796,313.6145343740089,312.4304588947178,312.236245228629,313.2437804294603,313.4857157274187,313.6876343519953,314.94338568088517,314.0493105671937,314.5965522216784,314.3898065581162,316.66854983826636,315.12657021174374,316.0596209306328,315.19754667084646,315.8266037535491,316.28823900833913,316.579756119016,316.4998064274134,316.83519675532165,316.9626813935223,317.37412500594667,316.91620515312474,316.98122121097543,317.8168566812242,318.14172881319996,317.9832735109343,318.3841743662618,319.2375733780327,318.63427272060994,319.4457106779233,319.5644604675589,319.4920741353385,319.9445970457102,320.5547799412804,320.12243650192937,320.1851189191525,321.20580632660983,321.5637727220401,321.6667475468101,321.9747144968069,322.40156886755057,322.99402161478423,323.5783915857703,325.412510450593
10,234.20785342666701,249.9970325276191,263.2527789163156,268.3257501393333,277.05772968482785,278.7691710480676,282.508911171282,284.05780084767713,285.6642482134693,286.1984870045794,288.2382206900562,290.579581650577,290.6583326419464,293.6351590105228,294.9901597320252,296.5625573605602,295.2814417623467,297.5007130472566,298.7085996995756,299.7028326675088,300.6815734878069,299.3888262787793,301.8597409477596,302.3208364125424,303.00300778099034,300.14131693074654,304.6811618112129,305.5939058250578,303.5831773808321,303.9557273857061,305.8409403044342,306.6331941235772,305.4725400568114,307.2811080373994,307.40802826980723,307.254808387979,307.6419708245392,308.2019946181022,308.8072760024425,307.8129295317837,310.2884618257965,308.58750471059335,309.5890774063555,310.18298881092113,311.0897120458443,309.7911645639648,311.74395009414275,310.3218344804684,312.1953642127613,311.98504658357894,312.1688830911437,312.3115727618871,312.7628593888452,312.5863378415821,313.4508254005864,312.1335391036226,312.969640530836,312.7919258002118,313.19013410108397,314.2860187810955,313.77106041113274,313.9265938406346,313.84605610351343,314.0807234130449,314.9552110249777,315.5924338964166,314.1602483748479,314.5475033934684,315.3304925721111,314.9484453444798,315.48319916735534,316.3333024288392,315.5598812773864,315.4763491540224,315.9148551621454,316.5106228501757,316.41078792597966,317.4710530508047,316.96113547627687,316.8924947469383,316.6627746707322,318.32779540277943,317.3792445088813,318.0550961454761,317.36445599016406,318.0001408678957,318.56599903275213,318.3586192335321,318.61447566257436,319.111171908329,318.9804041719972,319.2328613248349,319.41383338605476,318.9031419379617,319.72096085223774,319.5705312461293,319.8087351418668,319.9493257098206,320.5616053341178,320.2221493543623,320.45984187850553,320.8613964251585,320.8423023182234,321.37900291974006,321.9677977968002,321.7706013648574,321.7145928467873,322.19503825036065,322.3026377485054,322.8192795791901,322.8816896189657,323.18913286322237,323.67193050533,324.22267758725275,325.412510450593
25,273.93721351111077,277.8176295190477,286.2899820460527,294.943042668333,298.1273826281607,300.5291513184875,301.10964682051275,303.3073272070708,304.3136221991835,304.41976862861975,304.6520862268365,306.9053209254805,306.095845138406,306.7773881819818,308.03643506795925,309.78167308781525,309.5626023965665,310.1789741512875,309.9668076366668,311.1762703371795,312.55894123186,310.75841891769653,312.7049533565825,313.62475967271,314.18307652093,312.5057903198455,313.79799698275974,313.5917069105845,314.34544796407124,312.905531396607,314.149659638561,315.29423090698475,315.7375655956665,315.7154904900817,316.43077109211674,314.770724071475,316.2654299837653,316.45449785720325,316.616604734171,314.8314257717125,317.50142161499195,316.41403581975624,316.6570422556455,316.99920412097225,317.41026476610045,317.02692510270924,318.00317947589775,317.7804426764305,318.908901957092,318.3931518550875,318.03738853849126,318.8891574409805,319.38887013793175,318.79887096359624,319.37458582397625,318.744451117383,318.96517357154846,318.64930554676624,318.92700419631024,319.4574640778362,319.02288636010525,319.4260757826917,319.27870199703625,319.0503054112058,319.5333713118682,320.6047951823935,320.32872068861275,320.149704309151,320.3034424845972,319.4784317618842,320.7923679374885,320.2304073585577,320.32286770394046,320.506993729683,320.796991768567,320.2760165949135,320.9350533800045,321.23023582824,321.337603162409,321.337853293784,320.779350500951,321.4292238407952,321.0958618511768,322.21245768181996,321.4929913760533,321.98001425693076,321.85260146754223,322.25402915342124,321.939723510542,322.16689815693024,322.31634697514727,322.32075746594825,322.38856992393727,322.1101623155363,322.64560971092976,322.568743711268,322.62182668688104,322.6414539216903,323.0193403916393,322.929354679644,323.088777255669,323.29117855856225,323.1878819613325,323.578765045892,323.567216928803,323.6078659145615,323.3930212227757,323.76158324167204,323.8292998644973,324.230223985433,324.26255908998525,324.459102789591,324.7224372563255,325.099797354301,325.412510450593
75,364.4476968055557,361.5915332333335,359.1604781289478,356.7730609883335,352.86075169827626,351.6414644689075,345.53416127275653,346.4386984500003,346.197935559592,346.73379293872074,344.3320312163842,344.0150869800485,340.94852895631504,340.67381297927926,341.0762573716775,340.4984375956585,342.01838270892625,340.33433639440074,339.4919943285862,338.831054723535,339.296940593828,337.89705771693355,339.8443812323878,339.559124292839,337.0397733694097,336.50210181299025,336.3947318420868,335.56576575225125,336.2554229248995,336.4885004698365,335.019704767335,336.450004547746,336.51729930175776,334.7115246305748,336.08694715260697,334.6939840045833,334.6681643736145,334.18844838937326,335.37290881131923,332.7987366839315,334.0512861393822,333.724751622408,333.7483238863115,333.71207138656723,334.26309225816374,333.994546378578,333.6049137930785,333.227317177601,334.2150888663615,332.70522636134,332.08918042438376,332.5896762516297,332.87491494186276,332.82705232875924,332.17100751842673,331.9957525977022,331.87473533498974,331.65494688096373,331.37497942702925,331.6169971158215,331.59449175774074,332.09204548444023,331.010960983645,331.0824608869043,331.28536895357826,331.26119872565,331.24991151759474,331.008312167206,330.7256449357878,330.17523371351126,331.0286268881853,330.7709274481638,330.536526188336,330.30752505917326,330.03527436878926,329.43521218070873,330.66039793489875,329.9607433594292,330.00980247541077,329.89667275408874,329.33748321493226,329.7009103689368,329.255965612521,330.12386783824047,329.13967575135524,329.48759351615047,328.84390107886696,329.07437935209,328.7780160129345,328.9776141966747,328.84487041700277,328.58206646790376,328.48500535401473,328.39872744692474,328.502726175544,328.113277502151,328.0402876594365,328.1966723367892,328.1780207205613,328.0262888032887,328.1361793590197,327.945109188149,327.53068857170024,327.83503095564527,327.67117793592604,327.465252240908,327.11426744329697,327.19791449116326,327.1495999865675,326.907465903233,326.709217207528,326.6919313547637,326.3258637935455,326.1526055533917,325.412510450593
90,411.823986015556,406.91754931619056,397.3986550747371,388.7060368299997,382.6167313119542,378.5989524443696,371.2122890138464,369.766032599798,365.3432106306123,365.32858648336753,364.69459636282477,363.3688504735579,359.9748151455072,357.6109102948467,356.91132232642445,355.7402971884036,356.6273891908611,354.50782490598004,352.8703455292727,352.0937233988276,351.462181966756,350.9985054540355,352.5139257939361,349.54540605899365,349.429697328503,347.8431152826756,345.9735822184485,346.8701977692339,346.08296160272033,346.46684266429804,345.249353146557,345.6527559386251,346.61143092444104,344.337490291376,344.8225706864434,342.7802866335366,343.9428345338516,342.3870069797727,343.0091842536233,340.89751932432335,341.46634742876734,341.5261526475378,340.8065583142803,340.9858961522145,341.1210117097554,340.9334080457759,340.88217259320476,339.2994060587891,340.5809814560739,339.4141501566278,338.447989000879,339.1385179909836,338.5479673358692,339.8624016703333,338.085509390131,337.95655091726695,337.4597843746788,336.77297261794047,336.5224980302583,336.86911485673824,337.03163467693753,336.9812718545267,337.0823871992556,336.766589436532,335.4420071998486,335.9125223547626,335.59436767534123,335.7571684025951,335.3384972969165,334.89702970702666,335.3315515740193,335.1986583369866,335.1241898146447,334.3104664185067,333.9370862587349,333.50711723039257,334.5357801016569,333.482335653455,333.6620193015472,333.45873062505353,333.2851725567931,333.2815465906478,332.7679599791276,333.4995735847728,332.2507912455365,332.71955345358543,331.7037141693962,332.3760168435062,331.8599664133572,331.8505811310165,331.5341903190394,331.41158089997566,330.9377141981386,330.8474282202565,330.80781230804433,330.8101689710473,330.3997259606515,330.26586311897927,330.24833798589145,330.1491784666304,330.2854452340166,329.5582164921238,329.1995142449724,329.3629343945418,329.10909669441764,328.811866225754,328.6494006059906,328.39366292138124,328.1213454748742,327.9587354358163,327.5354525220002,327.2955591489511,326.9201650337734,326.2138095095371,325.412510450593
