,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190
Low,268.37319862500004,375.89655612499996,479.407752075,569.527996225,656.211740425,735.4737965,804.38594155,874.4805379500001,938.737025075,1002.066713925,1049.771483175,1114.468979175,1160.274925725,1210.42205535,1267.894446875,1304.490296725,1362.34235515,1407.5651355,1450.588452875,1491.2427496,1532.324066825,1570.66833125,1616.840686925,1653.9261661,1690.262302175,1735.74087695,1769.208547225,1803.708243,1847.7521964250002,1880.51220805,1920.839818675,1963.97270615,1994.595310375,2030.3580848000001,2070.859841575,2110.9905573,2172.808126
High,470.095887675,611.290719225,712.080567975,808.5035378250001,890.39071665,966.6547878499999,1035.46106645,1092.9843511000001,1149.598890625,1209.175509325,1254.2302879000001,1304.7542818499999,1356.7537942,1398.011365025,1442.2477654000002,1496.02983565,1528.8614126,1573.7188698,1613.4677767249998,1649.9308778250002,1688.258507075,1722.624066825,1757.6444434500002,1794.860340375,1834.354442775,1867.1996510249999,1900.402777125,1925.88475825,1966.063960425,1994.584749825,2022.70262815,2051.19243395,2081.18566065,2107.600274225,2133.943715,2157.6807846,2172.808126
Mean,374.152967355,494.867142091,602.300178851,694.4483128259999,782.0349850870001,853.731669434,927.1637849740001,992.259903251,1051.508721771,1112.824358735,1163.316562737,1213.137736737,1264.7377569070002,1313.129412087,1363.235619545,1407.4882013059998,1448.152174272,1491.379853079,1534.7680294380002,1575.237277716,1614.037877108,1652.1144546520002,1689.867606095,1726.799588548,1765.6865262269998,1803.280518565,1838.1348364520002,1871.942027868,1911.4161056040002,1943.432112195,1975.961946364,2010.010493983,2042.6430986320001,2076.694863098,2108.491145355,2140.9088697869997,2172.8081260000004
