,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590
Low,218.7890505088891,227.2834515338094,235.4160289402628,249.67133690466667,252.66229612925304,258.20755806058787,261.2758446073399,260.9228681686366,268.4321596948575,271.60316319269384,276.28094927179376,273.3246878198319,274.0989129847312,281.41067922778353,281.65719079370257,282.17331651798344,283.5493970496633,284.5919515118252,284.09810374690966,283.81117820420366,286.6669709356927,286.83865559694095,287.21707738530483,287.89058330858677,290.260232461691,290.11305419284093,290.676960510465,294.4845872275625,293.63785066325295,293.93459498891525,293.45847145850036,293.9375491872354,294.53475361716806,296.03339136244654,295.941792436912,296.8402211838341,298.0480417609564,296.25429073602743,297.2064990164523,298.66062096288823,298.1451347572648,300.306254122773,299.2963556898144,300.3547527545082,300.374768726411,300.2084712982509,302.74431045378395,300.5647606893088,299.77920686360295,299.7943161642657,301.248224811865,300.5317278120871,304.3190649546146,304.1039205270367,303.71016742338486,304.3244596928364,304.6893108639086,302.1381498474746,305.7429671305801,305.0048166253777,306.19652578906505,304.3088930585821,304.7690727812099,305.8500623452729,306.30594845709857,306.71637628782526,305.7751167616637,306.7236160991141,308.13572341555266,307.96872956320254,307.34108628586034,307.8864883303894,309.02276383601685,308.38097513160176,308.21187637294236,308.50591338729583,309.28053539945705,309.3602521422288,309.5158540408155,310.26589854893945,309.938777958717,310.24498026086036,311.1765635402732,310.1376475246959,310.7285580469096,311.4855546963078,311.7121780181892,311.4269391465849,312.04041265204285,311.7788841707017,312.2391779874852,313.023120957228,312.2193215097748,313.27733764877934,313.432796063069,313.0043176361766,313.38046883481263,314.0527970534662,314.22894909339425,314.8187271749657,315.2414621696878,315.7125180901745,315.91334359520096,315.91888011560076,315.73426847637387,316.0859657081414,316.569237493648,316.82628514081244,317.3790552446706,317.65480366791184,317.87643239858994,318.2412391934581,318.1770162451225,319.26791252671273,319.5375562638539,320.5266483800118,322.542259447429
High,492.32302956833314,445.3375980780949,436.31913646565783,422.3911688323333,408.378655237644,404.3164201815126,396.96169804304503,386.53936203757604,388.0434826305719,383.29803689996635,377.7391790533195,377.2313685686299,371.6357685889339,374.7043737665583,370.50186001474674,372.0684867202376,374.02821031803416,368.4579146112202,365.6984381983994,365.6686734642221,360.29441975983747,364.3983431817243,360.0228990383719,357.9411580893224,356.08471130734364,356.8256204793813,358.45409923527467,355.47728892491415,355.78302559058574,354.9801031814582,354.59519785128117,351.1694298584521,351.2081294845096,352.0314624970643,349.2011833526835,347.7315501864451,349.6424770100196,349.37356572721956,347.6736129032812,347.58551333395525,346.2187348648769,345.2403447646837,345.0805618948591,346.34896042182737,345.82566131867617,343.314582199491,344.33076283665997,345.27349653581314,342.9684951198847,342.5029306484341,342.9138994919924,341.9620917348944,344.64524497589525,340.68393959850385,340.77841204001686,342.10558811338575,340.68043219035036,340.1553908717975,340.5228400169991,340.1600830935104,338.9646624607555,338.5684276588332,339.1838839176379,338.08751135962115,337.88069352696243,337.684361524977,337.0433640729746,338.00042261410937,337.874566268205,336.7812977371731,337.3321961499305,336.52926354166306,336.6620636764381,335.6044489208856,335.877157097855,335.548989127564,334.55041755852636,335.34349712050675,333.45269554453137,334.49481881432985,333.31467769049607,333.80879221124553,333.1985367036782,333.62539497116836,332.85657862699645,332.47785456988277,332.7682188534704,332.39658819214054,331.7953395687199,332.2275299291128,332.0283039556863,331.21281113408605,331.0143593306451,331.01772397553094,330.5158254389094,330.6411479996349,329.98016880722616,330.0636807813752,329.7186925652077,329.1922394321193,329.52053195759504,328.93758472933257,328.8870887960722,328.1837200758343,327.703459745914,327.59146028751815,327.08704238909513,327.1753518188013,326.6320275588185,326.3213121904565,326.17472230536396,325.5205447732966,325.23503182540225,324.77120468809466,324.077486492907,323.36851150640933,322.542259447429
Mean,326.3956141002,322.0350214465715,321.8164836660632,323.05819888818667,321.7296215771702,324.2067469043463,323.66394681820134,322.5429607050404,323.55923831526036,321.71303402848355,324.09315638178816,322.76760460180674,321.4615556638262,323.1667358556844,323.6639614791522,322.80731073633115,323.77217277812287,322.3953601767687,323.2227157550028,322.3666906702869,322.24358612525333,321.81428848088547,322.78315007896794,322.08757010357704,322.92051441680394,322.3019811771034,322.5010731607351,323.2899175355119,323.07001015606454,322.7414255936726,323.35976394882834,322.0903438619343,322.49440014860676,322.93019300960594,322.10858753622216,321.95855761496745,323.16754153296176,322.1834723062662,322.2241241771676,322.4400381649756,322.7535335176864,322.20983834339575,322.88559324971544,322.7126283880809,322.18105217215674,321.9181710618876,322.7843629830182,322.25511998107226,322.07292817105946,321.8294956550947,322.83660720592644,322.2607101688423,323.1639184632168,322.1346922972551,322.4141309675735,322.87747222757594,322.5313695502156,322.2767957219693,322.99766002300487,322.03449035582776,322.4201041330787,321.9085711576743,322.4232775115044,322.2264152827271,322.62763782343825,322.66426388587877,322.20983897632516,322.2505106567047,322.9514410524737,322.985959874672,322.47707456922006,322.363839296729,323.0354810576631,322.52536809073104,322.3421846267295,322.7416245029387,322.5328670493839,322.6100430772364,322.2180802677142,322.4214954423854,322.5055764358209,322.4035770030883,322.1028544130258,322.6963513870095,322.3863895147976,322.59621790030184,322.54063735495544,322.4659934982887,322.7280435377019,322.7986666616441,322.52710709854796,322.6623627116145,322.6291374172177,322.5739288608486,322.52254383629025,322.4578658478669,322.34645332242525,322.70724570157086,322.5686207729925,322.7543521658596,322.6814700724768,322.4577519565204,322.65319063600197,322.4259819354184,322.37801617257895,322.48418055050666,322.40837703089045,322.47723194539776,322.51975165310375,322.6699831600841,322.4605221512159,322.4720218764732,322.46861851334256,322.51745608298523,322.4970988359661,322.5870571383898,322.54225944742905
