,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415,pd420,pd425,pd430,pd435,pd440,pd445,pd450,pd455,pd460,pd465,pd470,pd475,pd480,pd485,pd490,pd495,pd500,pd505,pd510,pd515,pd520,pd525,pd530,pd535,pd540,pd545,pd550,pd555,pd560,pd565,pd570,pd575,pd580,pd585,pd590
Low,1221.59651435,1592.6081887,1914.0021447249999,2240.258976675,2562.7658125,2856.6013875999997,3135.19646855,3329.7446944,3669.7031995,3898.41142295,4145.30473185,4382.677693549999,4577.48370945,4780.3383897,5041.7936077,5277.3097244,5408.091444174999,5642.865825625,5832.93278395,5963.801675350001,6231.911951675001,6397.1462776749995,6568.24686655,6785.6876831750005,6843.5554796,7049.7705906500005,7241.30304555,7338.108305549999,7602.898256449999,7773.783371075,7913.133978575001,8035.643414725,8195.241345325,8380.5278348,8506.129265175,8626.762474849998,8746.013846775,8916.735352925,9029.822216499999,9203.90475045,9394.259260224999,9519.314037175,9617.105498625,9811.541099775,9865.48972975,10060.613488975001,10175.881373325,10234.7444103,10361.906007825,10585.870683849998,10666.688082625,10830.389725425,11029.30394905,11088.453628424999,11233.239593025,11335.27465445,11493.423658625,11625.107473075,11772.957848225,11789.569714874999,11974.463804175,12163.93310045,12162.88366615,12403.2777981,12476.53014845,12691.3058609,12739.747034049999,12868.7638213,13014.058408325,13086.79927695,13272.827394075,13272.8194883,13520.275031699999,13564.560444275001,13749.350689174998,13868.766382375,13980.858964425,14063.09608885,14256.780077725,14362.50175555,14407.2598533,14597.718491825,14712.646834674999,14858.79613805,14913.318643625002,15031.52629275,15213.480985675,15218.961177,15450.34775855,15546.328137150002,15662.578095750001,15783.5152855,15817.476057175001,15982.650434325,16187.083057875,16338.481021325,16394.515597474998,16564.7634678,16647.263483900002,16772.123748225,16900.619728874997,16990.037855675,17084.663192225,17282.255522375,17321.6836668,17484.160315025,17604.525397275,17763.140109575,17836.26275145,17926.627719,18105.173531,18224.930601975,18338.058789525,18510.172974925,18613.404883,18822.534356675,19172.083597
High,2076.859829825,2678.5983739249996,3150.060378625,3524.673893125,3953.9270856499993,4273.502841375,4634.1152092249995,4917.995556125,5256.154010875,5507.6057538,5737.87966455,6016.520580225,6229.923427725,6487.585621075,6784.163541175,6926.0847529249995,7152.4182388750005,7462.202533525,7602.459417275,7841.2573418,7898.487253175,8186.288706824999,8407.480076225,8535.73290635,8717.2161823,8854.736382874999,9092.916306899999,9248.4502524,9437.5195006,9602.047128799999,9795.522022375,9924.951486474998,10081.3287998,10249.453441625,10366.285055724999,10505.741230275,10642.041892124998,10860.378965675,10975.69322065,11103.7281749,11227.948321349999,11408.952517349999,11531.628098874999,11654.40142665,11847.797841799998,11947.9571175,12123.5726493,12235.368584749998,12364.105113399999,12479.781543175,12676.223635625,12731.22970295,12893.154862225,12942.712322450001,13157.524387125,13211.885476825,13337.841877925,13538.752108825,13646.8579487,13796.4647188,13833.167398099999,13983.977145875,14173.464100125,14247.719282075,14388.92575655,14447.119447575,14553.741241075,14702.22173805,14885.3784727,14905.7446703,14966.889625475,15151.488195025,15245.012230025,15357.66456655,15445.73233925,15539.423958624999,15729.322135325,15784.383698325,15904.379584375,15997.370832274999,16138.218262375,16180.412649,16294.648543649999,16411.270747925,16468.3678104,16591.20639445,16725.394019900003,16806.4734977,16898.028824575,17016.047288499998,17072.32827465,17159.988763175,17253.225373275,17378.088823925,17472.42997565,17563.131592175,17663.224737475,17765.617066299998,17859.754073375,17937.098640775002,18006.9477566,18063.205266075,18188.5970312,18269.241900175002,18375.536397149997,18424.4519149,18511.782834675,18603.296409025003,18685.471488975,18757.561091375,18825.867674375,18902.72273,18966.20881475,19037.0067461,19102.1402374,19150.96373115,19172.083597
Mean,1609.6411374539998,2069.499867995,2461.726771385,2838.2510464380002,3183.973358759,3502.57494331,3831.593421987,4084.118832574,4400.131799039001,4657.296176032,4913.9779467220005,5144.113983435,5389.969468281,5622.009093873,5845.397367436,6033.468898233,6244.09397384,6499.245098206,6669.344882494999,6868.112175515,7048.349648086,7244.153247009,7428.470366832999,7620.870182950999,7755.877710992001,7965.291301943,8155.177387349,8275.446657356999,8470.644016919,8636.553223229,8820.064224107999,8955.203643404999,9102.583660062,9305.350056574001,9425.332560598,9561.640493464001,9715.355673203,9871.305579386999,10028.895268598,10156.649750546001,10341.032212142,10466.903530003998,10611.190564092,10732.906611203,10862.179874983,11026.848025165998,11176.762077514,11305.604596865,11405.610615271,11546.334591233,11694.183993962999,11845.286102894,11971.644294639,12078.454778624002,12237.375650894,12320.671519104999,12493.269801706001,12629.012407861,12743.133667809998,12848.975840823,12972.663437330999,13135.639776914999,13217.937281613,13354.890047461,13472.784753511998,13624.033801267002,13714.51401937,13844.705076634998,13967.563731703001,14089.249765774,14204.227050939,14307.512205321,14419.520310202,14564.551326154,14683.06780321,14789.083670327,14904.414297197,15001.525705389999,15149.788372254998,15261.14632403,15356.352589634002,15456.090377681001,15564.393735338,15700.584604356,15804.032641857,15904.080620408,16031.063219590002,16146.020204244001,16247.218527702,16353.838792755998,16455.075847374002,16565.323952602,16664.345246552002,16777.292089533003,16900.465919435002,17001.524918304,17127.934163201,17255.597129375,17319.895900321997,17445.821638190002,17533.867388480998,17628.523168088,17745.86482429,17854.552130323,17949.74420885,18048.532337645003,18167.812492595003,18257.726045897,18361.745585379,18464.547454233,18571.383291582,18665.868292614003,18767.792677617996,18873.585900219,18970.099403369,19070.772487255,19172.083596999997
