,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90,mpd95,mpd100,mpd105,mpd110,mpd115,mpd120,mpd125,mpd130,mpd135,mpd140,mpd145,mpd150,mpd155,mpd160,mpd165,mpd170,mpd175,mpd180,mpd185,mpd190,mpd195,mpd200,mpd205,mpd210,mpd215,mpd220,mpd225,mpd230,mpd235,mpd240,mpd245,mpd250,mpd255,mpd260,mpd265,mpd270,mpd275,mpd280,mpd285,mpd290,mpd295,mpd300,mpd305,mpd310,mpd315,mpd320,mpd325,mpd330,mpd335,mpd340,mpd345,mpd350,mpd355,mpd360,mpd365,mpd370,mpd375,mpd380,mpd385,mpd390,mpd395,mpd400,mpd405,mpd410,mpd415,mpd420,mpd425,mpd430,mpd435,mpd440,mpd445,mpd450,mpd455,mpd460,mpd465,mpd470,mpd475,mpd480,mpd485,mpd490,mpd495,mpd500,mpd505,mpd510,mpd515,mpd520,mpd525,mpd530,mpd535,mpd540,mpd545,mpd550,mpd555,mpd560,mpd565,mpd570,mpd575,mpd580,mpd585,mpd590
0.5,206.69496378644487,218.44462135666694,223.35831906131574,230.09813145683336,235.1154393632763,244.59031878273984,245.03893418099406,248.06780083472702,253.09247750877515,258.9802470162968,257.3994371137624,261.17722268714465,264.8009742014659,267.52295646925813,269.3639817813328,270.2618484121821,274.2905040199293,272.7291558508446,274.020841224913,278.12168565770537,278.29532610959336,279.93869749600503,281.17359272659763,279.34533876835974,277.63758744580286,284.06886293359315,284.1129560685255,283.0358520015631,283.8686841500199,283.1777155554387,287.23266884459895,286.067761223945,287.90650159884524,290.97994676586364,288.3155224747959,288.3747032054922,292.8636486023837,289.3528716380985,290.3640621884195,292.6610803047579,292.5453151521427,292.4084936511276,292.4809670267086,293.853394891064,289.5981773771143,294.4180573419915,295.71022553594935,294.81009243631286,294.0576316046808,293.02370836348564,294.50027445177705,296.8248522711535,300.1331772187065,298.4119594414478,295.8407085737254,298.70649620288765,300.3745280910662,296.80862946541424,299.40380476843404,298.13873070309745,299.980626386167,299.24717632459465,301.0822411736368,300.05232477952813,301.97867902364413,299.55759326005597,301.54979885601557,303.0154524654116,304.07288304259146,302.599861954851,304.84051124873145,302.7611817276557,303.76833034541465,304.56947746848215,304.72952324469946,304.035662236087,305.7203081510177,305.5180766874581,305.0796947586253,305.30970476689254,305.3122890469158,306.10820930508726,306.2352410377798,306.34674414147605,306.70732478220816,308.759174909479,309.1130942512596,308.3325062805267,308.46881081090896,307.09623432304085,308.8137196242523,310.3346209383287,310.1623500942455,309.4144686984541,310.9753084824904,309.99086183021404,310.8383765343855,311.28985970208856,312.17251014665584,310.72151473240905,313.15445926735526,313.4841805855539,313.16611573069525,314.15429288599887,313.92151843130534,314.0562698808002,314.03886636452177,314.0916299282624,314.92031387937817,315.9849966464495,316.2213623854201,316.25142542084205,316.63943715259626,317.986956728522,317.8285734274697,319.5554217968214,322.542259447429
1,210.30626180333377,220.49285837961958,229.963411418053,237.14095516906633,244.59021092397728,251.1689800246718,254.12671268619275,254.32778242864651,262.5441875677555,261.92801331655204,267.79171906219796,265.2436241936062,268.3074273614535,270.3279171449153,275.96449428961074,274.2333257033898,277.4680969857255,276.5098437580876,278.4303036873289,280.3703693944693,281.34318049231854,282.2441943667183,282.6586232751063,282.29265344450044,283.9638455400527,286.20357281429943,287.6051619553788,286.679012230094,286.7727757836721,287.6309058756392,290.5064043924074,289.5190255360283,289.7406630584597,292.78168660545145,291.99792299827214,291.11751293602504,294.6054709166093,292.22903184288464,292.8156440946129,295.11483990042825,294.14595913302793,293.9902715355175,295.89931193065024,297.5391798592635,296.2179495722619,297.37209564616137,299.86777959952116,296.59805745531094,296.3023219283916,297.009798028619,297.3047168284383,297.92580689015256,301.65207591199,300.0750289530002,300.1198469209398,301.4486964411508,301.7942816634547,299.1375339905246,301.8759756668116,301.2603530501301,301.7593070427364,301.79367236128786,301.9126409145356,302.97321364218874,303.3372805334258,303.5847777642832,302.67336661019624,304.73961938452777,305.10705726017056,304.4654571414449,305.754914256152,303.5318813451856,306.25763336054524,305.88173785368696,306.56655060118914,305.5061905122304,307.1311827433137,306.0291563975854,307.1821341820462,307.22954695332436,306.68948005359044,307.835483039651,309.05331535958044,308.0432759484063,308.2754456958438,309.6449459153497,310.1136909719135,309.9122904138535,309.5061680317382,309.2159981347036,309.93871493150215,311.25055710028,310.8214801028128,311.18638118661715,312.4161061761857,311.49186908454743,311.5184754269127,312.2668287870949,313.082330431025,312.0336989151789,313.5790279372339,314.54956070036934,313.92623890095314,314.74217830136456,314.71778139652116,314.749703143294,315.2299042755264,315.56227420848904,315.48523728355445,316.5435666262413,316.66463659719926,317.1427073984194,317.58709160481175,318.57281793505047,318.6528943147851,319.68673319029347,322.542259447429
1.5,214.67420345788932,223.16437903295284,232.90744757439506,243.01456126973298,248.81990664333296,253.91034217732732,258.09185938885946,257.4744994080905,265.2575873758895,264.1168238358857,269.1254443268389,268.9605692667841,270.21004560584925,274.7562439122952,277.20286415824404,279.02265660091854,280.30625970273155,278.54148169753825,279.9137466677356,281.4511099881504,282.7486753924724,283.4112210166603,284.2954122512995,283.9847867638668,285.78857280222206,287.5053658151673,289.37169892350585,291.27084983012145,288.7110398897834,291.9412013318572,291.2701192562695,291.20619230131365,291.2922859846019,294.30401943175843,293.8542108958531,294.9374641171243,295.8476528761003,293.1956515546793,295.7234285183192,296.8826736042645,295.77149948264804,297.4219596116964,296.42900727772326,298.2850053630357,297.686033839725,298.99956574007666,301.5332770646557,298.2237230078074,297.93598669492326,297.5731519378614,298.8598520875252,298.1139850493599,302.42001529014374,301.7771240097268,301.2786450194367,302.38701894726717,303.45156093718873,299.89215571054694,303.53478102945456,302.5640923894714,304.6815746740365,302.59895302279284,303.29169760177496,304.10107075084903,303.91080524050176,305.0720754461902,304.69816767492887,305.51828062274814,307.1060031132206,306.1726414135935,306.1260106994805,305.26033345701086,308.127048524365,307.0617463920492,307.4873923052525,307.017477963849,308.01132014674585,307.2854827035789,308.01137691663666,308.7085240355689,307.5904279359267,309.02483847878017,309.85997936230956,309.1058289088235,309.785960349697,310.5848255540798,310.64033561302864,310.60515873573615,310.9683046797926,310.0969097018951,310.82562579523596,311.5941678743239,311.2321229523375,312.00790793738844,312.98685725006646,312.1449524654073,312.0801748951223,313.1019308757634,313.3126447886327,313.36112295384197,314.3841192139627,314.7573364017753,314.60125384213177,315.0457510974935,315.1103531806641,315.41025556338667,316.1370292546199,316.2131112056397,316.1806496357463,316.9858633148513,317.2788814686327,317.3585393763194,317.7933104039481,318.79156023778273,318.8180455333669,320.043243097406,322.542259447429
2,217.37668319155566,226.24301014133326,234.1380539328419,247.05851618479969,251.01339589080465,256.625568111866,260.12413101092267,259.29260987519234,267.45382000303647,266.5994958825592,272.17162983716344,270.5750965871343,271.7868079975816,280.2925998151783,279.9386148171074,281.5481755358203,282.0388560307121,282.33844129399375,282.2466255943512,283.0657712463887,285.7161292752859,285.0242658255619,285.134306556017,285.58658976322613,288.2247876771231,289.0173923475693,289.98459697386204,292.56085751739056,291.2338220733688,292.82851515335085,292.1091673048301,292.2389451226995,293.5310865561418,294.89133431342884,295.18439534362767,295.64389717138175,297.1494434403019,294.73942541397156,296.3589186702473,298.20549937229026,296.7160711635411,299.3776858078921,298.71879939736164,299.6706262695808,298.79548924673804,299.64576470657033,302.10977804095796,299.8151763239306,299.17893293950493,299.0297639170601,300.12460963777426,299.1164599013295,303.59198663902185,303.1920549718134,303.1490346779901,303.57469449722987,304.19185077953045,301.6427397507786,304.1751817694816,303.330922296494,305.7710407955749,303.3656269809426,303.81737275208286,305.0869683564166,305.4200503002801,305.8755164076243,305.1075733390118,306.13885073911484,307.74939917298184,306.91414740951467,306.80814938298136,306.13285869023144,308.395846166967,307.86209025667705,307.99085727061396,307.89319143321956,308.56076040189674,308.6651408857884,308.72799634020345,309.47400471778894,309.5604802018682,309.71107284209774,310.70681688533875,309.6375993043765,310.532053129681,310.97162046079274,311.4099558504062,310.87608966044013,311.5843975243529,311.0907265238217,311.87793821338005,312.35032995744587,311.63691150807256,312.5906769259505,313.0872882894133,312.54539001622805,312.73063891430957,313.8341271979826,313.8106556763096,314.31968300162737,315.0421895691467,315.22643744824063,315.626889956808,315.11899692528095,315.47714238100696,315.98561423219587,316.3823113606074,316.59144034733026,316.49233898020606,317.2546679613266,317.6159543104472,317.644567981967,317.9887585645907,318.9663191895246,319.1527988134711,320.2070546843683,322.542259447429
2.5,218.7890505088891,227.2834515338094,235.4160289402628,249.67133690466667,252.66229612925304,258.20755806058787,261.2758446073399,260.9228681686366,268.4321596948575,271.60316319269384,276.28094927179376,273.3246878198319,274.0989129847312,281.41067922778353,281.65719079370257,282.17331651798344,283.5493970496633,284.5919515118252,284.09810374690966,283.81117820420366,286.6669709356927,286.83865559694095,287.21707738530483,287.89058330858677,290.260232461691,290.11305419284093,290.676960510465,294.4845872275625,293.63785066325295,293.93459498891525,293.45847145850036,293.9375491872354,294.53475361716806,296.03339136244654,295.941792436912,296.8402211838341,298.0480417609564,296.25429073602743,297.2064990164523,298.66062096288823,298.1451347572648,300.306254122773,299.2963556898144,300.3547527545082,300.374768726411,300.2084712982509,302.74431045378395,300.5647606893088,299.77920686360295,299.7943161642657,301.248224811865,300.5317278120871,304.3190649546146,304.1039205270367,303.71016742338486,304.3244596928364,304.6893108639086,302.1381498474746,305.7429671305801,305.0048166253777,306.19652578906505,304.3088930585821,304.7690727812099,305.8500623452729,306.30594845709857,306.71637628782526,305.7751167616637,306.7236160991141,308.13572341555266,307.96872956320254,307.34108628586034,307.8864883303894,309.02276383601685,308.38097513160176,308.21187637294236,308.50591338729583,309.28053539945705,309.3602521422288,309.5158540408155,310.26589854893945,309.938777958717,310.24498026086036,311.1765635402732,310.1376475246959,310.7285580469096,311.4855546963078,311.7121780181892,311.4269391465849,312.04041265204285,311.7788841707017,312.2391779874852,313.023120957228,312.2193215097748,313.27733764877934,313.432796063069,313.0043176361766,313.38046883481263,314.0527970534662,314.22894909339425,314.8187271749657,315.2414621696878,315.7125180901745,315.91334359520096,315.91888011560076,315.73426847637387,316.0859657081414,316.569237493648,316.82628514081244,317.3790552446706,317.65480366791184,317.87643239858994,318.2412391934581,318.1770162451225,319.26791252671273,319.5375562638539,320.5266483800118,322.542259447429
5,227.7558030100002,234.86518870190443,250.34754952289487,255.393298646333,258.55960997609174,266.9258550556299,268.5544897966027,271.46322620404004,276.2428580569796,277.835670664242,281.8615871575145,280.8954640860577,282.29978373118036,286.43584552810853,286.2264017242726,287.81105748515375,288.4935149655934,289.4560754747148,290.0179895908687,289.0526809834435,289.95263601996703,291.01358533649085,293.39239787154025,292.2977850827356,295.49282746475825,295.478005302687,296.0658125848972,297.8873211246649,297.328649982582,298.2970141827319,298.5719059349096,297.69726022331076,298.9022724133136,300.1136779324399,299.7982964456112,300.6613721997063,301.4952711853583,300.8520738036953,301.0431479330575,303.2555914683503,302.7012081763974,302.3531518541577,302.6617919429311,303.17896736653574,303.741942491739,303.5311990721372,305.2468935523601,303.9411365451291,305.7601342424098,303.1180664070897,305.7547961094332,304.00870492414566,306.55082542608324,306.67386237925905,306.6347180428328,307.2920767770272,307.56513895306864,306.36808162161145,308.0880714356396,307.06015663200156,308.8270265908752,306.81955154538673,308.2114776648661,308.4882916871249,308.4786410538588,309.2483019632477,308.74744652644597,309.71977830664184,310.6028068727279,310.3408331901364,309.6177832371549,310.216000651051,311.24769123432037,310.6559991688624,310.28994507190987,311.30109625534453,311.3551297003763,311.1644095233644,311.39663637659635,311.9237775847411,312.58317027225644,312.02972291907037,313.14745027683585,312.3111514559908,313.24421896898195,314.11086890172976,313.6044856520753,313.040580491148,313.9193668996171,314.34914751476975,313.9817225400745,314.302841702433,314.457309203524,314.58816012623606,315.1826209122845,314.71984231826093,314.96886398120625,315.4390445456484,316.2184738432017,316.6012751578033,316.8228122038253,316.5833351340696,316.9565625695083,316.85972750911014,316.8193825027498,317.093382075276,317.59577376114936,317.5623463961169,318.26657079306835,318.4620758128509,318.6632472615231,318.89880880634973,319.24178212399295,319.8082286337177,320.19223113586196,320.99715175853726,322.542259447429
10,234.8833729155553,253.8886535257141,262.3612598300002,268.1977955379997,268.6506428889652,278.3614464820169,278.7700040651281,283.29656217717127,283.94082824742884,285.67643108067307,289.4471223411868,291.4876665300003,291.0327241862944,293.8814193056579,293.1668698592088,294.6735767798317,295.70532283161083,295.9288164630682,297.94205316495004,296.3706804941393,296.87902342909126,297.38204554849733,299.2424945597898,297.7839275434065,300.4102226238517,301.3742825773359,300.9844429788897,303.46230123609223,302.8447033333246,303.5084721695853,303.3649520983017,303.4280156891652,303.89858199645676,304.4612064867913,304.697945982042,305.0182746551473,306.0257497839096,304.6043095547023,305.6914949379099,307.0355603856819,306.43612247047196,306.3248131136358,307.31450794823144,307.1194615546111,307.2571600090257,307.9032652615383,308.7728126012102,307.9335124361794,309.5037031387916,307.7189470316323,308.4985476445766,308.585678159285,310.36143442132754,309.9336307068719,310.2215901043702,311.28261205956534,310.88379375534214,310.2128016485646,311.5346191869919,310.31804221886944,311.5665611739141,310.2183713265557,311.6263591800451,311.7343464003498,311.9458857419434,312.1774446461099,312.2326322225125,312.43287218366373,313.2947769599035,313.3410982570351,313.13517692911597,313.1174327304078,313.7341271381266,313.29837780703843,312.8718081697043,313.95292416517844,314.085890048064,314.192088042272,313.85467245678075,314.12493371137305,314.76303370467366,314.518458369569,314.8705201536764,315.37713588181145,314.90541505061003,315.8518515409796,315.60054440574856,315.6776212605976,316.2591775743441,316.5004949959666,315.9333249230075,316.556472349136,316.51827657756183,316.4226031433784,316.6482906604367,316.4743255003064,316.77547709586935,317.19984477009103,317.4516109880939,317.88113707567163,318.0694802251678,317.9281920445649,318.3574128580911,317.8603919669084,317.9668966177819,318.4224004780731,318.724227892384,319.15153740145405,319.3560988935559,319.5323452419671,319.5688633415428,319.78790690927474,320.2486044808957,320.4874971493121,320.7668382691615,321.5685872264242,322.542259447429
25,276.064030733333,283.37496332380925,285.1266205592108,291.477899228333,292.1115068706895,296.67528478907576,298.2499845391028,301.0798140939395,302.43645328469427,301.568905647475,305.5426924591805,304.45097805889424,304.66081767484525,306.0536047935133,309.08208213417726,306.93516147843127,308.72933990480675,308.163582126988,308.998768732626,308.2512236612635,308.94895198819876,308.6756410067123,309.692125160749,309.3545124674192,311.91607934400724,309.86232933316774,310.2843637224305,312.51864658453025,312.4246508906715,312.4990626419358,312.62972514131275,311.67331403518074,311.845327845162,313.0724666351725,312.2550561553852,312.51060312314905,313.556841470593,313.1580687798573,313.8699618695978,314.3475774602342,314.60928294372326,314.25534709004603,314.483863334101,314.5977582836115,314.24382584065927,313.797364595472,315.5135252763075,314.29604915638976,314.8518829531488,314.2897353747568,315.8288281186667,315.23559869406847,316.874741818725,315.30580438253475,315.837273188486,316.7467364730537,316.433340394887,316.0436265649605,316.85613251681747,316.132095675313,316.9514609381985,315.6165870660195,316.88329152099345,316.88768073290623,317.04877219926345,317.5212081145497,316.86736530350527,317.1089616102125,318.08841150292676,318.17354048032973,317.2416525690805,317.21453292182775,317.87556497179725,318.1258441543605,317.76219196217227,318.480665135836,318.4308258627747,318.19378715045326,318.13961056350576,318.24150719455474,318.52728005680126,318.50290375603277,318.1458572101375,319.130100289556,319.0244292691873,319.3232679690182,318.81935547200004,318.9149768950147,319.2833171340708,319.62299978298904,319.35923314026,319.5919583160177,319.6089273513818,319.71455799838805,319.57098843549727,319.5386260316265,319.644633563549,320.1828426265,320.057189086627,320.3522210194678,320.24549545040423,320.21969743713123,320.44549242938126,320.37661974540526,320.501809825195,320.73672151137947,320.6448132308135,320.9407738123008,320.97789596487,321.3288937757085,321.19383053689,321.3447676500723,321.418851371594,321.63672006898025,321.802766707979,322.22513521421126,322.542259447429
75,375.71856590555575,356.22911719999973,354.0580095381582,351.639145665,350.4220165212645,349.8279413285713,348.23708115801253,343.73329537222224,343.08159496632675,339.8465970104375,341.2370634258473,339.21920888605774,337.44938913964825,338.18662627171176,338.22320145474674,338.4327445333332,337.7881417919472,336.41795235632674,337.79782707550527,336.5353083188645,335.26331117001627,334.78525571556077,334.75751316281526,335.496795440839,333.654424863417,333.630042390437,333.58921625788776,333.717588794253,333.4741851333335,332.1898249678677,334.33199639526373,332.26409964785677,332.4903636796725,332.41077775261124,331.5131992617787,331.1279755791125,332.35660664385927,330.86524842820523,330.50196935871895,330.4204640913198,331.5685769720095,330.003520316605,331.45926119973024,330.5541052276783,330.47053288130826,329.53086130541953,330.25304550129,330.05457830672475,329.12243902228073,329.48598898025324,330.73517305775147,329.56239755610403,329.64924318463477,328.588309585202,329.3094580484955,329.036429205177,328.71360418324196,328.8325400371153,329.12442814844474,327.7644241901637,328.359798944796,328.2584254089882,328.12200201079077,327.66599398942077,328.0900684757715,328.0979117517738,327.637191478249,327.5484343818587,328.0866885299345,328.21730053343674,327.4748127569757,327.479950378293,327.967339162653,327.3756962677145,327.309632412349,327.3109258157398,327.025855238521,327.21568213484574,326.4422817391415,326.8820497009227,326.7297177027815,326.5478852573252,326.127786999392,326.73782809617103,326.0710719134363,326.2109703010332,326.2975429193002,326.0505903695463,326.457234301784,326.3429656443332,325.9978717073155,325.936286599263,325.8567243354105,325.72267943407525,325.47386861277823,325.77452361746646,325.20431990205327,325.47152522984896,325.31261709363326,325.46209050564175,325.2546257622288,324.8593086958788,324.9901819509285,324.74010684942925,324.547423633044,324.49559313887477,324.41120244108953,324.3051050194882,324.24397254447075,324.3721291262755,323.9689062399585,323.9085755550085,323.807797147566,323.647404442715,323.3562021334703,323.24419550542973,322.542259447429
90,426.6222607266668,395.1846037047622,388.7920626757895,381.80422068733327,377.2843792717241,373.6186196480676,369.86340356897443,363.45199584868675,366.301123780245,358.0079920903704,357.5818105888697,357.4518940865384,352.4132863529195,354.28341901066676,353.5823232039554,352.02668824918777,351.6784462281899,350.0100289168195,350.387950245414,348.6675545891942,346.0226383075564,347.2216510000606,346.4280426116523,345.1393954710709,345.20487722332723,343.7054293112661,344.5113823514076,343.6470596875482,343.5361326082683,342.6161434069044,342.5523784770989,340.67180061800474,341.38554837157017,341.8622638170118,339.85543738948473,338.6064180782605,340.9902337846453,338.586149573302,338.7715313171962,338.0027713723963,337.6426778859744,337.100817734327,337.8013354960521,337.89808709929366,338.1707745570457,336.8547765036117,337.5033727003176,336.555156672238,335.6402827299919,335.67389906058946,336.1220270691832,335.6976871975299,335.2085456338347,334.6261159700647,335.18937966488,334.9590956086883,334.3282249741846,333.6909280394604,334.2769321504257,333.3894503385981,333.152485900376,332.9721210327411,333.5176454886033,331.8769708105224,332.8753137184966,332.6171996902489,332.6573861702478,331.6790962467645,332.3772597267004,331.8718018402804,331.9105616287401,331.78433051057664,332.1869428799664,331.2695898971125,331.38468306757414,331.0980813163312,330.6833718186726,330.8476763329203,329.8774896478547,330.5202107576087,330.3480603986984,330.07227669338204,329.7342980651644,329.7538348169677,329.3263589227818,329.36756707379203,329.5309658474164,329.16247154231166,329.0710420054296,328.7753435935864,329.0529881442393,328.5452958557382,328.4130957751828,328.17843750906195,327.9786030642774,328.0247765919744,327.4912427529743,327.6519132955025,327.3531871017969,327.3810760345842,327.197433844322,326.8275456097543,326.7395523843946,326.5192805274345,325.98158466890374,326.1455468504004,325.8010464977393,325.7861804888157,325.6196534918267,325.3450356273396,325.1506072680855,324.7942494620607,324.5501395445031,324.18496333238596,323.9696612988825,323.31140002723373,322.542259447429
