,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325,pd330,pd335,pd340,pd345,pd350,pd355,pd360,pd365,pd370,pd375,pd380,pd385,pd390,pd395,pd400,pd405,pd410,pd415
0.5,904.0727152038501,1311.530859985,1619.089549345,1880.62118907365,2228.3290400517,2549.76120492678,2792.1930901735,3123.06167707363,3406.230454125,3597.1397790591,3876.21917234155,4241.2322918081,4337.41518563195,4608.253594402499,5000.8863478669,5168.21874222898,5424.11429580948,5592.818213239069,5896.70550689408,6087.5548411191,6244.75601280622,6500.096519942021,6712.91771830035,6892.244889670051,7038.729527843299,7267.23904037727,7522.91223543333,7778.041891679531,7879.38744021605,8121.12316219197,8322.98908038175,8498.9051209418,8686.1848807083,8845.93523399313,9020.532355613499,9200.77626889815,9475.3518944749,9663.86142953492,9788.29080419292,9930.27959339202,10198.00907247588,10273.9668090795,10465.33289430277,10746.7627417761,10799.8522087842,10992.615344341251,11205.816036136968,11432.88302456175,11502.1461454958,11687.11739615227,11926.199320055419,11992.154034948251,12263.937857974981,12384.9064816071,12557.82324837233,12832.27531856345,12896.21176516565,13071.7938358418,13236.4806488589,13433.02807930215,13527.237537697349,13655.15618373275,13908.32838486095,14071.14269411965,14301.290003167049,14465.5577580518,14575.28235619765,14797.08309797073,14924.971396805899,15084.166754080768,15205.97539049142,15385.524151524,15586.98431171927,15744.59320033235,15944.05228394593,16037.3373052688,16291.767403852251,16411.45600131175,16621.510961016,16811.282007616002,16997.354342486,17212.714089670997
1,923.8432422799999,1344.24619996,1650.8083620182601,1938.37930734574,2281.11272318,2637.67807895474,2854.5213487906003,3174.4327269934,3444.4286823771,3735.3023749777,3984.9643595165,4309.483049763599,4532.0111778492,4718.6696041412,5027.626515844239,5254.938757062199,5499.714748207801,5657.2800984563,5920.62219296094,6139.0804648106,6372.959842958299,6587.1876237244005,6764.58064378256,6961.9830710228,7182.469845040259,7323.6431623298995,7609.0883973011005,7851.7273442289,7978.557177197839,8184.23570065926,8355.03332774864,8530.52800927906,8733.8360671023,8879.67307677516,9108.087410165599,9266.843387418341,9524.96584618436,9696.6607188229,9893.1388258303,10014.47792161836,10276.024397868,10361.32624579406,10552.64271560636,10783.5258136991,10906.175234371041,11035.934359635901,11238.82544101136,11491.9391823504,11566.0331753906,11755.6405541974,11957.17699690416,12075.066679131442,12317.83884880766,12452.0055115219,12631.6892828852,12864.8794532494,12940.38617056226,13164.4570706156,13308.86452857036,13472.8191762197,13595.3916751647,13826.577254468459,13966.2535033272,14091.8281603458,14351.511193500499,14516.1305620151,14668.5814691008,14837.9436050938,14979.1845419822,15111.5549116042,15304.2158394197,15440.0994971104,15600.850702104199,15786.8463519293,15990.3593221804,16130.487372673,16319.6882098191,16451.1505141591,16644.2730274923,16835.2046653704,17014.667205981597,17217.910872286
1.5,975.7350046150001,1362.4154501000999,1691.6305108149,1960.6255846218,2314.97353807775,2654.7200279384,2896.7906184417498,3226.91409762055,3523.8611743975102,3750.5807970454503,4023.97983925305,4326.1703097397,4566.93761627325,4744.60530746485,5048.048339664199,5275.921633476601,5515.8724141685,5697.8443195352,5962.04496606595,6194.5633166935495,6434.82586911364,6659.9538949129,6805.5260246019,7022.897960409699,7220.87469768814,7350.26301145224,7646.3291481794,7902.3159038934,8016.8277415148095,8211.75629613775,8407.27160525599,8579.10737072651,8831.84633770955,8952.13955461534,9168.0227119314,9304.80762659905,9581.012838007551,9754.43991477529,9923.02497793294,10072.6764246565,10313.128017902909,10398.825217297499,10594.28129613676,10845.35534077866,10940.02910320104,11149.69110651014,11284.8779717122,11525.74018311185,11610.97689203776,11800.54499294415,12032.53271987265,12111.83115060609,12368.51014725445,12509.881935211351,12664.524609064889,12893.18256339515,12972.683524936649,13194.343538909601,13322.51944866505,13525.868830101499,13657.0557400879,13862.902086650402,13988.403432515499,14158.7785492743,14383.4811997635,14542.57202347864,14688.4453272507,14857.22963391795,15032.006037240499,15135.31864461975,15337.87605665215,15465.2567622354,15651.10845360965,15811.1049142441,16009.93820716665,16171.11254069015,16327.0015704326,16468.11308083625,16661.564960266,16847.38730895321,17033.385684526,17227.896252701
2,983.4016600532,1378.2150224458,1702.62606482,1989.5451043199998,2331.0688277616,2683.9501127484,2930.8813834718,3271.8429840618,3554.66982886692,3772.8612790012003,4053.1575167648,4359.65770215828,4603.46712681188,4787.8258129066,5062.347499321801,5311.88158743252,5554.1160547872005,5737.5685338680805,6004.7004489568,6245.284287598,6448.513728579,6708.7809934691195,6866.087923334319,7043.65696513312,7257.6081186202,7416.42440538528,7694.05181972072,7920.56470717308,8077.6635416036,8268.757203187599,8441.54166164768,8644.1000563902,8844.93492960712,9004.0587922798,9180.98268665168,9325.945519836601,9623.086875200479,9788.48612349368,9946.27269985528,10127.88879213212,10325.68291115208,10435.63135626048,10633.8189980388,10867.44162522632,11025.11049406728,11188.04097368652,11289.540402715798,11549.32010111568,11664.6585114468,11855.68389867788,12071.758514675399,12155.345557741999,12412.25859622832,12554.43868905048,12696.996477763001,12926.08591914408,12993.15864985892,13210.03709929452,13352.8706565214,13564.156588359601,13672.9825773042,13876.056095641401,14015.4278721994,14185.415435704,14394.8711558986,14557.370934008,14702.5564034364,14867.93880468888,15047.7274908744,15164.746691296,15353.7985979678,15482.6021415536,15668.2932176616,15823.9020809078,16030.899326066601,16190.220001904601,16336.30003837412,16491.370393276,16679.2561223634,16863.048947976,17037.1418523886,17242.095975976
2.5,988.8151612500001,1389.0276085175,1729.9650087525001,2029.5805797619998,2356.4403197224997,2695.2536995325,2953.5807709554997,3286.2167212286,3563.2072602875,3790.2280460767497,4068.5033007535,4382.22253847535,4628.170746086,4816.742924371099,5083.50464305825,5340.700595157,5572.7999725705,5775.23743983525,6030.2279135345,6260.028972155,6470.121504284,6731.645178764399,6885.1122402485,7090.9858903971,7292.2883270209995,7455.766415810849,7710.9573251395,7945.997427646999,8097.87696556585,8310.426662024849,8478.3175719969,8673.1601964574,8871.479021940399,9029.795393652648,9213.8778049286,9373.53048664215,9656.74921217675,9825.031385863149,9959.36462049625,10179.794697275001,10340.8954189864,10477.175645635749,10652.971220294601,10890.5176028746,11050.260367465002,11208.630051199749,11307.46689160685,11564.7145490205,11691.0737480404,11901.0729207765,12099.68798547,12221.4867122255,12422.874216318649,12573.50026712635,12718.009142543,12953.408459990751,13021.512663836149,13232.47785897715,13377.998275647751,13580.325210827901,13700.26090726635,13894.1564795795,14028.792345897002,14218.3419368874,14418.76701532715,14584.15155266315,14711.187419497151,14894.540962304,15064.1236315121,15181.834170383,15365.5486038185,15501.7664682309,15690.83188673075,15838.63315956175,16043.159673836,16201.868023922,16346.4501018435,16496.460856273752,16694.765897039997,16868.383994199,17047.25640082375,17251.004280265
5,1040.0673896008,1431.4494107895,1777.2235747055,2109.4678578704998,2419.320166482,2756.7666123195,3032.7439132695,3382.9237580062,3638.9639192004997,3875.7088606633,4165.472969452,4444.293409645,4696.226964649,4946.2697410067,5182.312527881,5431.002921376,5670.4450163497,5882.8494726228,6110.7201411373,6324.9614660687,6566.540267515,6811.5310575463,6985.203500186,7166.626028221,7370.1412024477,7581.481278201501,7810.209114542799,7998.460463193,8210.4626294257,8406.9155281243,8585.688756621701,8764.507359527499,8960.0145887463,9114.6901837692,9291.8173618088,9482.1017339427,9717.159758039501,9898.919571585,10055.6096632555,10259.8459403297,10440.573090787999,10587.9160682588,10750.670685308,10983.40311649,11122.0297627977,11314.8435354703,11432.0070281745,11652.224590726,11784.2355121072,11992.265916823,12166.0254822653,12307.9674417657,12500.5169102215,12647.611861433299,12804.9215557163,13011.700899484,13137.839583578001,13310.2348849285,13469.880912959,13654.098143423,13817.3304694202,13961.944722272,14127.6964851985,14305.359016,14489.232547326501,14644.969032621,14795.024667079999,14977.173642436,15121.577779900199,15263.112392706,15437.456509773201,15595.0521108922,15757.117917663001,15905.013519239501,16086.8076034655,16236.424353471499,16385.516126643503,16547.0772712115,16743.031241636003,16895.933081236002,17075.406093536,17272.328035276703
10,1088.7239388,1490.323079,1857.454484606,2185.1500058234,2511.582727104,2857.4218477955997,3122.684768221,3467.615245391,3735.949463131,3994.331340675,4268.641956587399,4543.2128523306,4790.8904909759995,5070.677645588,5305.456527173999,5545.358904378,5788.49584854,5997.341391401,6226.4955724189995,6442.871033082,6672.2966480594,6900.241732063,7094.6760325820005,7281.620212488,7493.0261804014,7675.2209070634,7917.852427686,8112.56469113,8317.484921349,8512.5881615046,8719.798799633,8867.119725823,9065.9056940624,9238.1993728636,9424.560888282,9618.794906471,9821.993535282401,10015.3221328236,10166.5366908824,10366.440989313,10529.3636526544,10690.341220747,10874.381044157,11066.200310817,11217.087624647,11427.351212863001,11533.9990309086,11736.4640586124,11919.260441259,12079.605106250601,12257.672677351,12421.6577430756,12616.8547022126,12762.248514821998,12925.986999281,13106.425715170999,13259.997739987,13404.948811135,13564.5471690844,13766.8692766264,13897.5536690304,14049.277613209999,14229.271292127001,14387.258083290399,14568.40283431,14708.613428057999,14857.186122776,15048.967906356,15197.379582419,15334.0905389996,15497.650383373,15660.966258953002,15821.3024273596,15980.164038198001,16141.985888815001,16295.988396915,16447.602338545003,16614.466023729,16779.256410636,16934.750748702998,17104.418266179997,17295.241559836
25,1187.0220155074999,1597.7049805715,1974.090222,2318.70881775,2670.149839175,3008.4638276975,3293.3090029175,3627.303056265,3901.5789711015,4172.495567887499,4438.1652946665,4737.637654839,4987.792885985,5258.428230834999,5470.393054885,5712.751701884999,5950.081805935,6176.7571892845,6408.9246559125,6627.9411863465,6845.274855455,7063.713143025,7278.104240994,7452.4162588,7676.5914268645,7899.479622504,8076.710531476,8291.1908010035,8505.864893225,8690.515743935,8881.8309239775,9034.1788085615,9268.781907041,9427.6087836325,9615.026088052,9821.2272874515,9993.60733631,10188.8767052845,10363.0625429145,10548.528653864,10722.6470606785,10885.8488682465,11062.2442653165,11237.2045387925,11402.825050989999,11604.786905096,11728.180460491,11917.748032042,12092.559691134,12256.485185557,12431.031197132,12602.354395305,12785.993712113499,12941.0646389895,13086.2329356015,13262.7331587145,13415.400830441,13571.1265093315,13730.7726316485,13908.193881311001,14065.980791612,14199.0631301685,14366.474921471,14532.4707037535,14692.318344381,14854.4804781735,15013.0139625065,15166.762585893499,15320.754888638501,15464.611357404001,15618.531416186,15771.033148659,15928.9975044865,16092.651160641,16245.485091987,16397.137527111,16540.1389025335,16694.406703528497,16845.183672436,16990.606104186,17152.840506686,17323.961876326
75,1365.89452803,1846.87052602,2251.3732009225,2631.9035799225,3015.7120529225,3345.427097192,3658.9912718825,3962.887030417,4264.0341832525,4544.362963349,4842.0248081525,5088.9654274575,5361.2113917895,5618.80730598,5852.1723577345,6086.8240926125,6341.0402908525,6573.974315754,6785.8178787649995,7012.3952463675,7237.8987825975,7437.39747034,7670.422015495,7882.412609207499,8073.570696491501,8299.320098779,8481.373843147001,8722.18994752,8882.136052432,9104.9130318035,9306.8487657045,9461.790918704999,9661.377435747501,9849.253167319,10032.7631106245,10236.942237488998,10415.3098124475,10579.136749562,10756.433711592501,10938.037164976,11139.7700020025,11265.206445691,11468.1348361045,11632.7347701765,11806.718053651,12005.852351385,12139.408609861,12305.578992529001,12460.155903760999,12649.6866502985,12811.1335693315,12979.557341518499,13119.7756942095,13300.842278094,13435.669601811998,13635.8948890635,13762.219774252,13908.7925104245,14099.9463079945,14242.714117666499,14386.957422551,14544.8689069865,14685.419745638499,14835.0344883135,14999.9626538435,15148.6007321225,15319.0745083615,15433.423317524,15577.2196939365,15734.205139034,15873.434598181,16019.7459526565,16157.0436429185,16315.313589895999,16451.236289896,16586.663094686,16730.687397411,16858.004098686,16991.481291436,17121.2322005335,17251.170396936,17373.717974185998
90,1494.686698706,1958.264772233,2375.9879613486,2763.130788906,3147.9207213,3469.726878892,3803.715747046,4108.75895746,4403.510427662,4712.739884789,4966.904864665001,5242.289196559,5531.2375031845995,5791.689544743,6020.38916541,6260.074902421,6502.688032158,6754.7871810626,6945.4557864036005,7161.759618493,7421.9814723439995,7637.2635776364,7869.1094088213995,8058.872913585999,8262.6732943396,8447.652897376,8668.187898226,8895.966957005401,9097.949959166,9291.420667919,9498.7201871214,9640.9860196334,9846.182305717399,10015.820242147,10216.622474555,10399.571622160602,10595.050531386401,10764.786001803,10928.694809751601,11120.4375704746,11299.182947055,11436.823962149,11657.019368734,11795.449527415,11971.2941969316,12162.792508715402,12327.061355054599,12490.501648063999,12651.9144528196,12792.711321715999,12990.039201174,13148.6220935646,13282.701048088,13446.394917452,13605.596354478399,13805.173299353399,13916.991365915399,14076.996548808,14262.118508273,14395.739224242601,14533.686807468599,14670.1353988386,14824.051872826001,14981.258734138999,15132.203344982,15276.997978583999,15437.537717936,15568.676846236402,15682.655171948,15852.636440053,15989.069240797,16119.257902349,16261.703037119,16402.072045136,16535.472973067,16657.899477936,16796.96467532,16923.995561966,17048.836963336,17169.340564736,17281.664481035998,17383.369141036
