,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245,mntd250,mntd255,mntd260,mntd265,mntd270,mntd275,mntd280,mntd285,mntd290,mntd295,mntd300,mntd305,mntd310,mntd315,mntd320,mntd325,mntd330,mntd335,mntd340,mntd345,mntd350,mntd355,mntd360,mntd365,mntd370,mntd375,mntd380,mntd385,mntd390,mntd395,mntd400,mntd405,mntd410,mntd415
Low,114.38833970249999,112.427525861,110.605900616375,106.18097209870001,105.65593487666635,99.1034601220429,97.0634032097125,96.32264273445728,93.029142391903,90.0922461462909,87.1491269517867,87.23999993324927,84.73906078207429,83.89843011039167,82.75124581882407,82.06271646381059,80.03683644143317,80.4215649942989,77.8251845059485,75.70439724546901,76.71416479535229,74.38546805062944,74.32557254269982,72.8641051054732,72.89587769763025,71.84672628654792,72.05880993361268,71.10666704991742,70.06550978752479,69.36465750274617,69.1366471877263,68.08741928451691,67.9123751128127,67.6447180394108,66.91895758765735,66.26381386511,65.89043672618556,65.58264725283509,65.55264856874793,64.76487362437751,64.76971582220874,64.62647161805212,64.18005785940059,63.22424547119368,62.944994442961985,63.02402713638021,62.658002916817765,62.36035268968718,62.08794020663815,61.80657527214186,61.670300614288166,61.38832851073613,61.0613025073562,60.511189434295346,60.29285874583178,60.13506577315422,59.995400806672556,59.4909798232411,59.59235419733096,58.928706757392305,58.832820494486946,58.62820217781372,58.83932934334089,58.30795122121013,58.14810265240394,57.915733547275195,57.82330190361387,57.466239636016134,57.62944890756844,57.25556208552527,57.26447712648881,56.857009768204996,56.62425475952212,56.61600314767183,56.32594952608812,56.33675879077297,56.27031604468057,56.24750261034911,56.034292068655,56.04712295342001,56.097848377153774,56.20074491840246
High,262.6930384825,226.432385261293,204.17900756441497,184.44686354672345,173.4417306101913,163.1531040134996,153.30591287812499,146.1684308950223,139.436687199135,132.07489970058225,126.58546033385832,124.34329912932178,119.72286497299326,115.62345940120932,113.67809996373187,109.03054470997122,107.73805505282773,104.84688894440146,102.79131810861249,100.78044578165942,97.94740754240078,96.29116507633044,95.4200606418454,93.6113948189321,92.30553654123618,90.65925540817162,90.69440238588481,88.09681156053516,86.78356164810941,86.00131494772096,85.63834234833469,83.52586794785636,83.09422199538851,82.31511011908285,81.4051775403559,80.11142773340497,79.64810081432312,78.69309495934951,77.61259156642531,77.14565381169389,76.39397783590438,76.1051319834362,75.18688117231672,74.82892858089927,73.84853050548807,73.38794352380333,72.5543509148181,72.05814938072828,71.7595028915841,71.20266878637904,70.81030144393613,70.22232861351313,69.55182893986677,69.0129802408438,68.72153076967008,68.13455255959491,67.69277603679454,67.18096882132326,66.63906475931492,66.29511520187305,65.9215856203429,65.45605918204276,64.96759898326022,64.71223991786549,64.24599599794041,63.61573764400842,63.240415819108364,62.98835634676539,62.66015618510201,62.23126027078916,61.81534431800465,61.40980751714135,61.03894160250577,60.61066959489546,60.10113613494583,59.90071105493215,59.377240377226656,58.93339012985975,58.57429705233456,58.06445167694317,57.595974953742555,57.06328695533012
Mean,184.39200662086287,169.13204412147783,153.96167293872986,144.90597860096494,138.07459569239452,129.99077668295075,125.25820696114155,120.11011686780607,115.58097480814787,111.1956205595664,107.68817946533717,105.0617527398878,101.98379205570211,100.10404002031277,97.81797402899522,95.2663257518013,93.2649005002477,92.06399627961517,90.14265978581084,88.35409241763406,87.04906079177069,85.5527570748383,84.57430837973897,83.3913240736317,82.45262433767934,81.42779139636677,80.9070136279111,79.40796661195739,78.68515670985425,77.78122091496256,77.0521373268772,76.18794738646183,75.364710730474,74.70264150792077,74.22052538924923,73.31102839780247,72.97097637810866,72.26645540236939,71.72360509824942,71.1584976788612,70.74392934348492,70.16935476544663,69.66645481355687,69.09650833926457,68.6460452020769,68.25920141502209,67.63673918674512,67.23325009616538,66.92127676304369,66.44993918849539,66.10871086860833,65.68323980670048,65.19984174786018,64.8880607769316,64.56192268867908,64.1747150933055,63.87954060640915,63.3896000382959,63.25146864699755,62.73244522295945,62.43903504301184,62.179613139067975,61.9538060478673,61.59663453652007,61.1759751888199,60.87001551481518,60.645577050012825,60.36926740925065,60.125546020887256,59.81803066222975,59.52632263417282,59.235266004374054,58.89342832250356,58.71836348286163,58.38779871384294,58.18253252414651,57.899405040145396,57.660833817528186,57.381086140313286,57.14216414113645,56.91079430429525,56.65972153741718
