,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90,mntd95,mntd100,mntd105,mntd110,mntd115,mntd120,mntd125,mntd130,mntd135,mntd140,mntd145,mntd150,mntd155,mntd160,mntd165,mntd170,mntd175,mntd180,mntd185,mntd190,mntd195,mntd200,mntd205,mntd210,mntd215,mntd220,mntd225,mntd230,mntd235,mntd240,mntd245
0.5,23.411194221000002,22.313590622999968,22.15368845725,22.37760896,21.068720892333335,18.784019731571416,18.297746345125,18.531839009333343,17.8849748975,17.413027321999955,16.509459097,15.520483055153838,15.177267389642886,15.549788804133367,14.514783294374999,14.311692005294159,13.689078331944478,13.885694762052653,13.96096279835,13.51961881347619,13.3717367621818,13.22556299499996,13.089873224750033,12.789046927760001,12.638894202538491,12.580185970740711,12.271945939535685,12.380015524517248,12.2736756226333,12.331885594677399,12.071177088156249,11.940266251181827,11.894735209029431,11.795869486257129,11.779460439750022,11.764653819189173,11.769429491842105,11.721219103461577,11.57977042835,11.640461804487831,11.628681013523824,11.586763678558103,11.513211342090946,11.368023548844468,11.559617965782609,11.55864247393612,11.623256743625033,12.0090592734694
1,25.164375914,24.211080972666636,22.9456200355,22.906103402400003,21.51773045200003,20.580130409714272,19.15349567725,19.024386739111154,18.4320703984,17.81453438618182,16.92611246566667,16.429346901692305,15.739234319999957,15.758540253866634,15.084213406,14.677478760588235,14.223005826444423,14.213996097157874,14.1610886333,13.850746979714266,13.568739987636391,13.383567983739155,13.297599167000033,13.02406221216,12.833593243076962,12.761134469185167,12.378653169500014,12.613939697586241,12.435583281200001,12.39163363548387,12.220740756312502,12.013888457151532,12.023268595705865,11.884511098514286,11.897339978666633,11.87860475848653,11.891823482315836,11.793061734102547,11.668943684999999,11.715416286000025,11.683454425428613,11.634732760139492,11.653814176681845,11.559124289288867,11.619169111782584,11.628495524297898,11.687666147374967,12.0090592734694
1.5,25.9948986365,25.2033024833333,24.021378405,23.7606824184,22.3884522235,21.2569436442857,19.860722066125,19.1911124033333,18.7376342942,18.158382853272762,17.26644879475,16.983769121076875,16.236707760999987,15.8659684318,15.463418092625,14.898649073058852,14.481579246222264,14.369050055210552,14.30213344495,13.94370853899997,13.668890396090955,13.487345399130383,13.3988583020833,13.27476246132,12.951509451153877,12.829013898740723,12.4821583697143,12.66502374003452,12.4773250424667,12.434610704999992,12.32365621221875,12.192327938848498,12.084363747499976,12.027587305600028,12.055435744333332,11.94576719416217,11.948280743526352,11.817742987384609,11.7619255473,11.770360896170772,11.727674210095271,11.76602641869766,11.69803900422729,11.600397815133366,11.648374248043444,11.65783553082983,11.708117019374999,12.0090592734694
2,27.467635634,25.555583082666665,24.995123716000002,24.1481643232,22.959544885999968,21.582562426857113,20.0923022795,19.442774449777747,18.8935977672,18.330290947272726,17.5947372146667,17.1198666849231,16.454494228285757,16.04393891573333,15.5540512005,15.246862482588243,14.644815748444401,14.450510762526326,14.3576267884,14.020299114857169,13.772585614363617,13.60041969652169,13.462193410500033,13.377698224160001,13.030494633846162,12.941003353481447,12.609140334428544,12.710890181793117,12.529151406133366,12.479406016387127,12.40156086325,12.260867072606054,12.137495784941223,12.090965599199958,12.097761069000045,12.022782296216258,11.9785762050526,11.893671148307714,11.8158513307,11.799840467902449,11.764017157142833,11.791937927627869,11.74365676354549,11.62287832071113,11.70750075634786,11.699369068170236,11.730117495333367,12.0090592734694
2.5,28.8073499375,26.228656395000034,25.62117307125,24.409964438,23.327329884166634,21.808507187142858,20.326294120625,19.730818105000022,19.1210242515,18.528563776818217,17.767768122083332,17.183203893076882,16.60497502785717,16.194634759333365,15.662985920312499,15.334580812941178,14.74555409777782,14.57048102447371,14.472908094000001,14.111733202619,13.834783876363627,13.712024495434788,13.490687992083332,13.4449818824,13.137152449807715,13.047086124444414,12.732190481964327,12.749667239482765,12.6000834803333,12.544335585645115,12.43273478828125,12.352894060303043,12.209341711470561,12.185881959285714,12.1177554715278,12.102962835135084,12.017013543421008,11.944530355640987,11.881057104625,11.857096282804896,11.787734562500038,11.821038584999974,11.760540450795501,11.666795742333314,11.739615429347806,11.722379923085068,11.7436248577083,12.0090592734694
5,32.13132624,29.36645946000003,27.6091417825,26.040670256,24.700737203333365,22.8713781242857,21.89535858875,20.793485896666702,19.784496554,19.290854701818144,18.278060283333364,17.668537779999998,17.202488020714245,16.685155992000002,16.269496771874998,15.788888608235265,15.25096287222219,14.86696009263158,14.807209531,14.614012035238135,14.19194935772728,14.069673768260872,13.8653375470833,13.614507641200001,13.456669585384585,13.385970199259225,13.092729919999961,13.02202437655168,12.873192184,12.802600460000026,12.5924187325,12.57044252575755,12.45900745735297,12.4061339942857,12.28863945666669,12.222624812162195,12.180495155789515,12.05220791051284,11.968918045250001,11.991353055853644,11.948882832857104,11.908578353720895,11.84322506295452,11.804561958444475,11.840391158695686,11.82206870659573,11.8121862241667,12.0090592734694
10,35.76367108,33.163913213333366,29.98833599,28.510610704,26.20048670333336,24.15622630857143,23.125382692499997,21.96614108666666,20.738630552,20.11650132909093,19.0099618016667,18.2991830307692,17.8321835914286,17.35437129199997,16.77058365875,16.37580043411768,15.8315794433333,15.41879465157892,15.288069017,15.09837583523807,14.62297006636362,14.4550113052174,14.1547972125,13.94049034,13.77348482769227,13.60569415703705,13.40700973,13.29682055655171,13.1973996146667,13.02416782774192,12.845444798125001,12.80615523151514,12.65578441058825,12.66545921771425,12.53163439166663,12.43469483891888,12.36108505315788,12.24363571076921,12.155842974,12.178453482926859,12.09346258809526,12.05231827581396,11.983397512272699,11.94605158622222,11.93156246826091,11.92724886893615,11.9086822258333,12.0090592734694
25,43.752799124999996,39.125819266666674,34.5346279875,32.000835249999994,28.95062874166665,26.9083271857143,25.4591950875,23.791272005555598,22.48122265,21.5513015272727,20.507412087499976,19.708460107692325,18.994102157142876,18.4143658033333,17.8189963375,17.335639870588253,16.872074188888924,16.392513110526302,16.0336768375,15.777099340476225,15.355602943181774,15.090215515217375,14.845946512499975,14.517916248,14.36535381346155,14.175842427777775,13.9476436803571,13.809999789655125,13.650649285000025,13.449120738709674,13.31158404375,13.233032472727249,13.024336588235325,13.0088575242857,12.88706100972225,12.75152187567565,12.673328880263174,12.5590103858974,12.44949652,12.420178506097576,12.32440746785715,12.2848775290698,12.19925613977275,12.12376090888885,12.126493943478224,12.047622932978701,12.011845331249974,12.0090592734694
75,63.1346145,52.7020395166667,44.9484613375,40.44406255,36.2236899666667,32.78969769999998,30.7365108875,28.32132475555555,26.58665438,25.15092043636365,23.736130154166702,22.688914811538453,21.834326132142852,20.860727669999974,20.12742705,19.636701064705875,19.026592505555552,18.313049784210527,17.890918405,17.485423440476225,16.997857838636374,16.647260341304353,16.345380116666675,15.98301794,15.681467965384599,15.4509473611111,15.169475039285725,14.8785024672414,14.7907321083333,14.482655675806475,14.2663666640625,14.158885750000024,13.92263723529415,13.7857382085714,13.67772525694445,13.481997998648625,13.358035834210524,13.195540714102549,13.071682599999999,12.944469049999999,12.813405382142875,12.724795141860476,12.612329952272699,12.4806767477778,12.382135341304325,12.270572657446825,12.16102099270835,12.0090592734694
90,71.14106285000001,59.09888281333336,49.599495945,43.49524738,39.183502423333366,35.78187853428571,33.083207635,30.32180717333334,28.558973672,26.57677012545453,25.40272637999997,23.98489011538459,22.96340196142853,22.12459899066664,21.240989520000003,20.64573060705883,19.92977204111107,19.29034909473681,18.695261076,18.248531080952382,17.76479518272726,17.33210109913043,16.997760435,16.563504094400002,16.26326952076922,16.11680750518518,15.75564277857143,15.36772510068962,15.308094516666701,14.932544973548351,14.759342241875,14.611780328484851,14.271733489411801,14.1365336914286,14.0213713422222,13.80001801837835,13.64996909578951,13.481420224615361,13.323884016000001,13.187876058048749,13.018037840476229,12.88773596279072,12.77162076681819,12.61038858133333,12.47334058434783,12.351088870212811,12.209710850833359,12.0090592734694
