,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85
Low,131.60778591202424,135.1516651657334,137.88624770355779,139.91366681294548,140.6992080610023,141.67703324411949,141.76075668131406,142.27410486198255,142.36759583763396,142.91708194191523,142.9666939020429,143.26004465406464,143.56931323437982,143.90319684175273,143.98591891941348,147.92117109124214
High,184.29838064751058,172.6716070663353,165.90473786534812,161.58108503209334,158.72204516360722,156.52824356745853,155.26781263085783,153.95766445531794,153.0952944221455,152.23725491685104,151.5752383064233,150.87121858192833,150.333137793124,149.81014970510492,149.2880490539348,148.6992183450246
Mean,148.19035916963657,149.2694766969469,148.12880436094483,148.3328664049933,148.37176423896975,148.4107708481274,148.37546509191242,148.3463571478002,148.33636511286838,148.43414179102703,148.29990279753417,148.35169675665816,148.36407557721688,148.35071539858362,148.37350268014464,148.39802905105563
