"","names"
"1","Anser_rossii"
"2","Artemisiospiza_belli"
"3","Leiothlypis_celata"
"4","Leiothlypis_ruficapilla"
"5","Mareca_americana"
"6","Melanitta_americana"
"7","Psittacara_erythrogenys"
"8","Corthylio_calendula"
"9","Spatula_cyanoptera"
"10","Spatula_discors"
"11","Troglodytes_pacificus"
"12","Ardenna_carneipes"
"13","Ardenna_grisea"
"14","Spatula_clypeata"
"15","Urile_pelagicus"
"16","Charadrius_nivosus"
"17","Circus_hudsonius"
"18","Dendragapus_fuliginosus"
"19","Dryobates_nuttallii"
"20","Dryobates_pubescens"
"21","Hydrobates_furcatus"
"22","Hydrobates_homochroa"
"23","Hydrobates_melania"
"24","Hydrobates_microsoma"
"25","Haemorhous_purpureus"
"26","Mareca_strepera"
"27","Nannopterum_auritum"
"28","Psiloscops_flammeolus"
"29","Rallus_obsoletus"
"30","Synthliboramphus_scrippsi"
"31","Calidris_virgata"
"32","Melanitta_deglandi"
"33","Urile_penicillatus"
"34","Ardenna_bulleri"
"35","Ardenna_tenuirostris"
"36","Ardenna_creatopus"
"37","Lanius_borealis"
"38","Ammospiza_nelsoni"
"39","Haemorhous_mexicanus"
"40","Hydrobates_leucorhous"
"41","Psittacara_mitratus"
