,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46,pd48,pd50,pd52,pd54,pd56,pd58,pd60,pd62,pd64
Low,341.48713172500004,438.292594125,534.11357065,610.4634959,698.5934699999999,785.1629709,863.3295794999999,923.988168525,990.752817225,1055.88535725,1136.075157925,1198.74961675,1256.5800705499998,1320.9238818499998,1386.5140691249999,1437.030280475,1508.6127365500001,1561.94503275,1639.9459139,1697.496199575,1752.87173585,1806.495051875,1879.6656866,1938.8000690000001,1996.831299425,2072.07478125,2129.62717395,2198.7298178,2261.966827,2371.450253
High,535.139953325,665.820562625,774.1018813,882.7075146000001,965.54221935,1051.65776065,1132.7552314,1210.889834075,1292.937840925,1373.122046875,1430.569683,1505.450147175,1561.08531745,1630.4455439,1688.1282528499999,1747.6505678249998,1805.794055075,1856.4866266499998,1925.053335825,1966.6075513,2027.5114836,2067.321589125,2113.42421685,2170.8428971,2206.9825649249997,2252.896369025,2294.8833196749997,2330.17046635,2356.851585,2371.450253
Mean,453.334644944,565.26763561,660.1871157490001,751.526514556,835.356925677,920.062321239,1002.271815232,1071.051564409,1144.056510177,1215.3869808759998,1288.190304581,1351.813252311,1412.622968408,1481.376662985,1544.810786555,1603.8494411850002,1665.393663977,1718.557928002,1784.4652093909997,1839.46876063,1893.076382099,1951.438617311,2009.383362314,2063.985677797,2113.1236219800003,2168.717669385,2220.682736742,2272.492211422,2321.65489893,2371.4502529999995
