,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54,mntd56,mntd58,mntd60,mntd62,mntd64
Low,68.83681350000002,67.098514325,61.479915855,62.10252901666664,59.19531566785717,58.006200103125,57.28216129722222,55.7806151875,55.82667895909093,54.63475914791667,53.53438982884612,53.681118314285705,52.043333595000036,52.328656625,51.67122402058822,50.99018260277781,51.51107381052635,50.56833559625,50.03801349761902,50.21087739090907,49.29650525978264,49.19522270000003,48.532004992999994,48.30924762884611,48.44857867037035,48.41571275982146,48.09057242586211,47.963896594166634,48.12625976935485,49.4722053125
High,164.30598140833365,141.8361126625,128.751475385,117.73482195416635,107.91864236071443,101.6070357,96.71068877499997,92.6069864775,88.79540559318185,84.5154477104167,82.7307277788461,79.56014839642859,76.97424138333334,74.986688825,72.8076018617647,70.96153001111112,69.6280576552631,67.5996016775,66.10439570357138,64.69059612045452,63.034982866304354,61.4963353854167,60.084520047,58.68768953942303,57.63884080555557,56.47642439285718,54.71616743965515,53.45140131583333,52.0728705806452,49.4722053125
Mean,118.26353202333334,104.11391001425,96.33828163780001,89.95490991249999,83.83464546028571,79.786096603875,77.07495917166666,73.94719043280001,72.37023558654545,70.41167560866667,68.08652401184614,66.84561061271428,65.03735573659999,63.7656619325,62.21802852217647,61.46349551916666,60.30490351799999,59.4657625389,58.14112469966666,57.37006028695454,56.46647125895652,55.610572537083335,54.73535885332,53.86211852134614,53.2649439242963,52.44959469289285,51.608719644068955,50.977679477900004,50.26358573696774,49.472205312500016
