,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46,mntd48,mntd50,mntd52,mntd54,mntd56,mntd58,mntd60,mntd62,mntd64
0.5,57.912828876666666,54.442059033750006,53.787454823,52.236871,53.08953315571429,51.641750013125,48.85798432722225,53.719524084999996,51.54949739636361,49.9433236495833,48.86411887307689,47.81848262071433,48.8451460476667,48.932396706875,48.65087519823525,47.759675245277755,48.27637354657893,47.8681105615,47.56666966119048,47.49718470363632,46.8808322947826,47.303624465625035,46.9917883018,45.67958075384616,47.07850926203707,47.13979406160714,46.7124880324138,46.875413462000004,47.36665082693552,49.4722053125
1,61.8921171333333,58.6406725525,55.52776607,56.021319565000034,55.74261789428574,53.57710677375,51.40756665888889,53.946282564,52.76011628909092,52.51741678583337,51.36047454692307,51.014058870000014,49.33470907799997,50.100490063125,49.63134969647059,49.00951794055558,50.10363119263155,49.3268105365,48.641577423809515,49.005643364090886,48.220938336521726,47.77376733958333,48.0587380808,46.79862801846158,47.63136849888887,47.67603261535716,47.19248789206892,47.548356932666664,47.621068001935434,49.4722053125
1.5,66.28714933,61.42757976875,58.173790600000004,57.6981790433333,57.761599967142885,55.86431918125,55.33916882500004,54.539893802,53.72302157227271,53.594897445833304,52.496069506923085,51.87347961607147,50.152715291999996,51.097540871875,50.694483520882336,49.473142694722235,50.85055661789471,49.818913109499995,49.15224574976189,49.62764123863641,48.434406203913035,48.255495625833305,48.2952556154,47.31900810730768,48.1545211596296,48.03818885875004,47.45502387706899,47.7175199798333,47.8095889375806,49.4722053125
2,67.24856091333334,64.12350314,60.013989308000006,60.49072190999996,58.828086165714254,56.884980822500005,56.666652666666685,54.999071038000004,54.64618790545451,54.17712976666667,53.20186639076925,53.30928646285711,51.1557835066667,51.902769899999996,51.12988322117649,49.920834546666676,50.982342198947386,50.149780659,49.703696502857106,50.13914694272729,48.8834994973913,48.81163938166663,48.4580910152,47.89561084692303,48.289834002222236,48.17921956857144,47.736526094482784,47.84304697800003,48.039448372903195,49.4722053125
2.5,68.83681350000002,67.098514325,61.479915855,62.10252901666664,59.19531566785717,58.006200103125,57.28216129722222,55.7806151875,55.82667895909093,54.63475914791667,53.53438982884612,53.681118314285705,52.043333595000036,52.328656625,51.67122402058822,50.99018260277781,51.51107381052635,50.56833559625,50.03801349761902,50.21087739090907,49.29650525978264,49.19522270000003,48.532004992999994,48.30924762884611,48.44857867037035,48.41571275982146,48.09057242586211,47.963896594166634,48.12625976935485,49.4722053125
5,76.49494523333337,71.7998221375,68.29220626,67.03456590833333,62.4724753357143,60.816424500000004,60.77967897777777,58.5989288,58.23454515909091,57.02914456250003,55.63039842692311,55.78001660714288,54.535833589999996,54.12206939375,53.54845188235292,52.87729563888891,52.65461480526315,52.175468200000005,51.35713182380957,50.942453211363635,50.45366897608691,50.467375570833305,49.53561626,49.12616311153849,49.15138476111111,49.105167660714265,48.69607506724142,48.49329227,48.582868791935525,49.4722053125
10,84.48020946666664,78.152858425,75.26386794,71.75484101666665,67.63270237142855,64.3744701625,63.43658899999999,61.909139520000004,61.20731974545453,60.068372466666666,58.69587126923081,57.800384621428535,57.23721507999997,56.091001606249996,55.33926273529413,55.03146539444447,54.07356406315786,53.83304472,52.50443542380953,52.18542090454546,51.95198190869568,51.91087470000003,50.708564012,50.18838885000004,50.23243830740742,49.833569578571385,49.26826032413792,49.14952877333333,48.9960732903226,49.4722053125
25,100.74878149999975,89.13561312499999,84.77923095,79.97110587500002,75.7327865357143,71.68585103125,69.9668048333333,67.2103936,66.65704713636364,65.1416129583333,62.83367738461535,62.05860771428573,60.8695989333333,59.9877504375,58.59836794117645,57.85622572222223,57.0097387368421,56.5572510625,55.196000023809525,54.851501090909096,54.069107978260874,53.4564143854167,52.81016149,52.27693111538463,51.651996592592624,51.0731893035714,50.482901749999975,50.090681325,49.65115000000003,49.4722053125
75,136.192073,118.2663708125,107.9503628,99.58834970833334,91.78896778571428,87.31033946875,84.33305758333333,80.771997075,78.2941685909091,75.81796547916667,73.23912361538463,71.69221480357143,69.46153038333333,67.751870046875,65.89434260294117,65.00533734722221,63.46345714473683,62.5054987875,60.95171851190475,59.9864405909091,58.933924554347826,57.725935,56.92350078,55.71103554807692,55.004507916666704,53.737675919642854,52.82174636206895,51.977224525,50.886476677419324,49.4722053125
90,151.968750866667,130.11401705,117.72732766,108.3280318666667,100.0700775857144,94.4846310375,90.25668496666668,86.44728513,82.92087338181817,80.25971269999997,77.97593463076925,75.72008058571431,73.26889024666664,71.2577719,68.63597671764703,68.03387478888885,66.61764059473687,65.14153519,63.48248389047617,61.925516254545435,60.920893852173926,59.54245906666664,58.316226716,57.27823248846157,56.29177392592593,55.023879732142866,53.7445039310345,52.5983262166667,51.4590928064516,49.4722053125
